replicate	num_mutations
sim_000	1393
sim_001	1422
sim_002	215
sim_003	4918
sim_004	4873
sim_005	992
sim_006	195
sim_007	1972
sim_008	350
sim_009	6684
sim_010	373
sim_011	2328
sim_012	1977
sim_013	96
sim_014	1014
sim_015	3605
sim_016	2073
sim_017	1007
sim_018	672
sim_019	36
sim_020	2112
sim_021	966
sim_022	337
sim_023	1046
sim_024	1405
sim_025	2358
sim_026	610
sim_027	834
sim_028	1063
sim_029	1509
sim_030	747
sim_031	4437
sim_032	414
sim_033	1048
sim_034	451
sim_035	30
sim_036	1373
sim_037	73
sim_038	166
sim_039	1792
sim_040	1389
sim_041	4194
sim_042	1129
sim_043	1450
sim_044	54
sim_045	500
sim_046	786
sim_047	870
sim_048	3802
sim_049	203
sim_050	1949
sim_051	1523
sim_052	6
sim_053	119
sim_054	2139
sim_055	80
sim_056	1134
sim_057	263
sim_058	255
sim_059	26
sim_060	70
sim_061	2629
sim_062	987
sim_063	208
sim_064	264
sim_065	965
sim_066	1999
sim_067	36
sim_068	4948
sim_069	1195
sim_070	3718
sim_071	1731
sim_072	1139
sim_073	958
sim_074	3368
sim_075	2056
sim_076	2413
sim_077	152
sim_078	1149
sim_079	1152
sim_080	1341
sim_081	1016
sim_082	1095
sim_083	704
sim_084	289
sim_085	154
sim_086	530
sim_087	861
sim_088	607
sim_089	4770
sim_090	1453
sim_091	274
sim_092	80
sim_093	734
sim_094	736
sim_095	771
sim_096	1062
sim_097	142
sim_098	285
sim_099	859
sim_100	70
sim_101	686
sim_102	26
sim_103	1134
sim_104	2758
sim_105	438
sim_106	7536
sim_107	3232
sim_108	1715
sim_109	701
sim_110	859
sim_111	507
sim_112	1207
sim_113	2450
sim_114	2759
sim_115	2118
sim_116	828
sim_117	2251
sim_118	54
sim_119	182
sim_120	2521
sim_121	696
sim_122	473
sim_123	1269
sim_124	1209
sim_125	469
sim_126	1273
sim_127	636
sim_128	589
sim_129	1549
sim_130	1365
sim_131	909
sim_132	70
sim_133	379
sim_134	2972
sim_135	838
sim_136	427
sim_137	336
sim_138	2056
sim_139	42
sim_140	878
sim_141	1688
sim_142	850
sim_143	857
sim_144	60
sim_145	1154
sim_146	104
sim_147	1679
sim_148	279
sim_149	384
sim_150	2201
sim_151	975
sim_152	1116
sim_153	406
sim_154	2492
sim_155	2692
sim_156	5859
sim_157	946
sim_158	1367
sim_159	987
sim_160	1575
sim_161	2405
sim_162	56
sim_163	1277
sim_164	207
sim_165	2013
sim_166	2935
sim_167	2117
sim_168	1405
sim_169	615
sim_170	2126
sim_171	5954
sim_172	1176
sim_173	2
sim_174	573
sim_175	3469
sim_176	498
sim_177	511
sim_178	515
sim_179	454
sim_180	1632
sim_181	1162
sim_182	390
sim_183	168
sim_184	1028
sim_185	2000
sim_186	1038
sim_187	3235
sim_188	1740
sim_189	52
sim_190	87
sim_191	73
sim_192	1243
sim_193	365
sim_194	2053
sim_195	324
sim_196	2065
sim_197	466
sim_198	498
sim_199	606
