replicate	totals_0_5	true_hits_0_5	frac_0_5	totals_5_10	true_hits_5_10	frac_5_10	totals_10_15	true_hits_10_15	frac_10_15	totals_15_20	true_hits_15_20	frac_15_20	totals_20_25	true_hits_20_25	frac_20_25	totals_25_30	true_hits_25_30	frac_25_30	totals_30_35	true_hits_30_35	frac_30_35	totals_35_40	true_hits_35_40	frac_35_40	totals_40_45	true_hits_40_45	frac_40_45	totals_45_50	true_hits_45_50	frac_45_50	totals_50_55	true_hits_50_55	frac_50_55	totals_55_60	true_hits_55_60	frac_55_60	totals_60_65	true_hits_60_65	frac_60_65	totals_65_70	true_hits_65_70	frac_65_70	totals_70_75	true_hits_70_75	frac_70_75	totals_75_80	true_hits_75_80	frac_75_80	totals_80_85	true_hits_80_85	frac_80_85	totals_85_90	true_hits_85_90	frac_85_90	totals_90_95	true_hits_90_95	frac_90_95	totals_95_100	true_hits_95_100	frac_95_100
sim_002	1317	17	0.012908	140	7	0.050000	64	10	0.156250	53	11	0.207547	31	8	0.258065	25	5	0.200000	17	4	0.235294	7	2	0.285714	6	4	0.666667	6	3	0.500000	10	5	0.500000	3	2	0.666667	1	0	0.000000	6	4	0.666667	6	1	0.166667	3	2	0.666667	4	3	0.750000	5	4	0.800000	1	1	1.000000	106	105	0.990566
sim_005	12003	52	0.004332	236	13	0.055085	98	17	0.173469	60	7	0.116667	31	6	0.193548	21	6	0.285714	17	4	0.235294	10	5	0.500000	9	5	0.555556	6	3	0.500000	5	3	0.600000	4	3	0.750000	4	4	1.000000	4	2	0.500000	5	3	0.600000	3	1	0.333333	0	0	NaN	2	1	0.500000	6	6	1.000000	57	57	1.000000
sim_007	33275	77	0.002314	216	19	0.087963	57	9	0.157895	39	6	0.153846	19	2	0.105263	15	7	0.466667	12	3	0.250000	6	1	0.166667	7	2	0.285714	6	2	0.333333	3	2	0.666667	1	1	1.000000	8	7	0.875000	1	0	0.000000	3	2	0.666667	3	2	0.666667	2	2	1.000000	0	0	NaN	5	5	1.000000	49	49	1.000000
sim_008	3294	33	0.010018	240	11	0.045833	109	14	0.128440	64	10	0.156250	42	8	0.190476	24	6	0.250000	18	6	0.333333	11	5	0.454545	11	8	0.727273	8	3	0.375000	8	3	0.375000	4	3	0.750000	5	0	0.000000	4	3	0.750000	1	1	1.000000	4	3	0.750000	0	0	NaN	3	3	1.000000	6	6	1.000000	72	72	1.000000
sim_009	4938	28	0.005670	278	25	0.089928	106	11	0.103774	57	10	0.175439	31	6	0.193548	20	7	0.350000	16	4	0.250000	12	4	0.333333	10	4	0.400000	7	3	0.428571	6	5	0.833333	5	4	0.800000	3	2	0.666667	2	1	0.500000	2	2	1.000000	1	1	1.000000	0	0	NaN	1	1	1.000000	1	1	1.000000	79	79	1.000000
sim_010	2209	14	0.006338	186	14	0.075269	93	11	0.118280	71	11	0.154930	33	8	0.242424	21	3	0.142857	24	10	0.416667	15	5	0.333333	5	4	0.800000	7	6	0.857143	2	2	1.000000	7	4	0.571429	8	7	0.875000	6	3	0.500000	1	1	1.000000	0	0	NaN	2	2	1.000000	1	0	0.000000	4	4	1.000000	89	89	1.000000
sim_011	13085	48	0.003668	236	15	0.063559	77	8	0.103896	33	8	0.242424	26	4	0.153846	18	4	0.222222	14	5	0.357143	12	5	0.416667	6	3	0.500000	7	5	0.714286	5	3	0.600000	1	0	0.000000	5	2	0.400000	2	1	0.500000	9	7	0.777778	4	2	0.500000	6	4	0.666667	1	1	1.000000	2	1	0.500000	72	72	1.000000
sim_012	75	1	0.013333	11	0	0.000000	17	2	0.117647	17	2	0.117647	24	3	0.125000	19	7	0.368421	15	6	0.400000	10	3	0.300000	7	5	0.714286	7	3	0.428571	4	2	0.500000	5	4	0.800000	1	0	0.000000	1	1	1.000000	0	0	NaN	0	0	NaN	0	0	NaN	1	1	1.000000	0	0	NaN	159	158	0.993711
sim_013	12412	51	0.004109	305	20	0.065574	88	11	0.125000	54	9	0.166667	27	12	0.444444	22	6	0.272727	14	7	0.500000	11	4	0.363636	11	2	0.181818	3	2	0.666667	8	3	0.375000	4	1	0.250000	3	1	0.333333	2	2	1.000000	1	1	1.000000	5	4	0.800000	2	2	1.000000	4	3	0.750000	1	1	1.000000	56	56	1.000000
sim_016	19110	64	0.003349	278	15	0.053957	98	17	0.173469	64	5	0.078125	34	9	0.264706	12	5	0.416667	15	6	0.400000	12	8	0.666667	6	2	0.333333	3	1	0.333333	4	1	0.250000	3	0	0.000000	6	6	1.000000	7	5	0.714286	7	4	0.571429	5	4	0.800000	5	4	0.800000	3	3	1.000000	1	1	1.000000	38	38	1.000000
sim_017	2123	21	0.009892	188	10	0.053191	72	13	0.180556	41	7	0.170732	27	6	0.222222	24	3	0.125000	20	8	0.400000	13	4	0.307692	11	4	0.363636	6	2	0.333333	5	3	0.600000	4	3	0.750000	4	4	1.000000	5	4	0.800000	4	1	0.250000	3	3	1.000000	3	3	1.000000	1	1	1.000000	0	0	NaN	98	98	1.000000
sim_018	94609	184	0.001945	65	6	0.092308	10	0	0.000000	5	0	0.000000	3	0	0.000000	1	0	0.000000	0	0	NaN	0	0	NaN	1	0	0.000000	1	0	0.000000	1	0	0.000000	0	0	NaN	0	0	NaN	2	2	1.000000	0	0	NaN	0	0	NaN	1	1	1.000000	0	0	NaN	4	2	0.500000	4	3	0.750000
sim_019	4956	24	0.004843	222	14	0.063063	97	14	0.144330	43	13	0.302326	45	10	0.222222	20	6	0.300000	19	6	0.315789	10	5	0.500000	6	3	0.500000	3	1	0.333333	5	0	0.000000	5	3	0.600000	9	7	0.777778	1	0	0.000000	3	2	0.666667	2	2	1.000000	3	2	0.666667	2	2	1.000000	2	2	1.000000	83	82	0.987952
sim_020	2644	27	0.010212	220	16	0.072727	95	9	0.094737	38	10	0.263158	23	8	0.347826	23	4	0.173913	12	3	0.250000	9	2	0.222222	8	7	0.875000	9	4	0.444444	1	0	0.000000	6	2	0.333333	3	1	0.333333	3	2	0.666667	4	1	0.250000	4	3	0.750000	3	3	1.000000	3	3	1.000000	3	2	0.666667	91	91	1.000000
sim_022	54412	127	0.002334	217	16	0.073733	66	7	0.106061	33	2	0.060606	29	3	0.103448	7	3	0.428571	5	1	0.200000	7	2	0.285714	5	3	0.600000	5	5	1.000000	1	1	1.000000	2	2	1.000000	3	2	0.666667	1	1	1.000000	1	1	1.000000	2	2	1.000000	5	5	1.000000	2	2	1.000000	3	3	1.000000	10	10	1.000000
sim_023	8761	37	0.004223	207	17	0.082126	96	9	0.093750	50	12	0.240000	34	6	0.176471	13	3	0.230769	24	5	0.208333	12	5	0.416667	3	2	0.666667	3	1	0.333333	5	4	0.800000	2	1	0.500000	7	2	0.285714	3	3	1.000000	3	2	0.666667	4	4	1.000000	1	1	1.000000	5	5	1.000000	2	2	1.000000	77	77	1.000000
sim_024	12327	46	0.003732	198	13	0.065657	85	12	0.141176	45	9	0.200000	28	6	0.214286	13	3	0.230769	13	5	0.384615	6	2	0.333333	8	4	0.500000	6	1	0.166667	1	1	1.000000	4	2	0.500000	3	0	0.000000	6	4	0.666667	5	3	0.600000	7	7	1.000000	4	3	0.750000	5	4	0.800000	0	0	NaN	73	73	1.000000
sim_025	8306	36	0.004334	248	13	0.052419	110	14	0.127273	74	13	0.175676	39	12	0.307692	31	11	0.354839	6	2	0.333333	13	7	0.538462	6	2	0.333333	10	5	0.500000	8	5	0.625000	5	2	0.400000	5	2	0.400000	2	0	0.000000	1	0	0.000000	1	1	1.000000	4	4	1.000000	2	2	1.000000	3	3	1.000000	64	64	1.000000
sim_027	54313	124	0.002283	246	18	0.073171	83	13	0.156627	30	5	0.166667	16	4	0.250000	7	3	0.428571	7	1	0.142857	4	1	0.250000	6	2	0.333333	2	1	0.500000	6	3	0.500000	2	2	1.000000	0	0	NaN	2	2	1.000000	0	0	NaN	1	0	0.000000	0	0	NaN	5	4	0.800000	3	2	0.666667	13	13	1.000000
sim_030	3729	23	0.006168	189	15	0.079365	106	14	0.132075	56	9	0.160714	42	5	0.119048	27	12	0.444444	15	5	0.333333	11	3	0.272727	11	5	0.454545	8	2	0.250000	2	2	1.000000	8	4	0.500000	2	2	1.000000	5	3	0.600000	2	2	1.000000	3	2	0.666667	4	3	0.750000	3	3	1.000000	3	3	1.000000	81	81	1.000000
sim_031	16175	50	0.003091	345	26	0.075362	118	20	0.169492	66	18	0.272727	38	4	0.105263	18	6	0.333333	11	4	0.363636	11	7	0.636364	5	3	0.600000	6	4	0.666667	6	1	0.166667	6	5	0.833333	4	2	0.500000	3	2	0.666667	0	0	NaN	2	2	1.000000	4	3	0.750000	2	1	0.500000	1	1	1.000000	39	39	1.000000
sim_032	138	0	0.000000	49	3	0.061224	42	2	0.047619	30	8	0.266667	16	7	0.437500	31	4	0.129032	11	6	0.545455	12	4	0.333333	7	5	0.714286	8	4	0.500000	5	1	0.200000	2	1	0.500000	2	0	0.000000	5	4	0.800000	5	5	1.000000	2	2	1.000000	1	1	1.000000	0	0	NaN	2	2	1.000000	139	139	1.000000
sim_036	5137	37	0.007203	226	18	0.079646	114	10	0.087719	54	6	0.111111	29	8	0.275862	19	5	0.263158	20	6	0.300000	11	7	0.636364	6	2	0.333333	8	3	0.375000	5	3	0.600000	3	1	0.333333	6	2	0.333333	4	3	0.750000	6	6	1.000000	5	4	0.800000	2	1	0.500000	2	1	0.500000	3	3	1.000000	72	72	1.000000
sim_037	27946	86	0.003077	234	10	0.042735	66	9	0.136364	42	8	0.190476	30	5	0.166667	17	4	0.235294	11	2	0.181818	7	4	0.571429	6	3	0.500000	7	2	0.285714	4	1	0.250000	1	0	0.000000	3	1	0.333333	2	2	1.000000	5	2	0.400000	4	4	1.000000	3	3	1.000000	3	2	0.666667	4	4	1.000000	47	46	0.978723
sim_039	7551	29	0.003841	213	12	0.056338	95	16	0.168421	46	9	0.195652	32	5	0.156250	18	6	0.333333	14	6	0.428571	9	2	0.222222	5	3	0.600000	6	3	0.500000	1	0	0.000000	6	2	0.333333	2	1	0.500000	10	7	0.700000	0	0	NaN	5	3	0.600000	5	4	0.800000	6	6	1.000000	0	0	NaN	84	84	1.000000
