Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.9696969696969697	132	0.950	0.9090909090909091	0.9848484848484849
alpha	0.9393939393939394	132	0.950	0.9090909090909091	0.9848484848484849
tau	0.9545454545454546	132	0.950	0.9090909090909091	0.9848484848484849
gamma_0	0.9318181818181818	132	0.950	0.9090909090909091	0.9848484848484849
gamma_1	0.946969696969697	132	0.950	0.9090909090909091	0.9848484848484849
gamma_2	0.9318181818181818	132	0.950	0.9090909090909091	0.9848484848484849
gamma_3	0.9090909090909091	132	0.950	0.9090909090909091	0.9848484848484849
gamma_4	0.9242424242424242	132	0.950	0.9090909090909091	0.9848484848484849
N_bar	0.9393939393939394	132	0.950	0.9090909090909091	0.9848484848484849
kappa	0.9318181818181818	132	0.950	0.9090909090909091	0.9848484848484849
pi_A	0.946969696969697	132	0.950	0.9090909090909091	0.9848484848484849
pi_C	0.9242424242424242	132	0.950	0.9090909090909091	0.9848484848484849
pi_G	0.9393939393939394	132	0.950	0.9090909090909091	0.9848484848484849
pi_T	0.8939393939393939	132	0.950	0.9090909090909091	0.9848484848484849
rootHeight	0.9696969696969697	132	0.950	0.9090909090909091	0.9848484848484849
