sample	filename	numMuts.mean	numMuts.stderr	numMuts.stddev	numMuts.median	numMuts.95%HPDlo	numMuts.95%HPDup	numMuts.ACT	numMuts.ESS	numMuts.geometric-mean	posterior_for_Delphy.mean	posterior_for_Delphy.stderr	posterior_for_Delphy.stddev	posterior_for_Delphy.median	posterior_for_Delphy.95%HPDlo	posterior_for_Delphy.95%HPDup	posterior_for_Delphy.ACT	posterior_for_Delphy.ESS	posterior_for_Delphy.geometric-mean	prior_for_Delphy.mean	prior_for_Delphy.stderr	prior_for_Delphy.stddev	prior_for_Delphy.median	prior_for_Delphy.95%HPDlo	prior_for_Delphy.95%HPDup	prior_for_Delphy.ACT	prior_for_Delphy.ESS	prior_for_Delphy.geometric-mean	likelihood_really_logG.mean	likelihood_really_logG.stderr	likelihood_really_logG.stddev	likelihood_really_logG.median	likelihood_really_logG.95%HPDlo	likelihood_really_logG.95%HPDup	likelihood_really_logG.ACT	likelihood_really_logG.ESS	likelihood_really_logG.geometric-mean	rootHeight.mean	rootHeight.stderr	rootHeight.stddev	rootHeight.median	rootHeight.95%HPDlo	rootHeight.95%HPDup	rootHeight.ACT	rootHeight.ESS	rootHeight.geometric-mean	age(root).mean	age(root).stderr	age(root).stddev	age(root).median	age(root).95%HPDlo	age(root).95%HPDup	age(root).ACT	age(root).ESS	age(root).geometric-mean	treeLength.mean	treeLength.stderr	treeLength.stddev	treeLength.median	treeLength.95%HPDlo	treeLength.95%HPDup	treeLength.ACT	treeLength.ESS	treeLength.geometric-mean	skygrid.isloglinear.mean	skygrid.isloglinear.stderr	skygrid.isloglinear.stddev	skygrid.isloglinear.median	skygrid.isloglinear.95%HPDlo	skygrid.isloglinear.95%HPDup	skygrid.isloglinear.ACT	skygrid.isloglinear.ESS	skygrid.isloglinear.geometric-mean	skygrid.precision.mean	skygrid.precision.stderr	skygrid.precision.stddev	skygrid.precision.median	skygrid.precision.95%HPDlo	skygrid.precision.95%HPDup	skygrid.precision.ACT	skygrid.precision.ESS	skygrid.precision.geometric-mean	skygrid.logPopSize1.mean	skygrid.logPopSize1.stderr	skygrid.logPopSize1.stddev	skygrid.logPopSize1.median	skygrid.logPopSize1.95%HPDlo	skygrid.logPopSize1.95%HPDup	skygrid.logPopSize1.ACT	skygrid.logPopSize1.ESS	skygrid.logPopSize1.geometric-mean	skygrid.logPopSize2.mean	skygrid.logPopSize2.stderr	skygrid.logPopSize2.stddev	skygrid.logPopSize2.median	skygrid.logPopSize2.95%HPDlo	skygrid.logPopSize2.95%HPDup	skygrid.logPopSize2.ACT	skygrid.logPopSize2.ESS	skygrid.logPopSize2.geometric-mean	skygrid.logPopSize3.mean	skygrid.logPopSize3.stderr	skygrid.logPopSize3.stddev	skygrid.logPopSize3.median	skygrid.logPopSize3.95%HPDlo	skygrid.logPopSize3.95%HPDup	skygrid.logPopSize3.ACT	skygrid.logPopSize3.ESS	skygrid.logPopSize3.geometric-mean	skygrid.logPopSize4.mean	skygrid.logPopSize4.stderr	skygrid.logPopSize4.stddev	skygrid.logPopSize4.median	skygrid.logPopSize4.95%HPDlo	skygrid.logPopSize4.95%HPDup	skygrid.logPopSize4.ACT	skygrid.logPopSize4.ESS	skygrid.logPopSize4.geometric-mean	skygrid.logPopSize5.mean	skygrid.logPopSize5.stderr	skygrid.logPopSize5.stddev	skygrid.logPopSize5.median	skygrid.logPopSize5.95%HPDlo	skygrid.logPopSize5.95%HPDup	skygrid.logPopSize5.ACT	skygrid.logPopSize5.ESS	skygrid.logPopSize5.geometric-mean	skygrid.cutOff.mean	skygrid.cutOff.stderr	skygrid.cutOff.stddev	skygrid.cutOff.median	skygrid.cutOff.95%HPDlo	skygrid.cutOff.95%HPDup	skygrid.cutOff.ACT	skygrid.cutOff.ESS	skygrid.cutOff.geometric-mean	kappa.mean	kappa.stderr	kappa.stddev	kappa.median	kappa.95%HPDlo	kappa.95%HPDup	kappa.ACT	kappa.ESS	kappa.geometric-mean	frequencies1.mean	frequencies1.stderr	frequencies1.stddev	frequencies1.median	frequencies1.95%HPDlo	frequencies1.95%HPDup	frequencies1.ACT	frequencies1.ESS	frequencies1.geometric-mean	frequencies2.mean	frequencies2.stderr	frequencies2.stddev	frequencies2.median	frequencies2.95%HPDlo	frequencies2.95%HPDup	frequencies2.ACT	frequencies2.ESS	frequencies2.geometric-mean	frequencies3.mean	frequencies3.stderr	frequencies3.stddev	frequencies3.median	frequencies3.95%HPDlo	frequencies3.95%HPDup	frequencies3.ACT	frequencies3.ESS	frequencies3.geometric-mean	frequencies4.mean	frequencies4.stderr	frequencies4.stddev	frequencies4.median	frequencies4.95%HPDlo	frequencies4.95%HPDup	frequencies4.ACT	frequencies4.ESS	frequencies4.geometric-mean	alpha.mean	alpha.stderr	alpha.stddev	alpha.median	alpha.95%HPDlo	alpha.95%HPDup	alpha.ACT	alpha.ESS	alpha.geometric-mean	clock.rate.mean	clock.rate.stderr	clock.rate.stddev	clock.rate.median	clock.rate.95%HPDlo	clock.rate.95%HPDup	clock.rate.ACT	clock.rate.ESS	clock.rate.geometric-mean	meanRate.mean	meanRate.stderr	meanRate.stddev	meanRate.median	meanRate.95%HPDlo	meanRate.95%HPDup	meanRate.ACT	meanRate.ESS	meanRate.geometric-mean	treeLikelihood_really_logG.mean	treeLikelihood_really_logG.stderr	treeLikelihood_really_logG.stddev	treeLikelihood_really_logG.median	treeLikelihood_really_logG.95%HPDlo	treeLikelihood_really_logG.95%HPDup	treeLikelihood_really_logG.ACT	treeLikelihood_really_logG.ESS	treeLikelihood_really_logG.geometric-mean	branchRates.mean	branchRates.stderr	branchRates.stddev	branchRates.median	branchRates.95%HPDlo	branchRates.95%HPDup	branchRates.ACT	branchRates.ESS	branchRates.geometric-mean	skygrid.mean	skygrid.stderr	skygrid.stddev	skygrid.median	skygrid.95%HPDlo	skygrid.95%HPDup	skygrid.ACT	skygrid.ESS	skygrid.geometric-mean	.mean	.stderr	.stddev	.median	.95%HPDlo	.95%HPDup	.ACT	.ESS	.geometric-mean	N_bar.mean	N_bar.stderr	N_bar.stddev	N_bar.median	N_bar.95%HPDlo	N_bar.95%HPDup	N_bar.ACT	N_bar.ESS	N_bar.geometric-mean	
0	sims/sim_000/delphy-digested.log	3059.062767475036	33.23473704897175	55.88319842523483	3054.0	2990.0	3161.0	2.4793623543887118E8	2.827339855181563	3058.5569778443246	-5733.004303566337	5234.0531924524885	11579.259530928835	-7162.3	-26212.0	17403.0	1.4322957582044405E8	4.894240564384482	NaN	71014.51925820258	5616.9940724590115	12024.129726924797	69319.4	50863.0	95886.1	1.5297435925493062E8	4.58246730637903	70016.78719940069	-76747.52211126963	381.95210299147095	653.8528712485632	-76666.0	-78046.6	-75944.6	2.3920803234914166E8	2.9305036002170657	NaN	14.453136376604833	0.22251791018554748	0.7436217860503965	14.4301	12.6904	15.7342	6.27687894846498E7	11.16797067070141	14.43397191849064	2011.5414550641947	0.22248634171830792	0.7434322130933055	2011.56	2010.26	2013.3	6.278298765707822E7	11.165445069751605	2011.5413176821612	80.2566238231098	2.1630167494361667	4.727183167170024	80.0104	69.8103	89.4445	1.4676852234558925E8	4.7762285045657595	80.1187048268454	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	1.3989915249643372	0.011560392862869676	0.24017806210088405	1.37642	0.984848	1.88986	1624039.2893222666	431.6398036728143	1.378565951062543	-0.6516680261626255	0.015653249045744545	0.4144417548792109	-0.651866	-1.45082	0.151188	1000000.0	701.0	NaN	-0.4788767870042793	0.009809084265160833	0.20339456558008184	-0.480948	-0.901539	-0.116892	1630407.8538309166	429.95376791940924	NaN	-0.29551586905563487	0.010142632877891602	0.2035444992810369	-0.293024	-0.68868	0.073994	1740606.8554647912	402.73310299746765	NaN	-0.4587696590299571	0.008329084747799675	0.22052421764503888	-0.45911	-0.876649	-0.0414657	1000000.0	701.0	NaN	1.8793413552068503	0.033952744125436224	0.17552804430414728	1.88405	1.57614	2.21737	2.622857832051694E7	26.726572497894498	1.8711062235125229	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	5.329896262482168	0.008375861964361499	0.2122315154979186	5.31092	4.92611	5.77134	1091835.6998613446	642.0379916951076	5.325684499933194	0.31875384736091283	1.1455529686949355E-4	0.0025953568830793094	0.318685	0.313981	0.323966	1365696.5033508255	513.2912021668436	0.3187432829344574	0.3595104479315264	1.0283397282846233E-4	0.0027226738701789264	0.359505	0.353945	0.364636	1000000.0	701.0	0.3595001361738378	0.24629787303851652	9.363715144973106E-5	0.0023838043503225667	0.246388	0.241426	0.250595	1081616.2139428703	648.1041897889172	0.24628632571835088	0.07543783951497858	6.2390999656104E-5	0.0014962629889758588	0.0755415	0.0724989	0.0783013	1218838.1497443928	575.137888608926	0.0754229915862321	0.14170516262482155	0.004820799971613329	0.010366087159750043	0.142197	0.122037	0.160322	1.5160953971585497E8	4.623719597815592	0.1413229636966292	0.0012937218116975738	1.819275142849572E-5	6.852715690842892E-5	0.00129145	0.0011496	0.00142121	4.940709979319365E7	14.188244259108894	0.001291918711436109	0.0012937218116975738	1.819275142849572E-5	6.852715690842892E-5	0.00129145	0.0011496	0.00142121	4.940709979319365E7	14.188244259108894	0.001291918711436109	-76747.52211126963	381.95210299147095	653.8528712485632	-76666.0	-78046.6	-75944.6	2.3920803234914166E8	2.9305036002170657	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-406.96386162624793	3.1538556847510586	11.358551418175901	-406.783	-428.08	-384.61	5.404502909340366E7	12.9706656053139	NaN	NaN	null	NaN	null	null	null	null	null	null	1.0034569819483194	0.0052291800070392745	0.09639177496363806	0.996444934263134	0.8433705976231267	1.2064669350140145	2063028.5926269318	339.7917035688731	0.9989028051497836	
1	sims/sim_001/delphy-digested.log	953.8944365192582	0.5935454384980889	2.2294195243899195	954.0	950.0	958.0	4.968695255218091E7	14.108331543654534	953.8918339360699	22058.94312111265	709.4530657912857	18783.7664073268	20512.7	-11544.3	60143.6	999999.9999999999	701.0000000000001	NaN	72784.23980028533	707.0476026224065	18720.07839124183	71257.3	39268.1	110661.0	1000000.0	701.0	70393.28879539014	-50725.29657631953	4.452374709910639	82.46228197990395	-50726.4	-50890.8	-50572.6	2043575.7224463676	343.0261929128967	NaN	4.829038373751791	0.025043311429597443	0.29276114299899925	4.81644	4.27397	5.40162	5129495.561750772	136.6606114697053	4.820165537071922	2021.1654493580572	0.0250255136025725	0.2927833685866996	2021.18	2020.6	2021.72	5121429.637575903	136.8758431936205	2021.1654281517258	33.367192296718976	0.08463371939053749	1.1258343206334314	33.3393	31.1461	35.3219	3961465.7430622466	176.9547045125073	33.34825827423552	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	1.5410899700427954	0.009046768669177224	0.23952590751498576	1.51714	1.11713	2.03837	1000000.0	701.0	1.5227399821005931	0.14269036852496444	0.01857133042534169	0.4789427156303762	0.142409	-0.765871	1.0597	1053991.0123301062	665.0910603594875	NaN	0.14929652518259612	0.007485006363530721	0.1912765906476933	0.143198	-0.249868	0.486872	1073442.3401769188	653.0392679354021	NaN	0.12978021705563478	0.00754868376186549	0.1998620053992075	0.127257	-0.23777	0.537169	999999.9999999999	701.0000000000001	NaN	0.7972278914407994	0.007698945512252257	0.20384039629681117	0.800405	0.393011	1.18333	1000000.0	701.0	0.7667943353524316	0.07560754611269613	0.009735514626302228	0.18386256832274253	0.0704834	-0.258073	0.448351	1965392.0745095438	356.67183616527603	NaN	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	2.4748816405135523	0.006396634001344893	0.1563185128874696	2.46809	2.20262	2.81589	1173816.453686687	597.1972856559648	2.469951432117535	0.09930471255349492	8.18811709651508E-5	0.0017956362041787238	0.0992594	0.0962031	0.102972	1457637.0585334331	480.91532518066913	0.09928848489494346	0.2629492310984307	1.0474483397532512E-4	0.002532334875916801	0.263001	0.258062	0.267894	1199336.2789591881	584.4899485641708	0.26293703824187836	0.4265115720399425	1.2245754079553538E-4	0.002882193342278428	0.426665	0.420174	0.43135	1265443.8047245084	553.9558512063759	0.4265018256409444	0.2112344921540656	9.025105669049678E-5	0.0023584534685925584	0.211137	0.207166	0.216113	1026521.3454945396	682.8888683871297	0.21122132427247028	0.14132857460770337	6.042086199341424E-4	0.015997271877989376	0.140848	0.109284	0.172056	1000000.0	701.0	0.1404260468585761	9.741856405135509E-4	2.9590904654170284E-6	4.9169135046510246E-5	9.75648E-4	8.83839E-4	0.0010647	2538922.0431770063	276.1014273296962	9.729435847053686E-4	9.741856405135509E-4	2.9590904654170284E-6	4.9169135046510246E-5	9.75648E-4	8.83839E-4	0.0010647	2538922.0431770063	276.1014273296962	9.729435847053686E-4	-50725.29657631953	4.452374709910639	82.46228197990395	-50726.4	-50890.8	-50572.6	2043575.7224463676	343.0261929128967	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-452.33901426533544	0.5098099132519185	9.675209145007779	-451.999	-472.612	-435.976	1946318.2127529941	360.167209763948	NaN	NaN	null	NaN	null	null	null	null	null	null	1.302440639947665	0.005389344035858147	0.1345699067881979	1.2948709012141746	1.069977478370042	1.562516777233166	1124330.3426678474	623.4822395139176	1.295530818553973	
2	sims/sim_002/delphy-digested.log	791.7888730385164	0.21959951346059056	2.873647597235095	792.0	786.0	796.0	4093678.652939625	171.2396256351533	791.7836630374774	-61835.72895863052	54.45004198932042	1441.6413416378261	-62338.9	-63231.3	-58869.4	1000000.0	701.0	NaN	-30569.643509272497	54.514174332441996	1443.339335501759	-31062.6	-31996.5	-27657.3	1000000.0	701.0	NaN	-31266.089300998567	4.175228349065898	93.19872751661704	-31265.9	-31443.4	-31089.4	1406884.7356842863	498.26398866929543	NaN	6.262980228245364	0.02096349595325546	0.4396244479896204	6.24384	5.44261	7.10685	1593975.9479544768	439.78078897588244	6.247619838576113	2019.731540656206	0.02097405515422555	0.4394909132499148	2019.75	2018.89	2020.55	1596551.8541402032	439.0712385458423	2019.7314928383691	35.23589400855916	0.07086190436060823	1.5492559835399837	35.1956	32.4479	38.4198	1466551.4128632185	477.99210709660986	35.20194715839224	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	1.5494640342368067	0.013576806443433247	0.2573438175998662	1.53145	1.04745	2.04975	1951128.1400658586	359.2793244098967	1.5281310049600454	-0.39181911347360865	0.01822283657939063	0.43213845837055787	-0.41102	-1.17285	0.404478	1246534.039358905	562.3592921381639	NaN	-0.17457866257489296	0.007946543326172015	0.20476508998872842	-0.185268	-0.555593	0.222031	1055753.9039139082	663.9804952662181	NaN	0.3743380593295295	0.007797582952434653	0.20645196107077735	0.374103	-0.0238512	0.770157	1000000.0	701.0	NaN	0.5869815332952928	0.007813150950984435	0.20686414569903377	0.588793	0.203947	0.988731	999999.9999999999	701.0000000000001	NaN	0.10643673265335252	0.007431158029100447	0.19675034654881374	0.111564	-0.297315	0.454723	1000000.0000000001	700.9999999999999	NaN	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	5.444893623395152	0.01964654247689128	0.4602919557734518	5.4291	4.46884	6.27795	1277095.9007637782	548.9016130901061	5.42549106584652	0.04982389900142654	5.142786559626062E-5	0.0012158000522300568	0.0498049	0.0474519	0.0520351	1254269.0417558183	558.8912559132358	0.04980907444042259	0.0047430205991440795	1.6181711876906866E-5	3.6444661808380916E-4	0.00473323	0.00404116	0.0054047	1381971.5328442387	507.24633853873263	0.004729021733285886	0.16997401426533518	7.880408236890709E-5	0.0020864487681244836	0.17003	0.165659	0.173861	999999.9999999999	701.0000000000001	0.1699612156827674	0.7754590499286732	8.852124893459081E-5	0.002343724401588971	0.775395	0.77044	0.779686	1000000.0	701.0	0.7754555081098474	1.1160359472182606	0.01827198872434382	0.43756251812616787	1.00928	0.538091	1.9449	1222388.9887012823	573.4672076396664	1.0482648467679279	7.639316333808848E-4	1.8746076064131684E-6	4.32914280843029E-5	7.63744E-4	6.83745E-4	8.46315E-4	1314422.373639199	533.3141112465728	7.627069266858715E-4	7.639316333808848E-4	1.8746076064131684E-6	4.32914280843029E-5	7.63744E-4	6.83745E-4	8.46315E-4	1314422.373639199	533.3141112465728	7.627069266858715E-4	-31266.089300998567	4.175228349065898	93.19872751661704	-31265.9	-31443.4	-31089.4	1406884.7356842863	498.26398866929543	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-432.71487589158335	0.48102871496524935	12.350650952730557	-432.423	-460.712	-411.372	1063360.0166551145	659.2311061356742	NaN	NaN	null	NaN	null	null	null	null	null	null	1.1118516551750273	0.0046322622367043955	0.11980350528817771	1.0993129568629298	0.8846124587480557	1.343353715494412	1048009.5549190474	668.8870313345075	1.1054712446945312	
3	sims/sim_003/delphy-digested.log	705.320970042796	0.18519215927491997	1.9981381277730104	705.0	703.0	709.0	6021604.047626702	116.41416381010396	705.31814631158	-57383.38773181168	94.06469077442	2490.4948105530166	-58289.9	-59524.0	-52156.5	1000000.0	701.0	NaN	-29669.81169757493	95.29080983601199	2522.958034902943	-30606.5	-31892.5	-24488.4	1000000.0000000001	700.9999999999999	NaN	-27713.57803138372	4.0037425920709895	99.70795287301317	-27722.4	-27890.5	-27513.6	1130292.1586397064	620.1936328069775	NaN	4.835660442225387	0.015160644052330656	0.3561937459112122	4.8274	4.09863	5.48632	1269932.8019036623	551.9977111774598	4.8226041403942	2021.1591012838808	0.01516354102816023	0.35614942589211246	2021.17	2020.46	2021.85	1270734.39788237	551.6495037579762	2021.1590699044243	33.321361626248176	0.06378294789989987	1.5074664647385696	33.218	30.3844	36.0405	1254965.7510524108	558.5809807256838	33.28751340418896	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	1.5496825235378022	0.009722815964677972	0.25742520923247086	1.54096	1.07456	2.03127	1000000.0	701.0	1.5279077166641255	-0.182746733523538	0.017587445016386084	0.43703249769149183	-0.17848	-0.96412	0.706663	1135261.8893271475	617.4786686580944	NaN	-0.18039418989372344	0.007673633815506419	0.2031702335729154	-0.185736	-0.580767	0.177375	1000000.0000000001	700.9999999999999	NaN	0.41351113053495037	0.007823321599692802	0.2071334279091769	0.41373	0.0164719	0.791554	1000000.0	701.0	NaN	-0.1447191472467904	0.008123674776436683	0.2150857001364638	-0.151083	-0.582479	0.238578	999999.9999999999	701.0000000000001	NaN	0.5636111965763192	0.007554283194744928	0.18369504504881098	0.553232	0.236381	0.968955	1185522.1084108762	591.3006556576578	NaN	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	0.21458274094151247	0.004971558146149888	0.12824176180638874	0.193162	0.0298122	0.437884	1053523.221697819	665.3863774073194	0.18095049759609658	0.00777566315263909	1.8307720423512705E-5	4.8472261304890985E-4	0.00778302	0.00689833	0.00875702	1000000.0	701.0	0.00776047151626088	0.0019167879600570615	9.347126652513988E-6	2.4747830700357217E-4	0.00191976	0.00146454	0.00244209	1000000.0	701.0	0.0019006983496718296	0.23488094721825947	8.96571646025426E-5	0.002373799364386925	0.234789	0.230407	0.239594	999999.9999999999	701.0000000000001	0.23486895801624808	0.7554265962910126	9.13395576902792E-5	0.0024183430844964245	0.755518	0.750237	0.759522	1000000.0	701.0	0.7554227252047356	1.3787461469329514	0.028018104131948513	0.7373001413509305	1.17069	0.478465	2.84552	1012294.4918317071	692.4862336567376	1.229919965556997	7.225039572039948E-4	1.8061425848729692E-6	4.403805532322421E-5	7.23338E-4	6.35573E-4	7.98994E-4	1179141.2089021418	594.5004675501734	7.211554148322883E-4	7.225039572039948E-4	1.8061425848729692E-6	4.403805532322421E-5	7.23338E-4	6.35573E-4	7.98994E-4	1179141.2089021418	594.5004675501734	7.211554148322883E-4	-27713.57803138372	4.0037425920709895	99.70795287301317	-27722.4	-27890.5	-27513.6	1130292.1586397064	620.1936328069775	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-420.18297289586314	0.4581680764230358	11.441769194871364	-419.786	-441.719	-398.777	1124038.80291913	623.6439508845265	NaN	NaN	null	NaN	null	null	null	null	null	null	1.1040343244209163	0.004403988473301086	0.11254916008935352	1.0920897253295831	0.9094816292168278	1.3206992088116292	1073311.6626003056	653.1187766111584	1.0983976668007709	
4	sims/sim_004/delphy-digested.log	1736.3480741797432	0.529578597808013	3.224608901628613	1736.0	1730.0	1742.0	1.8907093489616808E7	37.07603182821133	1736.3450815589106	-55648.87289586305	223.80789929043152	5925.628491994857	-55900.9	-66107.9	-43151.8	1000000.0	701.0	NaN	-1684.140548787444	220.68445150828705	5842.930824799911	-1907.23	-12013.8	10672.7	1000000.0	701.0	NaN	-53964.73266761773	4.239123960331901	105.09217717368847	-53960.0	-54164.7	-53767.2	1140589.7700846859	614.5943251340511	NaN	1.9836908987161186	0.004628089209478677	0.07069892521827557	1.97813	1.84152	2.11233	3003971.7082344606	233.357723735688	1.9824338101252286	2024.0107988587783	0.004599324950702598	0.07040280265343173	2024.02	2023.88	2024.15	2991756.7782010655	234.3104911160289	2024.0107976343675	24.2101901569187	0.027961834016251214	0.5365433498859059	24.194	23.2379	25.3297	1903880.5267910247	368.19537262746724	24.20425252849974	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	1.5332598445078467	0.00979549673407608	0.2501486402010302	1.51273	1.02714	2.00834	1074916.3120945527	652.1437921376879	1.512829506973997	0.9568788591155483	0.019636910543936414	0.5199147884539385	0.93903	-0.0534651	1.96124	999999.9999999999	701.0000000000001	NaN	1.0391704336661918	0.007557412016344809	0.1872472680882199	1.03584	0.684634	1.39453	1141913.5789090705	613.8818321695604	1.0217227852880015	-0.05271213226390874	0.006425580111957866	0.1701262587680312	-0.0546154	-0.388024	0.260552	1000000.0	701.0	NaN	-0.7506716246790299	0.007689121705904102	0.2035802972253263	-0.747816	-1.15558	-0.362539	999999.9999999999	701.0000000000001	NaN	-0.35588004925820244	0.007472766764247418	0.19785199625503253	-0.360894	-0.741249	0.0142583	1000000.0	701.0	NaN	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	4.361580356633383	0.00900504245296073	0.2300379297204927	4.35765	3.90967	4.7898	1074213.5996965729	652.5704014527535	4.355537495758941	0.1937285592011411	9.412435696580522E-5	0.002132009713658786	0.193687	0.189783	0.19798	1366292.5627820177	513.0672735073941	0.19371682667358434	0.355561111269615	1.0342477127915525E-4	0.0027383160889943568	0.355465	0.350716	0.361041	1000000.0	701.0	0.3555505733368579	0.4427232810271043	1.0335826794361313E-4	0.0027365553197743224	0.4428	0.437226	0.447813	1000000.0	701.0	0.4427148210204069	0.007987046961483602	1.877554171914609E-5	4.971088389477842E-4	0.00795423	0.00699134	0.00890448	1000000.0	701.0	0.00797168282766509	0.2819773238231099	0.0010010872077949602	0.02650518994320005	0.280373	0.235563	0.33807	999999.9999999999	701.0000000000001	0.28074750024534634	0.002448947960057062	3.6069423285743433E-6	8.553412867562384E-5	0.00244729	0.0022873	0.00260586	1246572.5047183924	562.3419394753615	0.0024474596369806374	0.002448947960057062	3.6069423285743433E-6	8.553412867562384E-5	0.00244729	0.0022873	0.00260586	1246572.5047183924	562.3419394753615	0.0024474596369806374	-53964.73266761773	4.239123960331901	105.09217717368847	-53960.0	-54164.7	-53767.2	1140589.7700846859	614.5943251340511	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-387.5213708987158	0.33075374341026165	7.894348955179447	-387.444	-402.813	-372.518	1230537.6750604408	569.6696770910071	NaN	NaN	null	NaN	null	null	null	null	null	null	1.1897221561287497	0.005129789375839703	0.1358183789749211	1.177520928001294	0.9386836101023956	1.4524358158150945	1000000.0	701.0	1.1821763419415476	
5	sims/sim_005/delphy-digested.log	289.37945791726105	0.03878609079076412	0.8249533717932471	289.0	289.0	291.0	1549570.1204272546	452.38352931503164	289.3782874647994	-64335.688059914384	266.99784975323024	6768.898954135609	-66612.2	-68943.0	-52349.1	1090680.3368016793	642.7181057060391	NaN	-27320.11801426533	265.50129523217805	6733.909799245066	-29566.8	-31894.3	-15445.4	1089724.5040219927	643.2818546455779	NaN	-37015.569900142655	2.9512229584673104	67.61964169284627	-37023.6	-37121.6	-36874.6	1335292.2522630293	524.978706954944	NaN	3.8152472467902916	0.017676235932406935	0.4201758704772383	3.79726	2.95342	4.56164	1240610.2937205157	565.0444813719408	3.792359179950752	2022.179358059914	0.017684108586378245	0.42033173165231574	2022.2	2021.43	2023.04	1240794.931286737	564.9603994376771	2022.179314372534	28.432717831669034	0.07520396650494651	1.7704521964691289	28.3319	25.1037	31.8612	1264826.9266945545	554.2260250831029	28.378045485925917	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	1.4468645777460785	0.008895799536125527	0.23552878766774674	1.43883	1.02088	1.91535	999999.9999999999	701.0000000000001	1.42774101410164	0.8991972815549225	0.022656782311492003	0.5441125691395194	0.886707	-0.182292	1.92961	1215449.628347858	576.7413010384136	NaN	1.1468251398002853	0.009289162402807171	0.24594362207659332	1.12952	0.640482	1.58449	1000000.0	701.0	1.1199204476767326	-0.436437511968617	0.010542879866343799	0.26701767953010924	-0.434633	-0.960164	0.0786714	1092839.7891712456	641.4480941727085	NaN	-0.9832431654778886	0.012305107297946843	0.26346345317521264	-0.993716	-1.44072	-0.420749	1529142.8855480151	458.4267478370899	NaN	0.19797656244079884	0.008457353240367046	0.2239203061503696	0.187604	-0.199875	0.655011	1000000.0	701.0	NaN	1.0	0.0	0.0	1.0	1.0	1.0	NaN	NaN	1.0	14.563901797432239	0.11013571302715777	2.6382742945818918	14.2951	9.89818	20.0764	1221615.2947348126	573.8304055469218	14.329840259235567	0.0641451917261055	5.127109586115814E-5	0.001357474277780439	0.0641244	0.0614981	0.0668013	1000000.0	701.0	0.06413081606236215	0.5887406077032806	1.0511612370457917E-4	0.0027830970201085095	0.588723	0.582888	0.59376	1000000.0	701.0	0.5887340294652654	0.19495423252496424	9.240756047274855E-5	0.002324841052390559	0.195049	0.190535	0.199541	1107507.042672783	632.9530856149265	0.19494035840821386	0.15215998145506415	7.50739698814814E-5	0.001987688800740665	0.152157	0.148495	0.156256	1000000.0	701.0	0.15214697556215193	1.2329623523537807	0.040444711734267835	0.8480117252878222	0.981056	0.207855	2.82814	1594548.716512952	439.6228178797735	1.0103428651326285	3.47864504992867E-4	1.1599287804986484E-6	3.0414498665986742E-5	3.48737E-4	2.87036E-4	4.03138E-4	1019575.3858266046	687.5411173560996	3.4653523205431796E-4	3.47864504992867E-4	1.1599287804986484E-6	3.0414498665986742E-5	3.48737E-4	2.87036E-4	4.03138E-4	1019575.3858266046	687.5411173560996	3.4653523205431796E-4	-37015.569900142655	2.9512229584673104	67.61964169284627	-37023.6	-37121.6	-36874.6	1335292.2522630293	524.978706954944	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-380.11909843081315	0.8141834277689536	18.539611839408803	-379.932	-419.683	-347.4	1351951.961720277	518.509547564116	NaN	NaN	null	NaN	null	null	null	null	null	null	1.188626647595676	0.007044896277499391	0.15161302137597876	1.1741841899168177	0.9211027365810633	1.4817997555023985	1513541.103178562	463.15227153583197	1.1792323327122254	
