#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2024.127	6.855e+00	3.277e+00	1.434e+01
2024.194	3.577e+01	2.897e+01	4.415e+01
2024.260	2.159e+02	1.826e+02	2.552e+02
2024.327	1.058e+02	8.601e+01	1.302e+02
2024.394	1.019e+02	8.555e+01	1.215e+02
2024.460	2.494e+02	2.121e+02	2.933e+02
2024.527	1.743e+02	1.337e+02	2.271e+02
2024.594	6.263e+01	3.983e+01	9.848e+01
2024.660	2.180e+01	1.714e+01	2.773e+01
2024.727	7.270e+01	6.092e+01	8.676e+01
2024.794	8.398e+01	7.241e+01	9.740e+01
2024.860	1.477e+02	1.305e+02	1.672e+02
2024.927	2.385e+02	2.118e+02	2.685e+02
2024.993	5.978e+02	3.836e+02	9.318e+02
2025.060	9.853e+01	6.754e+01	1.437e+02
2025.127	7.681e+01	5.508e+01	1.071e+02
2025.193	4.114e+01	2.993e+01	5.654e+01
2025.260	4.300e+01	3.431e+01	5.390e+01
2025.327	8.855e+01	7.434e+01	1.055e+02
2025.393	6.074e+01	4.436e+01	8.316e+01
2025.460	2.467e+01	1.720e+01	3.538e+01
2025.527	4.571e+01	3.775e+01	5.535e+01
2025.593	8.080e+01	5.600e+01	1.166e+02
