item                                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                              666.2521 0.270856 0.888325 666      665      668      13016477 10.75636 666.2516
posterior_for_Delphy                 -49078.6 5.155144 92.16319 -49076.1 -49262.1 -48903.6 4380518. 319.6196 NaN     
prior_for_Delphy                     1092.649 3.855265 63.21359 1093.99  967.376  1213.82  5207707. 268.8514 1090.802
likelihood_really_logG               -50171.3 1.635716 30.88385 -50170.7 -50232.2 -50112.1 3927460. 356.4898 NaN     
rootHeight                           0.425509 0.000767 0.029187 0.423683 0.369366 0.480877 967402.1 1447.278 0.42453 
age(root)                            2019.926 0.000768 0.029391 2019.93  2019.87  2019.98  955053.0 1465.991 2019.926
treeLength                           22.63634 0.064278 1.06178  22.5817  20.5793  24.6896  5131222. 272.8589 22.61163
exponential.popSize                  6.621672 0.048523 1.254085 6.4964   4.35305  9.10778  2096039. 667.9741 6.507098
exponential.growthRate               11.86010 0.040912 1.428977 11.8483  8.97184  14.5797  1147657. 1219.963 11.77286
kappa                                5.42313  0.004041 0.468626 5.40134  4.53282  6.33713  104129.5 13445.75 5.403059
frequencies1                         0.296271 2.73E-5  0.002632 0.29625  0.291318 0.301569 150734.5 9288.511 0.296259
frequencies2                         0.181372 2.32E-5  0.002218 0.181389 0.17704  0.185744 152755.6 9165.619 0.181359
frequencies3                         0.192841 2.24E-5  0.002242 0.192814 0.188581 0.197369 140090.6 9994.243 0.192828
frequencies4                         0.329516 2.81E-5  0.002722 0.32954  0.324364 0.334923 149155.5 9386.841 0.329505
clock.rate                           0.001004 2.96E-6  6.13E-5  0.001003 0.000887 0.001126 3274065. 427.6334 0.001002
meanRate                             0.001004 2.96E-6  6.13E-5  0.001003 0.000887 0.001126 3274065. 427.6334 0.001002
age(NC_045512.2|NC_045512.2|2019-12) 0.389852 0.000383 0.023365 0.387352 0.353433 0.431146 376851.2 3715.258 0.389158
treeLikelihood_really_logG           -50171.3 1.635716 30.88385 -50170.7 -50232.2 -50112.1 3927460. 356.4898 NaN     
branchRates                          0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                           -1126.64 3.84987  63.13835 -1125.35 -1251.1  -1005.04 5205525. 268.9641 NaN     
