replicate	num_mutations
sim_000	2130
sim_001	112
sim_002	17
sim_003	1905
sim_004	2041
sim_005	790
sim_006	62
sim_007	1662
sim_008	216
sim_009	231
sim_010	335
sim_011	2204
sim_012	882
sim_013	604
sim_014	811
sim_015	394
sim_016	1013
sim_017	148
sim_018	494
sim_019	439
sim_020	1164
sim_021	462
sim_022	363
sim_023	399
sim_024	1997
sim_025	1649
sim_026	1198
sim_027	304
sim_028	455
sim_029	220
sim_030	259
sim_031	443
sim_032	1593
sim_033	1024
sim_034	603
sim_035	3230
sim_036	217
sim_037	2625
sim_038	501
sim_039	2290
sim_040	662
sim_041	10
sim_042	2187
sim_043	508
sim_044	1474
sim_045	293
sim_046	498
sim_047	326
sim_048	728
sim_049	450
sim_050	1146
sim_051	237
sim_052	1844
sim_053	191
sim_054	748
sim_055	115
sim_056	239
sim_057	814
sim_058	1459
sim_059	1109
sim_060	1048
sim_061	170
sim_062	703
sim_063	677
sim_064	36
sim_065	229
sim_066	144
sim_067	1687
sim_068	274
sim_069	94
sim_070	644
sim_071	39
sim_072	85
sim_073	221
sim_074	571
sim_075	789
sim_076	361
sim_077	78
sim_078	2463
sim_079	996
sim_080	776
sim_081	1089
sim_082	218
sim_083	2033
sim_084	112
sim_085	803
sim_086	183
sim_087	42
sim_088	470
sim_089	972
sim_090	1451
sim_091	546
sim_092	1081
sim_093	710
sim_094	375
sim_095	18
sim_096	885
sim_097	607
sim_098	170
sim_099	1265
sim_100	98
sim_101	248
sim_102	615
sim_103	1744
sim_104	2089
sim_105	1481
sim_106	36
sim_107	2518
sim_108	399
sim_109	3028
sim_110	155
sim_111	604
sim_112	92
sim_113	1375
sim_114	1555
sim_115	152
sim_116	292
sim_117	225
sim_118	1122
sim_119	167
sim_120	208
sim_121	12
sim_122	88
sim_123	64
sim_124	238
sim_125	2777
sim_126	3112
sim_127	3122
sim_128	765
sim_129	774
sim_130	227
sim_131	504
sim_132	415
sim_133	2300
sim_134	414
sim_135	196
sim_136	986
sim_137	679
sim_138	941
sim_139	437
sim_140	950
sim_141	265
sim_142	3212
sim_143	1159
sim_144	330
sim_145	669
sim_146	221
sim_147	1161
sim_148	1224
sim_149	3481
sim_150	464
sim_151	1124
sim_152	214
sim_153	371
sim_154	65
sim_155	489
sim_156	142
sim_157	1170
sim_158	82
sim_159	627
sim_160	676
sim_161	954
sim_162	224
sim_163	292
sim_164	497
sim_165	404
sim_166	25
sim_167	837
sim_168	1145
sim_169	873
sim_170	536
sim_171	478
sim_172	798
sim_173	1017
sim_174	1680
sim_175	1358
sim_176	2259
sim_177	2278
sim_178	69
sim_179	427
sim_180	760
sim_181	2814
sim_182	829
sim_183	3027
sim_184	148
sim_185	969
sim_186	646
sim_187	839
sim_188	400
sim_189	799
sim_190	825
sim_191	830
sim_192	269
sim_193	203
sim_194	1906
sim_195	578
sim_196	1669
sim_197	868
sim_198	140
sim_199	1431
