name,date
BRA_2016_FC-5905-SER|2016-03-23,2016-03-23
BRA_2016_FC-6418-SER|2016-03-27,2016-03-27
BRA_2016_FC-6696-SER|2016-04-05,2016-04-05
BRA_2016_FC-6703-SER|2016-04-08,2016-04-08
BRA_2016_FC-6706-SER|2016-04-08,2016-04-08
BRA_2016_FC-6863-SER|2016-04-12,2016-04-12
BRA_2016_FC-6864-URI|2016-04-12,2016-04-12
BRA_2016_FC-DQ107D1-URI|2016-04-13,2016-04-13
BRA_2016_FC-DQ116D1-PLA|2016-04-14,2016-04-14
BRA_2016_FC-DQ122D1-PLA|2016-04-15,2016-04-15
BRA_2016_FC-DQ12D1-PLA|2016-03-15,2016-03-15
BRA_2016_FC-DQ131D1-URI|2016-04-18,2016-04-18
BRA_2016_FC-DQ192D1-URI|2016-05-10,2016-05-10
BRA_2016_FC-DQ28D1-URI|2016-03-21,2016-03-21
BRA_2016_FC-DQ42D1-URI|2016-03-23,2016-03-23
BRA_2016_FC-DQ47D1-PLA|2016-03-28,2016-03-28
BRA_2016_FC-DQ49D1-PLA|2016-03-28,2016-03-28
BRA_2016_FC-DQ58D1-PLA|2016-03-30,2016-03-30
BRA_2016_FC-DQ5D1-URI|2016-03-14,2016-03-14
BRA_2016_FC-DQ60D1-PLA|2016-03-30,2016-03-30
BRA_2016_FC-DQ60D1-URI|2016-03-30,2016-03-30
BRA_2016_FC-DQ62D1-PLA|2016-03-30,2016-03-30
BRA_2016_FC-DQ62D2-URI|2016-04-06,2016-04-06
BRA_2016_FC-DQ68D1-URI|2016-04-01,2016-04-01
BRA_2016_FC-DQ75D1-PLA|2016-04-04,2016-04-04
BRA_2016_FC-DQ75D1-URI|2016-04-04,2016-04-04
PRI_2016_MA-WGS16-004-SER|2016-04-13,2016-04-13
PRI_2016_MA-WGS16-005-SER|2016-04-12,2016-04-12
DOM_2016_MA-WGS16-007-SER|2016-05-10,2016-05-10
DOM_2016_MA-WGS16-009-SER|2016-05-24,2016-05-24
DOM_2016_MA-WGS16-011-SER|2016-06-06,2016-06-06
DOM_2016_MA-WGS16-013-SER|2016-06-15,2016-06-15
DOM_2016_MA-WGS16-014-SER|2016-06-18,2016-06-18
PRI_2016_MA-WGS16-016-SER|2016-06-26,2016-06-26
DOM_2016_MA-WGS16-020-SER|2016-06-30,2016-06-30
HTI_2016_MA-WGS16-022-SER|2016-07-05,2016-07-05
DOM_2016_MA-WGS16-024-SER|2016-07-07,2016-07-07
JAM_2016_MA-WGS16-025-SER|2016-07-10,2016-07-10
UNK_2016_MA-WGS16-029-SER|2016-08-05,2016-08-05
DOM_2016_MA-WGS16-031-SER|2016-08-17,2016-08-17
USA_2016_MA-WGS16-034-SER|2016-08-15,2016-08-15
DOM_2016_MA-WGS16-036-SER|2016-09-22,2016-09-22
JAM_2016_MA-WGS16-038-SER|2016-09-26,2016-09-26
JAM_2016_MA-WGS16-039-SER|2016-09-28,2016-09-28
DOM_2016_MA-WGS16-040-SER|2016-10-06,2016-10-06
JAM_2016_MA-WGS16-041-SER|2016-10-12,2016-10-12
COL_2016_SU-1810A-SER|2016-04-06,2016-04-06
COL_2016_SU-1856A-SER|2016-04-28,2016-04-28
COL_2016_SU-2293A-SER|2016-06-09,2016-06-09
COL_2016_SU-2724A-SER|2016-04-05,2016-04-05
HND_2016_HU-ME131-PLA|2016-05-28,2016-05-28
HND_2016_HU-ME136-PLA|2016-05-31,2016-05-31
HND_2016_HU-ME137-PLA|2016-05-31,2016-05-31
HND_2016_HU-ME147-SER|2016-06-04,2016-06-04
HND_2016_HU-ME152-SER|2016-06-06,2016-06-06
HND_2016_HU-ME156-SER|2016-06-07,2016-06-07
HND_2016_HU-ME167-PLA|2016-06-09,2016-06-09
HND_2016_HU-ME171-PLA|2016-06-10,2016-06-10
HND_2016_HU-ME172-PLA|2016-06-10,2016-06-10
HND_2016_HU-ME178-PLA|2016-06-10,2016-06-10
HND_2016_HU-ME180-PLA|2016-06-13,2016-06-13
HND_2016_HU-ME33-PLA|2016-04-28,2016-04-28
HND_2016_HU-ME38-PLA|2016-04-30,2016-04-30
HND_2016_HU-ME42-SER|2016-05-09,2016-05-09
HND_2016_HU-ME50-PLA|2016-05-12,2016-05-12
HND_2016_HU-ME58-PLA|2016-05-13,2016-05-13
HND_2016_HU-ME59-PLA|2016-05-13,2016-05-13
HND_2016_HU-SZ76-SER|2016-05-03,2016-05-03
JAM_2016_WI-JM6-SER|2016-06-13,2016-06-13
