# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola_dudas.fasta <DASH-DASH>v0-steps 10000000000 <DASH-DASH>v0-out-log-file delphy_outputs_a/ebola_dudas_delphy.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_a/ebola_dudas_delphy.trees <DASH-DASH>v0-tree-every 10000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_a/ebola_dudas_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 10000000 <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-prior-double-half-time 0.5 <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 25 <DASH-DASH>v0-skygrid-cutoff 2
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
0	3609	-108044	-22650.5	-85394	3.63438	2012.18	488.026	0	12.4882	0.657834	0.5664	0.556876	0.844765	1.09229	0.993035	0.867716	1.23964	1.09733	1.27985	1.17464	1.44214	1.53133	1.45476	1.35239	1.44434	1.23464	0.95471	1.07603	0.91323	1.35835	1.47805	1.39382	0.845587	0.615549	2	1	0.320067	0.213308	0.197568	0.269057	0.001	0.001	-85394	0.0	-17401.7	
2000000	3040	-81973.3	-10942.9	-71030.4	3.83008	2011.98	251.723	0	12.4882	1.85548	1.73198	1.877	1.17438	1.32922	1.09397	1.61356	2.08866	2.46197	2.27306	3.17036	3.2778	3.25895	3.62045	3.03621	2.80891	2.53312	1.69231	1.62715	2.06129	2.15531	1.85277	1.37573	1.38471	1.26802	2	10.2536	0.307534	0.217041	0.201276	0.274149	0.000633911	0.000633911	-71030.4	0.0	-5691.43	
4000000	2931	-79058.5	-10240.9	-68817.6	2.73816	2013.07	197.097	0	12.4882	-0.757574	-0.355795	-0.140634	0.514206	0.722984	0.69035	0.998596	1.6891	1.78582	2.25571	2.81151	3.05512	3.31964	3.28196	2.50136	2.47247	1.7577	0.801186	0.80878	0.970046	0.997412	1.09092	0.764102	0.752993	0.33865	2	11.0619	0.309149	0.221633	0.200365	0.268853	0.000796707	0.000796707	-68817.6	0.0	-4989.36	
6000000	2885	-77657.3	-9848.82	-67808.5	2.39858	2013.41	172.09	0	12.4882	-0.200451	0.15755	0.312388	0.341905	0.740424	0.751262	0.893034	1.68105	1.58415	1.88916	2.68246	3.11054	3.12744	3.0127	2.32391	1.75104	1.30728	0.0882478	0.425565	0.58463	-0.0166497	0.381587	0.405871	-0.041747	-0.257274	2	10.0877	0.315977	0.218268	0.202139	0.263616	0.00089963	0.00089963	-67808.5	0.0	-4597.43	
8000000	2873	-77086.6	-9643.49	-67443.1	2.1476	2013.66	160.085	0	12.4882	-0.662826	-0.462209	-0.472196	0.225397	0.342626	0.796329	1.00428	1.547	1.64094	1.76672	2.57615	2.81979	2.86155	2.83999	2.1878	1.54527	0.881144	-0.282622	0.213446	0.195004	0.0387048	-0.280001	-0.374344	-0.397152	-0.288584	2	10.2647	0.306294	0.219912	0.200455	0.273339	0.00097361	0.00097361	-67443.1	0.0	-4392.07	
10000000	2863	-76716.4	-9535.96	-67180.4	1.90569	2013.9	153.22	0	12.4882	-0.740128	-0.49363	0.0595682	0.0931277	0.520963	0.604038	1.13945	1.39286	1.46544	1.73106	2.43447	2.48497	2.92011	2.68477	2.00722	1.33705	0.728425	-0.199894	-0.152549	-0.102427	-0.149109	-0.665102	-0.882381	-0.824519	-1.0728	2	9.76025	0.310719	0.219261	0.203223	0.266798	0.000993856	0.000993856	-67180.4	0.0	-4284.63	
12000000	2851	-76203.9	-9348.5	-66855.4	1.81857	2013.99	144.625	0	12.4882	-0.545132	-0.520301	0.0664207	0.154079	0.400863	0.492712	1.04149	1.36972	1.25007	1.4537	2.59262	2.79697	2.89009	2.45631	1.89845	1.20032	0.518141	-0.567866	-0.29222	-0.62307	-0.763771	-0.773926	-0.710484	-0.412308	-0.664645	2	10.8086	0.308849	0.225725	0.200558	0.264869	0.00104946	0.00104946	-66855.4	0.0	-4096.98	
14000000	2844	-76011.4	-9293.68	-66717.8	1.76921	2014.04	142.264	0	12.4882	-0.230368	-0.0512314	0.157417	0.198442	0.316151	0.491517	1.1321	1.39145	1.30934	1.73114	2.29245	2.58019	2.87839	2.54662	1.60623	1.38704	0.408175	-0.0758921	-0.17928	-0.503233	-0.774621	-0.788056	-0.812353	-1.42707	-1.19751	2	10.2066	0.311735	0.21803	0.199207	0.271029	0.00105698	0.00105698	-66717.8	0.0	-4042.27	
16000000	2839	-76102	-9365.75	-66736.2	1.77931	2014.03	146.949	0	12.4882	-0.707412	-0.434362	-0.156984	0.0617749	0.186579	0.412818	0.639843	1.23684	1.54795	1.89115	2.67514	2.64497	2.81956	2.83405	1.72468	1.22444	0.237208	-0.374685	-0.362355	-0.497164	-1.38769	-1.31677	-1.46045	-1.09836	-0.909931	2	10.4125	0.311857	0.218895	0.204868	0.26438	0.00102355	0.00102355	-66736.2	0.0	-4114.3	
18000000	2825	-75817.5	-9300.66	-66516.8	1.83392	2013.98	144.824	0	12.4882	-0.521095	-0.210045	0.0307933	0.310226	0.456443	0.439391	0.96843	1.39099	1.28842	1.7344	2.73366	2.48561	2.87104	2.79479	1.63457	1.46981	0.235666	-0.32745	-0.199978	-0.149837	-0.993541	-1.40596	-1.72354	-1.55612	-1.57717	2	10.4246	0.31018	0.217801	0.20766	0.264359	0.00105385	0.00105385	-66516.8	0.0	-4049.21	
