item                       mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                    2786.075 0.143123 1.890379 2786     2782     2789     40136846 174.4531 2786.075
posterior_for_Delphy       -74897.6 3.71453  104.0511 -74898.7 -75099.5 -74693.5 8923510. 784.6687 NaN     
prior_for_Delphy           -9103.27 2.386973 58.52613 -9104.23 -9217.54 -8991.06 11647092 601.1800 NaN     
likelihood_really_logG     -65794.3 1.711392 50.15304 -65794.3 -65887.6 -65691.6 8153164. 858.8075 NaN     
rootHeight                 1.798384 0.001105 0.049728 1.7934   1.70855  1.89718  3458450. 2024.605 1.797705
age(root)                  2014.011 0.00111  0.049657 2014.02  2013.92  2014.1   3497493. 2002.004 2014.011
treeLength                 134.7206 0.101795 2.415903 134.73   130.061  139.304  12431167 563.2616 134.6990
skygrid.isloglinear        0        0        0        0        0        0        NaN      NaN      NaN     
skygrid.precision          12.4882  2.74E-6  3.42E-6  12.4882  12.4882  12.4882  44852206 1.561127 12.4882 
skygrid.logPopSize1        -0.62230 0.008363 0.432486 -0.63486 -1.43083 0.295999 2618238. 2674.317 NaN     
skygrid.logPopSize2        -0.48305 0.006318 0.340059 -0.49683 -1.12669 0.221517 2417279. 2896.644 NaN     
skygrid.logPopSize3        -0.21909 0.004905 0.256951 -0.22048 -0.72052 0.271924 2551341. 2744.438 NaN     
skygrid.logPopSize4        0.015676 0.00386  0.201458 0.014227 -0.41682 0.369628 2570069. 2724.439 NaN     
skygrid.logPopSize5        0.203367 0.002795 0.152649 0.200888 -0.07837 0.50931  2347460. 2982.797 NaN     
skygrid.logPopSize6        0.383978 0.003634 0.160706 0.387141 0.063079 0.683396 3579745. 1956.005 NaN     
skygrid.logPopSize7        0.82011  0.003247 0.161585 0.817962 0.501865 1.1328   2827550. 2476.348 0.803333
skygrid.logPopSize8        1.291301 0.003119 0.147059 1.29174  1.0064   1.57237  3150401. 2222.573 1.282836
skygrid.logPopSize9        1.253687 0.002893 0.124289 1.25404  1.0012   1.48342  3792851. 1846.104 1.247455
skygrid.logPopSize10       1.578023 0.001991 0.113883 1.57435  1.35417  1.8038   2140951. 3270.509 1.573912
skygrid.logPopSize11       2.361461 0.003161 0.136154 2.36045  2.10966  2.63476  3773133. 1855.752 2.357529
skygrid.logPopSize12       2.462963 0.00297  0.13289  2.45848  2.20468  2.71971  3496504. 2002.571 2.459384
skygrid.logPopSize13       2.720182 0.002397 0.117381 2.71987  2.5021   2.96423  2920747. 2397.331 2.717654
skygrid.logPopSize14       2.562576 0.00282  0.128057 2.56327  2.31375  2.79927  3394492. 2062.753 2.55938 
skygrid.logPopSize15       1.539333 0.003322 0.136461 1.53624  1.28535  1.81554  4150761. 1686.919 1.533278
skygrid.logPopSize16       1.120108 0.003849 0.157958 1.11929  0.812461 1.42712  4158106. 1683.939 1.10877 
skygrid.logPopSize17       0.067421 0.005413 0.172759 0.065326 -0.27150 0.404881 6874162. 1018.596 NaN     
skygrid.logPopSize18       -0.79594 0.003893 0.197423 -0.79770 -1.1743  -0.41086 2723193. 2571.245 NaN     
skygrid.logPopSize19       -0.78782 0.004075 0.219142 -0.78622 -1.21373 -0.35711 2421632. 2891.437 NaN     
skygrid.logPopSize20       -0.88882 0.00587  0.262476 -0.88405 -1.38747 -0.37015 3501658. 1999.624 NaN     
skygrid.logPopSize21       -1.14798 0.007213 0.338199 -1.14082 -1.76545 -0.45258 3184719. 2198.623 NaN     
skygrid.logPopSize22       -1.26461 0.009022 0.417555 -1.25866 -2.08855 -0.48285 3268576. 2142.217 NaN     
skygrid.logPopSize23       -1.28334 0.010892 0.502329 -1.28037 -2.27478 -0.30804 3291917. 2127.027 NaN     
skygrid.logPopSize24       -1.28349 0.012807 0.579845 -1.28242 -2.42451 -0.17367 3415888. 2049.832 NaN     
skygrid.logPopSize25       -1.28339 0.016303 0.648622 -1.28771 -2.55726 -0.01435 4423527. 1582.899 NaN     
skygrid.cutOff             2        0        0        2        2        2        NaN      NaN      2       
kappa                      10.20556 0.008696 0.514548 10.1872  9.26739  11.2487  2000000  3501     10.19262
frequencies1               0.310404 5.3E-5   0.003134 0.310356 0.304218 0.316328 2000000  3501     0.310388
frequencies2               0.221626 4.74E-5  0.00277  0.221588 0.216447 0.227217 2050709. 3414.427 0.221609
frequencies3               0.201912 4.75E-5  0.002734 0.201891 0.196554 0.20715  2110638. 3317.479 0.201894
frequencies4               0.266058 5.05E-5  0.002986 0.265993 0.260406 0.271871 2000000  3501     0.266041
clock.rate                 0.001108 9.28E-7  2.9E-5   0.001108 0.001052 0.001164 7194445. 973.2508 0.001108
meanRate                   0.001108 9.28E-7  2.9E-5   0.001108 0.001052 0.001164 7194445. 973.2508 0.001108
treeLikelihood_really_logG -65794.3 1.711392 50.15304 -65794.3 -65887.6 -65691.6 8153164. 858.8075 NaN     
branchRates                0        0        0        0        0        0        NaN      NaN      NaN     
skygrid                    -3851.87 2.387281 58.52571 -3852.85 -3966.02 -3739.75 11650264 601.0164 NaN     
