Observable	Low_ESS_runs	Very_low_ESS_runs	N	Low_frac	Very_low_frac	Mean_ESS	Std_ESS	Ignored
N_bar	0	0	200	0.0	0.0	652.6890160239759	68.84660522918671	no
alpha	4	4	200	0.02	0.02	625.9152783479582	116.61196268021985	no
clock.rate	1	0	200	0.005	0.0	650.9473832028922	84.00023832168438	no
frequencies1	0	0	200	0.0	0.0	660.7183763643733	57.43064961506297	no
frequencies2	0	0	200	0.0	0.0	651.1360930816713	72.95532410613076	no
frequencies3	0	0	200	0.0	0.0	662.6937030383284	63.53689332285511	no
frequencies4	0	0	200	0.0	0.0	653.7924517665227	74.57214335805966	no
kappa	0	0	200	0.0	0.0	653.4826136044289	68.75347770381647	no
likelihood_really_logG	5	5	200	0.025	0.025	623.3707204772936	123.36994285959554	no
meanRate	1	0	200	0.005	0.0	650.9473832028922	84.00023832168438	no
minTipESS_month	4	2	200	0.02	0.01	408.0102381557325	70.45469556235717	no
numMuts	24	20	200	0.12	0.1	504.6671647403324	207.20614477753952	no
posterior_for_Delphy	4	4	200	0.02	0.02	635.9050202532135	114.86065608656601	no
prior_for_Delphy	4	4	200	0.02	0.02	635.1782432768753	114.75936840871509	no
rootHeight	6	6	200	0.03	0.03	625.9989370467522	130.8699630515898	no
skygrid	1	0	200	0.005	0.0	650.7220914818151	80.85917637331667	no
skygrid.logPopSize1	0	0	200	0.0	0.0	659.1781670965553	63.132362731871154	no
skygrid.logPopSize2	0	0	200	0.0	0.0	652.0048135668017	66.32507663390884	no
skygrid.logPopSize3	0	0	200	0.0	0.0	659.6709825111641	62.85503878231483	no
skygrid.logPopSize4	0	0	200	0.0	0.0	660.1359038430376	67.1115758926193	no
skygrid.logPopSize5	0	0	200	0.0	0.0	656.7554682527151	72.12016812277173	no
skygrid.precision	0	0	200	0.0	0.0	661.3182208845203	64.70165989999366	no
treeLength	4	3	200	0.02	0.015	633.6861987776505	111.98170211230851	no
treeLikelihood_really_logG	5	5	200	0.025	0.025	623.3707204772936	123.36994285959554	no
