Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.9273743016759777	179	0.950	0.9162011173184358	0.9776536312849162
alpha	0.9497206703910615	179	0.950	0.9162011173184358	0.9776536312849162
tau	0.9720670391061452	179	0.950	0.9162011173184358	0.9776536312849162
gamma_0	0.9273743016759777	179	0.950	0.9162011173184358	0.9776536312849162
gamma_1	0.9553072625698324	179	0.950	0.9162011173184358	0.9776536312849162
gamma_2	0.9273743016759777	179	0.950	0.9162011173184358	0.9776536312849162
gamma_3	0.9329608938547486	179	0.950	0.9162011173184358	0.9776536312849162
gamma_4	0.9329608938547486	179	0.950	0.9162011173184358	0.9776536312849162
N_bar	0.9385474860335196	179	0.950	0.9162011173184358	0.9776536312849162
kappa	0.9385474860335196	179	0.950	0.9162011173184358	0.9776536312849162
pi_A	0.9106145251396648	179	0.950	0.9162011173184358	0.9776536312849162
pi_C	0.9441340782122905	179	0.950	0.9162011173184358	0.9776536312849162
pi_G	0.9273743016759777	179	0.950	0.9162011173184358	0.9776536312849162
pi_T	0.9217877094972067	179	0.950	0.9162011173184358	0.9776536312849162
rootHeight	0.9162011173184358	179	0.950	0.9162011173184358	0.9776536312849162
