replicate	mu	alpha	tau	gamma_0	gamma_1	gamma_2	gamma_3	gamma_4	N_bar	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.034236804564907276	0.8017118402282454	0.07845934379457917	0.7803138373751783	0.9743223965763196	0.6590584878744651	0.44365192582025675	0.7346647646219686	0.9686162624821684	0.5007132667617689	0.9029957203994294	0.24536376604850213	0.33808844507845937	0.37089871611982883	0.905848787446505
sim_001	0.6333808844507846	0.06562054208273894	0.30385164051355207	0.2738944365192582	0.11840228245363767	0.9329529243937232	0.7803138373751783	0.456490727532097	0.3338088445078459	0.7631954350927247	0.5378031383737518	0.6847360912981455	0.4921540656205421	0.3095577746077033	0.738944365192582
sim_002	0.12410841654778887	0.6462196861626248	0.9144079885877318	0.5905848787446505	0.08701854493580599	0.6276747503566333	0.4122681883024251	0.21255349500713266	0.1383737517831669	0.651925820256776	0.3238231098430813	0.0456490727532097	0.7261055634807418	0.8701854493580599	0.3466476462196862
sim_003	0.19828815977175462	0.0898716119828816	0.05135520684736091	0.43081312410841655	0.9614835948644793	0.7731811697574893	0.25677603423680456	0.9215406562054208	0.9514978601997147	0.5206847360912982	0.4008559201141227	0.6005706134094151	0.6804564907275321	0.33238231098430815	0.927246790299572
sim_004	0.6034236804564908	0.37945791726105566	0.03281027104136947	0.6633380884450785	0.23252496433666192	0.6776034236804565	0.06134094151212553	0.8216833095577746	0.5606276747503567	0.34807417974322397	0.7945791726105563	0.34807417974322397	0.7403708987161198	0.1355206847360913	0.289586305278174
sim_005	0.35520684736091296	0.7061340941512125	0.927246790299572	0.07703281027104136	0.8787446504992867	0.8045649072753209	0.2211126961483595	0.39372325249643364	0.4079885877318117	0.14978601997146934	0.6562054208273894	0.6262482168330956	0.2995720399429387	0.38088445078459343	0.9671897289586305
sim_006	0.33238231098430815	0.6390870185449358	0.920114122681883	0.42796005706134094	0.9158345221112696	0.3281027104136947	0.9400855920114123	0.644793152639087	0.8972895863052782	0.557774607703281	0.4037089871611983	0.20970042796005706	0.9443651925820257	0.18830242510699002	0.26105563480741795
sim_007	0.6761768901569187	0.7332382310984308	0.39372325249643364	0.20542082738944364	0.6961483594864479	0.905848787446505	0.6690442225392297	0.21398002853067047	0.44079885877318115	0.543509272467903	0.14978601997146934	1.0	0.5477888730385164	0.21540656205420827	0.21112696148359486
sim_009	0.3437945791726106	0.47503566333808844	0.07845934379457917	0.11269614835948645	0.8530670470756063	0.03851640513552068	0.20399429386590584	0.7917261055634808	0.289586305278174	0.0014265335235378032	0.738944365192582	0.5192582025677603	0.23252496433666192	0.8273894436519258	0.6619115549215406
sim_010	0.7717546362339515	0.33666191155492153	0.5848787446504993	0.8787446504992867	0.14835948644793154	0.32952924393723254	0.6134094151212554	0.014265335235378032	0.09557774607703282	0.5877318116975749	0.24679029957203993	0.8017118402282454	0.5463623395149786	0.38231098430813126	0.5392296718972895
sim_011	0.017118402282453638	0.41797432239657634	0.4108416547788873	0.9914407988587732	0.8088445078459344	0.5420827389443652	0.9215406562054208	0.4950071326676177	0.9828815977175464	0.43081312410841655	0.025677603423680456	0.5406562054208274	0.8502139800285307	0.7646219686162625	0.8416547788873039
sim_012	0.0442225392296719	0.2524964336661912	0.7503566333808844	0.5920114122681883	0.5620542082738944	0.5848787446504993	0.9514978601997147	0.3637660485021398	0.7945791726105563	0.6590584878744651	0.8701854493580599	0.572039942938659	0.16690442225392296	0.3252496433666191	0.9572039942938659
sim_013	0.5221112696148359	0.5021398002853067	0.6219686162624821	0.3594864479315264	0.46790299572039945	0.8202567760342369	0.21255349500713266	0.6790299572039943	0.5620542082738944	0.5920114122681883	0.44079885877318115	0.8930099857346647	0.15977175463623394	0.14978601997146934	0.3723252496433666
sim_014	0.49072753209700426	0.6191155492154066	0.4479315263908702	0.927246790299572	0.39942938659058486	0.9186875891583453	0.5178316690442225	0.38516405135520687	0.8559201141226819	0.5805991440798859	0.06847360912981455	0.21255349500713266	0.9900142653352354	0.20256776034236804	0.48216833095577744
sim_015	0.2724679029957204	0.5848787446504993	0.3723252496433666	0.3166904422253923	0.7218259629101283	0.289586305278174	0.8944365192582026	0.181169757489301	0.4037089871611983	0.12410841654778887	0.6947218259629101	0.9286733238231099	0.12125534950071326	0.5863052781740371	0.9686162624821684
sim_016	0.14265335235378032	0.0	0.0884450784593438	0.9572039942938659	0.746077032810271	0.04136947218259629	0.9942938659058488	0.05563480741797432	0.6690442225392297	0.14693295292439373	0.4664764621968616	0.03138373751783167	0.3181169757489301	0.9643366619115549	0.992867332382311
sim_017	0.609129814550642	0.7161198288159771	0.7888730385164051	0.8773181169757489	0.4108416547788873	0.8002853067047075	0.06419400855920114	0.6119828815977175	0.6191155492154066	0.14122681883024252	0.11269614835948645	0.8002853067047075	0.23823109843081314	0.7446504992867332	0.17403708987161198
sim_018	0.5634807417974322	0.5007132667617689	0.6918687589158345	0.23395149786019973	0.6990014265335235	0.9971469329529244	0.11840228245363767	0.9814550641940085	0.9743223965763196	0.8716119828815977	0.8687589158345221	0.543509272467903	0.07417974322396577	0.7960057061340942	0.2995720399429387
sim_019	0.0898716119828816	0.5620542082738944	0.32667617689015693	0.7004279600570613	0.06704707560627675	0.9843081312410842	0.029957203994293864	0.3281027104136947	0.2838801711840228	0.6932952924393724	0.7646219686162625	0.21540656205420827	0.6861626248216833	0.2967189728958631	0.6205420827389444
sim_020	0.43651925820256776	0.6961483594864479	0.7318116975748931	0.40228245363766046	0.7845934379457917	0.9144079885877318	0.5378031383737518	0.24251069900142652	0.6134094151212554	0.905848787446505	0.3509272467902996	0.7089871611982882	0.2653352353780314	0.8744650499286734	0.8487874465049928
sim_021	0.5920114122681883	0.19686162624821682	0.26676176890156916	0.6390870185449358	0.6119828815977175	0.24251069900142652	0.17118402282453637	0.7589158345221113	0.4950071326676177	0.39657631954350925	0.8231098430813124	0.5777460770328102	0.9186875891583453	0.018544935805991442	0.005706134094151213
sim_022	0.5449358059914408	0.8673323823109843	0.38944365192582026	0.47075606276747506	0.7660485021398002	0.24393723252496433	0.7617689015691869	0.8587731811697575	0.8673323823109843	0.4893009985734665	0.4194008559201141	0.23252496433666192	0.3437945791726106	0.978601997146933	0.3223965763195435
