bin_lo	bin_hi	total	true_hits	fraction
0	5	4618294	20651	0.004471564608056568
5	10	118016	8267	0.0700498237527115
10	15	49044	5981	0.12195171682570753
15	20	25706	4451	0.17315023729868514
20	25	15247	3365	0.22069915393192102
25	30	10137	2742	0.2704942290618526
30	35	7180	2315	0.3224233983286908
35	40	5043	1893	0.37537180249851276
40	45	3838	1578	0.4111516414799375
45	50	3047	1404	0.46078109616015756
50	55	2528	1315	0.5201740506329114
55	60	1979	1120	0.5659423951490652
60	65	1702	1054	0.6192714453584018
65	70	1551	1036	0.6679561573178594
70	75	1341	959	0.715137956748695
75	80	1288	964	0.7484472049689441
80	85	1150	946	0.8226086956521739
85	90	1128	973	0.8625886524822695
90	95	1166	1066	0.9142367066895368
95	100	27108	27062	0.9983030839604545
