# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_a/ebola_delphy.log <DASH-DASH>v0-log-every 50000 <DASH-DASH>v0-out-trees-file delphy_outputs_a/ebola_delphy.trees <DASH-DASH>v0-tree-every 500000 <DASH-DASH>v0-out-delphy-file delphy_outputs_a/ebola_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 1000000
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	coalescent	
0	74	-24251.7	3438.15	-27689.9	1.05789	2013.4	38.1257	3	0	1	0.319373	0.213777	0.197901	0.268949	0.001	0.001	-27689.9	0.0	-320.438	
50000	71	-23502.4	3576.1	-27078.5	1.00901	2013.45	19.7477	9.29077	3.06594	6.8105	0.315983	0.215157	0.198761	0.270099	0.000185135	0.000185135	-27078.5	0.0	-179.391	
100000	65	-23409.6	3580.48	-26990.1	1.24929	2013.21	19.0814	7.79136	3.55143	10.1914	0.316109	0.217092	0.197662	0.269136	0.000173036	0.000173036	-26990.1	0.0	-174.479	
150000	59	-23307.9	3588.12	-26896	1.00919	2013.45	17.5688	7.26463	3.95272	6.05789	0.311978	0.220526	0.196066	0.27143	0.00017884	0.00017884	-26896	0.0	-167.771	
200000	55	-23239.7	3590.15	-26829.9	0.946835	2013.51	16.3367	9.47853	6.35161	6.18004	0.315796	0.213951	0.195714	0.274538	0.000143281	0.000143281	-26829.9	0.0	-165.365	
250000	55	-23237.8	3590.87	-26828.6	0.982678	2013.48	16.7266	8.28759	5.04635	7.16163	0.32131	0.212933	0.200211	0.265546	0.000184777	0.000184777	-26828.6	0.0	-164.586	
300000	55	-23198.2	3616.64	-26814.9	0.707191	2013.75	12.6823	8.78486	7.21737	5.98637	0.315298	0.219329	0.198306	0.267067	0.000235072	0.000235072	-26814.9	0.0	-138.969	
350000	55	-23201.7	3612.87	-26814.5	0.678098	2013.78	12.9917	7.66752	6.30417	7.38386	0.317285	0.215484	0.20037	0.266861	0.00024386	0.00024386	-26814.5	0.0	-142.576	
400000	55	-23156.2	3644.8	-26801	0.804911	2013.65	9.69946	2.47511	4.25286	8.16218	0.325099	0.213518	0.198609	0.262774	0.000243158	0.000243158	-26801	0.0	-111.682	
450000	55	-23121.1	3667.41	-26788.5	0.643769	2013.82	7.81409	2.00022	5.2038	9.02861	0.322386	0.214821	0.191653	0.271139	0.000419336	0.000419336	-26788.5	0.0	-89.0781	
