# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/h5n1-andersen-e756a15-ALL_full_dates_only.fasta <DASH-DASH>v0-steps 20000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha_b/h5n1-andersen-e756a15-ALL_full_dates_only_alpha_b.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha_b/h5n1-andersen-e756a15-ALL_full_dates_only_alpha_b.trees <DASH-DASH>v0-tree-every 20000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_alpha_b/h5n1-andersen-e756a15-ALL_full_dates_only_alpha_b.dphy <DASH-DASH>v0-delphy-snapshot-every 20000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-target-coal-prior-cells 1000 <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-prior-double-half-time 0.25 <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 23 <DASH-DASH>v0-skygrid-cutoff 1.833
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
0	6150	-193829	-77771.3	-116057	4.03408	2021.56	971.473	0	6.24524	0.415611	1.06461	1.66006	1.25714	0.932463	0.587364	0.215498	0.714275	0.813784	0.902964	1.02668	1.40616	1.05298	0.995213	1.27218	0.873808	0.984659	1.36391	1.65324	1.14592	1.70267	1.34598	1.88092	1.833	1	0.32666	0.197929	0.248249	0.227162	10	0.001	0.001	-116057	0.0	-61008.8	
2000000	5158	-133535	-43847.9	-89686.8	3.8751	2021.72	466.481	0	6.24524	1.63673	2.18768	2.75764	2.67296	2.60362	2.21607	2.09453	2.35438	2.83858	3.09196	3.20899	3.0624	3.01231	2.99478	3.41151	2.98925	3.32887	3.63171	3.51731	3.08699	3.47667	3.12968	2.89909	1.833	16.6799	0.3271	0.204348	0.244375	0.224177	2.18371	0.000824619	0.000824619	-89686.8	0.0	-12695	
4000000	4967	-126677	-42377.8	-84299.1	4.03279	2021.56	357.776	0	6.24524	0.084427	0.534873	0.519381	1.50766	1.53257	1.90197	1.45303	1.66052	2.59993	2.80593	2.94459	2.03283	2.21764	2.7856	3.37471	2.5681	3.08216	3.65332	3.02067	2.77839	3.03291	2.43962	2.02322	1.833	17.9738	0.322225	0.200486	0.246873	0.230416	0.643447	0.0010204	0.0010204	-84299.1	0.0	-10686.9	
6000000	4880	-117350	-35866.4	-81483.8	4.30861	2021.28	293.593	0	6.24524	-0.134223	0.105334	0.53163	1.21707	1.32487	1.16913	1.42965	1.60318	2.22629	2.47328	2.78441	1.52189	1.64937	2.26753	2.99208	2.14503	2.87457	2.80114	2.67641	2.37602	2.48439	2.22725	1.9433	1.833	17.8006	0.3322	0.199537	0.245776	0.222487	0.379302	0.00122225	0.00122225	-81483.8	0.0	-9533.5	
8000000	4797	-114441	-34725.8	-79715.1	3.43447	2022.16	239.047	0	6.24524	-0.37586	-0.160339	0.543848	0.766813	0.476202	0.988519	0.889224	1.36451	1.97661	2.03524	2.1713	1.13759	1.52343	2.34118	2.57227	1.44755	2.4547	2.51678	2.1515	2.23126	1.91734	1.56536	0.985031	1.833	17.3668	0.324357	0.20408	0.251184	0.220378	0.366289	0.00143251	0.00143251	-79715.1	0.0	-8494.76	
10000000	4756	-114230	-35616	-78613.6	3.2415	2022.35	204.947	0	6.24524	-0.415158	-0.374152	-0.00789964	0.522473	0.448154	0.572608	0.750215	1.02495	1.77705	1.92178	1.93499	0.621668	1.48478	1.87822	2.33331	1.18667	2.02993	1.93434	2.07275	2.27964	1.73399	1.23877	0.617444	1.833	16.8456	0.327117	0.202875	0.242973	0.227035	0.420476	0.00170737	0.00170737	-78613.6	0.0	-7622.4	
12000000	4723	-111513	-33926.2	-77586.8	3.2594	2022.33	178.132	0	6.24524	-0.377691	-0.664149	-0.0230379	0.52857	0.0440856	0.365193	0.907864	1.28078	1.70283	1.53495	1.55108	0.358414	1.30463	1.45321	2.11332	0.923306	1.52553	2.0461	1.82966	0.73153	0.722085	-0.116992	-0.158252	1.833	18.1143	0.325672	0.2034	0.241681	0.229247	0.392802	0.00197092	0.00197092	-77586.8	0.0	-6946.68	
14000000	4676	-109734	-33433.8	-76300	2.50629	2023.09	153.416	0	6.24524	-0.707225	-0.517931	-0.0906246	0.241585	0.0363231	0.331354	1.12761	1.37309	1.54979	1.45401	1.06821	0.20008	0.699879	1.29601	1.61755	0.81934	1.24808	1.3834	0.858045	0.487301	0.375721	0.056713	-0.0877586	1.833	17.2245	0.32711	0.204332	0.242508	0.226051	0.402995	0.00230837	0.00230837	-76300	0.0	-6233.26	
16000000	4642	-109758	-34106.5	-75651.7	2.23583	2023.36	138.441	0	6.24524	-0.713303	-0.456301	-0.2333	0.000812467	-0.0980249	-0.00959909	0.643619	1.13333	1.45131	1.35465	0.901889	-0.0809629	0.573523	1.12216	1.23342	0.771801	0.986179	1.21395	0.391075	0.236792	0.158789	-0.258071	-0.403697	1.833	18.5252	0.333015	0.203491	0.247083	0.216412	0.426993	0.00248661	0.00248661	-75651.7	0.0	-5748.32	
18000000	4612	-108600	-33612	-74987.9	1.88527	2023.71	130.565	0	6.24524	-0.603134	-0.514825	-0.24028	0.0794414	-0.155736	0.188899	0.794402	1.18652	1.32449	1.28716	0.598202	-0.185781	0.650174	1.18306	1.13329	0.526497	0.932915	0.934346	0.244489	0.160314	-0.405919	-0.467753	-0.629357	1.833	18.643	0.329042	0.203582	0.241381	0.225995	0.428455	0.00262626	0.00262626	-74987.9	0.0	-5452.24	
20000000	4594	-107455	-32934.4	-74520.4	1.82359	2023.77	121.753	0	6.24524	-1.00472	-0.834356	-0.318199	-0.00983841	-0.227174	0.353225	0.653709	0.920046	1.15423	0.946744	0.403325	-0.269663	0.475217	0.869534	0.941058	0.542655	0.727946	0.841422	0.113424	0.134651	-0.204682	-0.150131	-0.0298003	1.833	17.6323	0.325554	0.202508	0.243659	0.228279	0.411416	0.00291107	0.00291107	-74520.4	0.0	-5040.85	
22000000	4578	-107718	-33457.9	-74259.7	1.75196	2023.84	118.747	0	6.24524	-0.977062	-0.379082	-0.382783	0.014208	-0.126718	0.0827713	0.633406	0.981662	1.1426	1.00297	0.266109	-0.445777	0.50065	0.770001	0.799655	0.660151	0.601736	0.281273	-0.368802	-0.597458	-0.121733	0.38875	0.555023	1.833	16.8065	0.320152	0.206692	0.241643	0.231512	0.435995	0.00291147	0.00291147	-74259.7	0.0	-4949.54	
24000000	4574	-108244	-34055.4	-74188.9	1.70783	2023.88	116.381	0	6.24524	-0.682309	-0.679225	-0.371364	-0.0809712	-0.304773	0.102678	0.767467	1.34499	1.13709	0.863851	0.431609	-0.540428	0.332536	0.921049	0.737224	0.580161	0.679439	0.360777	-1.06533	-1.70438	-1.6629	-1.03484	-0.867056	1.833	17.1823	0.331304	0.202561	0.245746	0.220389	0.451114	0.00293377	0.00293377	-74188.9	0.0	-4843.55	
26000000	4562	-108554	-34373.8	-74180.4	1.66586	2023.93	116.592	0	6.24524	-0.750945	-0.795018	-0.403582	-0.0880549	-0.396959	0.0190397	0.706144	0.93793	1.14919	0.920127	0.559967	-0.570613	0.105111	0.924462	0.564606	0.638591	0.479276	0.487052	-0.670034	-1.8116	-1.52638	-1.92361	-2.11984	1.833	17.2661	0.325033	0.210595	0.245252	0.21912	0.460004	0.00286797	0.00286797	-74180.4	0.0	-4835.97	
28000000	4541	-106936	-33206.3	-73729.7	1.67406	2023.92	115.41	0	6.24524	-0.943226	-0.827265	-0.417576	-0.0451675	-0.317576	0.0963526	0.699625	0.932617	1.13506	1.06961	0.30168	-0.739164	0.0418659	1.01033	0.663085	0.502075	0.494954	0.30332	-0.693275	-1.50627	-1.7297	-1.42023	-0.944295	1.833	18.4054	0.327413	0.204122	0.244737	0.223728	0.439513	0.00305452	0.00305452	-73729.7	0.0	-4762.76	
30000000	4535	-106227	-32584.5	-73642.9	1.64808	2023.95	113.788	0	6.24524	-0.859521	-1.01647	-0.573365	-0.0699561	-0.443041	-0.00359974	0.798487	1.05711	1.12966	1.00789	0.304664	-0.95897	0.232828	0.851942	0.680811	0.440289	0.518466	0.169696	-0.848397	-1.15498	-1.08553	-0.946414	-0.857756	1.833	16.6123	0.321045	0.205945	0.245994	0.227016	0.415729	0.00294701	0.00294701	-73642.9	0.0	-4644.25	
32000000	4524	-106246	-32802.7	-73443.1	1.70536	2023.89	113.32	0	6.24524	-1.10942	-0.845383	-0.566455	-0.082255	-0.20214	0.296263	0.604345	0.945283	0.9939	1.02672	0.333887	-0.682543	0.256675	0.811656	0.693195	0.464313	0.505652	0.0365617	-1.04645	-0.988593	-1.02374	-1.0615	-1.17222	1.833	17.0865	0.326207	0.201897	0.249452	0.222445	0.422228	0.00301523	0.00301523	-73443.1	0.0	-4659.23	
34000000	4512	-106430	-33174	-73256.4	1.68866	2023.9	110.081	0	6.24524	-0.983757	-1.00056	-0.522192	-0.0385712	-0.0705097	-0.101022	0.704053	0.907858	1.18006	0.798814	0.2822	-0.685115	-0.158937	0.654409	0.579358	0.520707	0.444515	0.31445	-0.865355	-1.9906	-1.53089	-1.51037	-1.52323	1.833	18.1536	0.318731	0.202682	0.253601	0.224986	0.452536	0.00317383	0.00317383	-73256.4	0.0	-4486.36	
36000000	4503	-106939	-33741.7	-73197	1.64504	2023.95	109.526	0	6.24524	-1.02895	-1.09258	-0.630936	-0.14785	-0.305261	0.079645	0.489462	0.775029	1.08207	0.896576	0.159874	-0.632494	0.333563	0.696731	0.507098	0.542656	0.554037	-0.0807065	-0.999775	-1.50746	-1.90959	-1.79625	-1.12398	1.833	16.9196	0.326944	0.20245	0.249001	0.221605	0.474014	0.0031287	0.0031287	-73197	0.0	-4460.54	
