#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2014.020	1.112e+01	4.615e+00	2.682e+01
2014.095	1.965e+01	1.068e+01	3.617e+01
2014.170	5.094e+01	3.192e+01	8.131e+01
2014.244	5.080e+01	2.999e+01	8.605e+01
2014.319	2.799e+01	1.615e+01	4.853e+01
2014.394	6.145e+01	4.606e+01	8.199e+01
2014.468	1.688e+02	1.363e+02	2.090e+02
2014.543	9.962e+02	8.156e+02	1.217e+03
2014.618	4.838e+02	3.816e+02	6.133e+02
2014.692	4.231e+02	3.486e+02	5.137e+02
2014.767	1.371e+03	1.166e+03	1.613e+03
2014.842	8.210e+02	6.287e+02	1.072e+03
2014.916	8.552e+02	6.510e+02	1.123e+03
2014.991	5.346e+02	4.128e+02	6.923e+02
2015.066	6.777e+02	5.295e+02	8.673e+02
2015.140	1.198e+03	9.477e+02	1.515e+03
2015.215	8.945e+02	6.291e+02	1.272e+03
2015.290	7.972e+02	5.501e+02	1.155e+03
2015.364	3.066e+02	2.161e+02	4.349e+02
2015.439	6.114e+02	4.654e+02	8.034e+02
2015.514	8.569e+02	5.451e+02	1.347e+03
2015.588	8.822e+02	5.093e+02	1.528e+03
2015.663	7.936e+02	4.280e+02	1.471e+03
2015.738	7.132e+02	3.678e+02	1.383e+03
2015.812	7.130e+02	2.805e+02	1.813e+03
