# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola_dudas.fasta <DASH-DASH>v0-steps 10000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha_a/ebola_dudas_alpha_delphy.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha_a/ebola_dudas_alpha_delphy.trees <DASH-DASH>v0-tree-every 10000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_alpha_a/ebola_dudas_alpha_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 10000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-prior-double-half-time 0.5 <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 25 <DASH-DASH>v0-skygrid-cutoff 2
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
0	3628	-117418	-32618	-84800.4	3.01953	2012.79	441.7	0	12.4882	1.84253	2.27406	2.42971	2.05836	1.82437	1.9417	1.72195	1.61639	1.09183	1.10155	0.916155	0.977553	0.510247	0.540341	0.646991	0.389065	0.163398	0.50946	0.68467	0.447808	0.501547	0.730625	0.662678	0.841151	1.04118	2	1	0.320067	0.213308	0.197568	0.269057	10	0.001	0.001	-84800.4	0.0	-27369.2	
2000000	3072	-79828.5	-12321.6	-67506.8	2.79566	2013.01	227.896	0	12.4882	0.0133831	0.0343348	0.316867	0.787148	0.870446	0.708313	1.52572	1.64941	2.38425	2.0267	2.53657	2.76188	3.26117	3.29768	3.20764	2.89155	2.21091	1.56966	1.44024	1.60473	1.55757	1.25136	1.05718	0.357129	0.262401	2	10.825	0.306698	0.221538	0.200147	0.271617	0.258673	0.000711064	0.000711064	-67506.8	0.0	-5432.2	
4000000	3003	-77790.1	-11559.9	-66230.2	2.54891	2013.26	186.649	0	12.4882	0.0666833	0.0692751	0.334306	0.662177	0.877336	0.871294	0.983719	1.70968	1.84991	1.85323	2.67398	2.99698	2.98089	3.05675	2.76638	2.22663	1.62431	1.10071	0.781044	0.611566	0.02659	-0.016349	-0.061312	-0.17381	-0.334472	2	11.4148	0.311553	0.214301	0.200561	0.273585	0.259263	0.000880531	0.000880531	-66230.2	0.0	-4883.4	
6000000	2964	-84787.1	-19139.8	-65647.3	2.25575	2013.55	167.069	0	12.4882	-0.135938	-0.0350976	0.318019	0.60253	0.536661	0.732469	1.19573	1.72715	1.45976	1.88619	2.34527	2.68481	3.01064	2.78091	2.25485	2.03804	1.46674	0.270304	0.222444	0.241792	-0.0518205	-0.489622	-0.545089	-0.579787	-0.889101	2	11.4362	0.314582	0.217784	0.198837	0.268798	0.320701	0.000956082	0.000956082	-65647.3	0.0	-4547.82	
8000000	2944	-81783.4	-16566	-65217.5	2.05195	2013.76	155.08	0	12.4882	-0.552027	-0.561678	-0.145887	0.126	0.442111	0.629292	0.818733	1.258	1.57324	1.82849	2.3762	2.64385	3.04572	2.78805	1.95686	1.41171	1.06606	0.232684	-0.000209586	-0.214582	-0.425845	-1.17553	-1.27774	-1.22688	-1.64902	2	10.1704	0.312227	0.221005	0.201708	0.26506	0.298677	0.000997736	0.000997736	-65217.5	0.0	-4320.19	
10000000	2945	-82014.2	-16849	-65165.2	1.91893	2013.89	151.675	0	12.4882	0.513339	0.287971	0.00454868	0.200671	0.299124	0.609512	0.89992	1.49716	1.55069	1.64291	2.56755	2.5853	2.92251	2.66455	1.92573	1.49127	0.647617	-0.0456395	-0.273339	-0.579047	-0.349739	-0.467249	-1.01848	-1.49731	-1.61122	2	11.3462	0.314257	0.222236	0.202454	0.261054	0.308328	0.00105773	0.00105773	-65165.2	0.0	-4266.68	
12000000	2921	-82071	-17239.6	-64831.4	1.98329	2013.83	149.624	0	12.4882	-0.822172	-0.984681	-0.52008	-0.122155	0.220287	0.357633	1.06532	1.46221	1.47342	1.78157	2.41189	2.62498	2.67901	2.73471	1.7512	1.47117	0.587005	-0.317516	-0.126921	-0.135165	-0.644776	-0.854791	-1.38174	-1.67109	-1.68987	2	10.7202	0.31329	0.219177	0.20023	0.267303	0.305425	0.00106424	0.00106424	-64831.4	0.0	-4209.05	
14000000	2899	-80620.5	-16202.9	-64417.6	1.78881	2014.02	140.737	0	12.4882	-0.212971	-0.617684	-0.110619	0.16132	0.462896	0.620209	0.761954	1.18846	1.559	1.5787	2.41823	2.48905	2.76961	2.57658	1.50928	1.14882	0.446899	-0.516712	-0.309876	-0.132774	-0.833521	-1.09959	-0.807707	-0.754279	-0.997032	2	10.3305	0.314623	0.222798	0.197589	0.26499	0.29754	0.00111407	0.00111407	-64417.6	0.0	-4022.39	
16000000	2880	-87258.2	-22947.4	-64310.7	1.84082	2013.97	136.243	0	12.4882	-0.51061	-0.111999	-0.231455	0.1777	0.428724	0.41049	0.875485	1.11858	1.42657	1.84705	2.41726	2.48971	2.65469	2.16819	1.72036	1.44216	0.225394	-0.429648	-0.500436	-0.569153	-0.827918	-0.715919	-0.941452	-0.990847	-1.41162	2	11.9067	0.309675	0.219068	0.202717	0.26854	0.382474	0.00116624	0.00116624	-64310.7	0.0	-3925.18	
18000000	2879	-84150	-19889.3	-64260.7	1.77592	2014.03	138.041	0	12.4882	-0.848991	-0.425602	0.0918053	0.209195	0.283832	0.428836	0.873104	1.53385	1.48512	1.76249	2.38872	2.39409	2.73185	2.4995	1.5878	1.17987	0.00503428	-0.534051	-0.618479	-0.415602	-1.18429	-1.10607	-1.0703	-0.930375	-1.56824	2	11.2577	0.309002	0.221711	0.198817	0.27047	0.328009	0.00110104	0.00110104	-64260.7	0.0	-3952.8	
