# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola_dudas.fasta <DASH-DASH>v0-steps 10000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha_b/ebola_dudas_alpha_delphy.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha_b/ebola_dudas_alpha_delphy.trees <DASH-DASH>v0-tree-every 10000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_alpha_b/ebola_dudas_alpha_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 10000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-prior-double-half-time 0.5 <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 25 <DASH-DASH>v0-skygrid-cutoff 2
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
0	3598	-110882	-26695	-84186.5	3.0682	2012.74	431.637	0	12.4882	0.851808	0.237746	0.236306	0.0406568	0.689859	0.0499493	0.0960935	0.415098	0.704061	0.67769	0.745105	0.528227	0.29324	0.536851	0.869147	1.11253	1.38614	1.50338	1.93964	2.06711	2.00483	2.25256	2.46873	2.97586	2.78269	2	1	0.320067	0.213308	0.197568	0.269057	10	0.001	0.001	-84186.5	0.0	-21446.2	
2000000	3041	-102931	-33781.7	-69148.8	2.91566	2012.89	237.518	0	12.4882	-0.046053	0.12296	0.290249	0.584818	0.830039	0.867498	1.43448	2.09369	2.3443	2.43404	2.91505	3.17662	3.42692	3.58612	3.04534	2.73428	2.19238	1.73341	1.85377	1.93801	1.98461	1.49879	0.89755	0.962958	0.682594	2	10.3684	0.312114	0.220386	0.19968	0.267821	1.17597	0.000684788	0.000684788	-69148.8	0.0	-5533.73	
4000000	2981	-77723.2	-11573.9	-66149.3	2.87128	2012.94	199.89	0	12.4882	-0.594811	-0.0492338	0.392594	0.532246	0.517155	0.694587	1.13486	1.48648	1.9957	2.02016	2.70601	2.92645	3.2633	3.45371	2.91267	2.2037	1.66657	1.27026	1.01485	0.835567	0.549968	0.0764206	0.363332	0.0667274	0.167201	2	10.597	0.31148	0.223422	0.200662	0.264436	0.264815	0.000796889	0.000796889	-66149.3	0.0	-5031.68	
6000000	2958	-80284.6	-14674.8	-65609.7	2.4245	2013.39	177.943	0	12.4882	0.0375434	-0.323741	-0.119885	0.201012	0.484904	0.881777	1.0081	1.37471	1.80063	1.84489	2.63061	2.75634	3.11988	3.21014	2.46173	1.82067	1.03705	0.433779	0.627055	0.651266	0.0557169	-0.0449893	-0.263638	-0.30914	-0.217856	2	11.4765	0.311104	0.226169	0.197875	0.264852	0.281479	0.000892111	0.000892111	-65609.7	0.0	-4684.9	
8000000	2936	-85982.1	-20504.4	-65477.7	2.36241	2013.45	167.347	0	12.4882	-0.485002	-0.493726	-0.217077	0.570679	0.546114	0.392316	1.05879	1.57318	1.70807	2.04376	2.45221	2.98435	3.01721	3.06269	2.18523	1.7371	0.78159	0.0755522	-0.0828933	-0.154785	-0.135169	-0.25448	-0.341674	-0.0226339	-0.107055	2	11.0127	0.311301	0.220898	0.202679	0.265121	0.336588	0.000937988	0.000937988	-65477.7	0.0	-4525.35	
10000000	2921	-85951.3	-20778.7	-65172.6	2.40959	2013.4	158.561	0	12.4882	-0.820639	-0.791928	-0.401449	0.19082	0.230358	0.294825	1.31277	1.43093	1.51722	1.78805	2.57198	2.66122	2.98229	2.68721	2.16244	1.47587	0.475615	0.10838	0.222052	-0.0998862	-0.0350737	0.248215	0.61302	0.663581	0.329004	2	10.7774	0.310676	0.221441	0.197771	0.270112	0.341668	0.00100837	0.00100837	-65172.6	0.0	-4338.95	
12000000	2901	-85498.3	-20695.8	-64802.5	2.14292	2013.67	154.367	0	12.4882	-0.453544	-0.196865	0.363222	0.105031	0.346979	0.425972	1.32263	1.81168	1.62256	1.46227	2.52107	2.71769	2.99051	2.76169	2.01649	1.59079	0.276023	-0.334727	-0.027584	0.2166	-0.112843	-0.547164	-0.429082	-0.740648	-0.805915	2	10.1912	0.309935	0.219711	0.200344	0.27001	0.338196	0.000994514	0.000994514	-64802.5	0.0	-4267.81	
14000000	2895	-80828.7	-16315.3	-64513.4	1.94006	2013.87	146.634	0	12.4882	-0.582319	-0.549486	-0.314732	0.372249	0.0859886	0.322911	1.20206	1.49389	1.51532	2.06145	2.78843	2.71461	2.98612	2.54468	1.8289	1.23159	0.343673	-0.776793	-0.529887	-0.350795	-0.89169	-0.664736	-1.00326	-0.866296	-0.758754	2	10.883	0.317429	0.222017	0.199333	0.261221	0.295117	0.00104536	0.00104536	-64513.4	0.0	-4125.19	
16000000	2893	-82418	-18133.7	-64284.3	1.83678	2013.97	142.949	0	12.4882	-0.487285	-0.502684	-0.0818984	0.362953	0.162856	0.389585	1.01156	1.60178	1.35706	1.63295	2.4109	2.65216	2.80471	2.66333	1.59454	1.25407	0.313165	-0.864286	-0.576566	-0.361119	-0.812745	-0.596022	-1.23676	-1.41249	-1.21172	2	9.15663	0.311616	0.218164	0.19999	0.27023	0.314708	0.00105922	0.00105922	-64284.3	0.0	-4043.78	
18000000	2880	-83611.3	-19186.2	-64425.2	1.87426	2013.93	145.524	0	12.4882	-1.12529	-0.405804	0.116358	0.536757	0.187181	0.244415	1.05418	1.3529	1.41102	1.89198	2.65133	2.55033	2.78422	2.59785	1.66122	1.46186	0.450106	-0.508845	-0.0846233	0.159135	-0.729512	-1.04988	-1.11364	-1.18955	-1.28684	2	10.7712	0.313089	0.224603	0.201999	0.260309	0.322967	0.00108577	0.00108577	-64425.2	0.0	-4102.07	
