item                                                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                            -49750.7 5.95668  60.49216 -49750.5 -49868.4 -49632.6 1357592. 103.1311 NaN     
likelihood                                           -48612.1 1.465972 16.51849 -48611.7 -48644.3 -48580.3 1102731. 126.9665 NaN     
prior                                                -1138.55 6.480565 62.28761 -1138.70 -1260.75 -1015.96 1515588. 92.37995 NaN     
treeLikelihood.input_alignment                       -48612.1 1.465972 16.51849 -48611.7 -48644.3 -48580.3 1102731. 126.9665 NaN     
Tree.height                                          0.424971 0.0009   0.029278 0.423076 0.368761 0.4806   132438.2 1057.172 0.423982
Tree.treeLength                                      22.72796 0.105715 1.057863 22.70174 20.66211 24.81951 1398204. 100.1355 22.70338
clockRate                                            0.000998 4.76E-6  6.06E-5  0.000996 0.000883 0.001121 862662.6 162.2998 0.000996
kappa                                                5.39641  0.004411 0.46522  5.368329 4.549525 6.350226 12588.96 11121.64 5.376534
Coalescent                                           -1135.33 6.470855 62.22860 -1135.47 -1257.55 -1012.90 1513917. 92.48192 NaN     
ePopSize                                             6.75109  0.072497 1.257639 6.616215 4.512278 9.254276 465247.3 300.9366 6.638999
growthRate                                           11.94705 0.050508 1.456076 11.90215 9.116291 14.76184 168465.9 831.0880 11.85773
freqParameter.1                                      0.296103 4.68E-5  0.002621 0.296129 0.291119 0.301168 44598.60 3139.335 0.296092
freqParameter.2                                      0.181467 3.64E-5  0.002192 0.181449 0.17708  0.185651 38566.35 3630.365 0.181454
freqParameter.3                                      0.192862 3.69E-5  0.002234 0.192795 0.188405 0.197045 38182.48 3666.864 0.192849
freqParameter.4                                      0.329568 4.82E-5  0.002643 0.329569 0.324398 0.334558 46570.56 3006.405 0.329557
logP(mrca(tip-dist.NC_045512.2|NC_045512.2|2019-12)) 2.465928 9.39E-7  1.56E-6  2.465928 2.465928 2.465928 50914726 2.749892 2.465928
height(NC_045512.2|NC_045512.2|2019-12)              2019.963 0.000435 0.023605 2019.966 2019.921 2019.999 47624.38 2939.880 2019.963
