replicate	tip_name	true_date	posterior_mean	hpd_lo	hpd_hi	normalized_rank
sim_000	TIP_340	2025.216438	2025.209669	2025.182191	2025.239586	0.713267
sim_000	TIP_288	2025.493151	2025.478041	2025.455484	2025.495341	0.924394
sim_000	TIP_310	2025.512329	2025.531065	2025.502059	2025.565894	0.156919
sim_000	TIP_413	2025.602740	2025.611799	2025.578082	2025.648495	0.383738
sim_000	TIP_038	2025.054795	2025.046603	2025.014798	2025.081502	0.659058
sim_000	TIP_260	2025.076712	2025.062068	2025.032057	2025.086442	0.797432
sim_000	TIP_276	2025.347945	2025.346104	2025.326437	2025.377262	0.649073
sim_000	TIP_175	2025.772603	2025.780275	2025.748355	2025.819858	0.423680
sim_000	TIP_294	2025.084932	2025.109413	2025.080551	2025.149454	0.065621
sim_000	TIP_449	2025.043836	2025.070889	2025.046985	2025.086982	0.035663
sim_000	TIP_082	2025.339726	2025.370953	2025.329317	2025.409449	0.145506
sim_000	TIP_205	2025.873973	2025.896629	2025.869183	2025.914389	0.058488
sim_000	TIP_419	2025.065753	2025.054959	2025.018628	2025.087122	0.646220
sim_000	TIP_277	2025.326027	2025.302781	2025.271093	2025.330817	0.954351
sim_000	TIP_025	2025.164384	2025.180822	2025.159864	2025.213149	0.088445
sim_000	TIP_133	2025.109589	2025.119270	2025.085341	2025.158084	0.389444
sim_000	TIP_309	2025.098630	2025.109210	2025.080271	2025.147395	0.365193
sim_000	TIP_484	2025.126027	2025.131374	2025.102740	2025.160824	0.342368
sim_000	TIP_115	2025.953425	2025.947761	2025.926847	2025.976443	0.740371
sim_000	TIP_390	2025.969863	2025.962738	2025.929177	2025.999180	0.630528
sim_000	TIP_056	2025.898630	2025.899853	2025.878352	2025.916849	0.390870
sim_000	TIP_426	2025.306849	2025.269509	2025.245065	2025.305339	0.964337
sim_000	TIP_324	2025.400000	2025.365095	2025.331366	2025.401640	0.951498
sim_000	TIP_141	2025.060274	2025.060489	2025.028767	2025.086712	0.440799
sim_000	TIP_307	2025.684932	2025.683708	2025.662053	2025.718768	0.631954
sim_000	TIP_229	2025.356164	2025.373029	2025.341776	2025.407259	0.198288
sim_000	TIP_425	2025.123288	2025.116077	2025.083071	2025.152744	0.650499
sim_000	TIP_231	2025.805479	2025.804264	2025.773562	2025.832197	0.500713
sim_000	TIP_371	2025.128767	2025.096867	2025.080001	2025.123287	0.975749
sim_000	TIP_397	2025.134247	2025.143654	2025.121648	2025.163564	0.221113
sim_000	TIP_341	2025.219178	2025.212049	2025.172742	2025.246165	0.564907
sim_000	TIP_112	2025.863014	2025.880007	2025.847535	2025.912059	0.202568
sim_000	TIP_362	2025.120548	2025.111301	2025.081641	2025.139996	0.746077
sim_000	TIP_497	2025.063014	2025.055994	2025.023837	2025.085482	0.613409
sim_000	TIP_410	2025.556164	2025.542770	2025.504379	2025.579182	0.669044
sim_000	TIP_020	2025.013699	2025.021968	2024.995340	2025.056434	0.382311
sim_000	TIP_472	2025.756164	2025.759037	2025.743155	2025.780132	0.504993
sim_000	TIP_373	2025.690411	2025.702538	2025.662333	2025.739996	0.345221
sim_000	TIP_265	2025.098630	2025.123647	2025.086301	2025.157944	0.142653
sim_000	TIP_316	2025.542466	2025.545248	2025.506299	2025.578082	0.427960
sim_000	TIP_135	2025.479452	2025.473726	2025.443835	2025.495620	0.579173
sim_000	TIP_357	2025.449315	2025.444047	2025.410278	2025.478632	0.616262
sim_000	TIP_209	2025.575342	2025.570961	2025.559724	2025.582872	0.737518
sim_000	TIP_475	2025.747945	2025.766033	2025.743015	2025.794791	0.078459
sim_000	TIP_391	2025.263014	2025.275395	2025.246025	2025.306169	0.266762
sim_000	TIP_193	2025.821918	2025.817822	2025.795750	2025.835067	0.573466
sim_000	TIP_278	2025.232877	2025.218451	2025.178901	2025.248495	0.700428
sim_000	TIP_037	2025.287671	2025.269138	2025.241645	2025.303560	0.838802
sim_000	TIP_460	2025.846575	2025.848604	2025.830826	2025.870822	0.489301
sim_000	TIP_166	2025.052055	2025.056764	2025.027537	2025.087122	0.376605
