Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.93	161	0.950	0.913	0.981
alpha	0.88	161	0.950	0.913	0.981
tau	0.95	161	0.950	0.913	0.981
gamma_0	0.91	161	0.950	0.913	0.981
gamma_1	0.94	161	0.950	0.913	0.981
gamma_2	0.93	161	0.950	0.913	0.981
gamma_3	0.94	161	0.950	0.913	0.981
gamma_4	0.94	161	0.950	0.913	0.981
N_bar	0.92	161	0.950	0.913	0.981
kappa	0.93	161	0.950	0.913	0.981
pi_A	0.93	161	0.950	0.913	0.981
pi_C	0.94	161	0.950	0.913	0.981
pi_G	0.95	161	0.950	0.913	0.981
pi_T	0.93	161	0.950	0.913	0.981
rootHeight	0.86	161	0.950	0.913	0.981
