replicate	totals_0_5	true_hits_0_5	frac_0_5	totals_5_10	true_hits_5_10	frac_5_10	totals_10_15	true_hits_10_15	frac_10_15	totals_15_20	true_hits_15_20	frac_15_20	totals_20_25	true_hits_20_25	frac_20_25	totals_25_30	true_hits_25_30	frac_25_30	totals_30_35	true_hits_30_35	frac_30_35	totals_35_40	true_hits_35_40	frac_35_40	totals_40_45	true_hits_40_45	frac_40_45	totals_45_50	true_hits_45_50	frac_45_50	totals_50_55	true_hits_50_55	frac_50_55	totals_55_60	true_hits_55_60	frac_55_60	totals_60_65	true_hits_60_65	frac_60_65	totals_65_70	true_hits_65_70	frac_65_70	totals_70_75	true_hits_70_75	frac_70_75	totals_75_80	true_hits_75_80	frac_75_80	totals_80_85	true_hits_80_85	frac_80_85	totals_85_90	true_hits_85_90	frac_85_90	totals_90_95	true_hits_90_95	frac_90_95	totals_95_100	true_hits_95_100	frac_95_100
sim_000	17675	123	0.006959	765	43	0.056209	292	31	0.106164	133	21	0.157895	89	18	0.202247	60	18	0.300000	55	18	0.327273	38	13	0.342105	29	13	0.448276	12	4	0.333333	15	11	0.733333	8	4	0.500000	8	4	0.500000	9	8	0.888889	4	4	1.000000	5	4	0.800000	7	5	0.714286	6	6	1.000000	9	9	1.000000	141	141	1.000000
sim_002	47554	156	0.003280	687	53	0.077147	220	25	0.113636	120	20	0.166667	59	13	0.220339	40	17	0.425000	36	12	0.333333	33	15	0.454545	22	6	0.272727	13	8	0.615385	9	3	0.333333	11	6	0.545455	7	3	0.428571	7	6	0.857143	8	3	0.375000	7	7	1.000000	7	5	0.714286	1	0	0.000000	5	5	1.000000	136	135	0.992647
sim_003	14313	88	0.006148	627	44	0.070175	270	28	0.103704	141	27	0.191489	99	25	0.252525	65	18	0.276923	40	16	0.400000	38	14	0.368421	24	12	0.500000	18	10	0.555556	19	6	0.315789	12	6	0.500000	10	7	0.700000	6	3	0.500000	5	2	0.400000	6	4	0.666667	3	2	0.666667	1	1	1.000000	7	6	0.857143	179	179	1.000000
sim_004	21723	107	0.004926	712	56	0.078652	319	29	0.090909	155	22	0.141935	84	18	0.214286	56	18	0.321429	49	21	0.428571	28	10	0.357143	20	10	0.500000	16	7	0.437500	17	11	0.647059	13	7	0.538462	13	9	0.692308	10	9	0.900000	7	6	0.857143	3	2	0.666667	7	6	0.857143	1	1	1.000000	10	10	1.000000	139	139	1.000000
sim_005	21818	113	0.005179	633	35	0.055292	300	35	0.116667	160	34	0.212500	96	17	0.177083	58	12	0.206897	39	10	0.256410	34	14	0.411765	25	12	0.480000	19	12	0.631579	16	9	0.562500	11	5	0.454545	10	7	0.700000	12	11	0.916667	13	11	0.846154	7	6	0.857143	4	4	1.000000	5	4	0.800000	3	3	1.000000	145	144	0.993103
sim_006	19735	102	0.005168	744	60	0.080645	305	43	0.140984	168	26	0.154762	96	22	0.229167	51	16	0.313725	48	19	0.395833	37	9	0.243243	23	4	0.173913	17	8	0.470588	8	4	0.500000	10	8	0.800000	14	8	0.571429	8	4	0.500000	6	5	0.833333	7	4	0.571429	3	3	1.000000	5	0	0.000000	4	4	1.000000	149	149	1.000000
sim_007	36484	146	0.004002	629	39	0.062003	250	30	0.120000	149	25	0.167785	73	21	0.287671	51	16	0.313725	32	11	0.343750	27	9	0.333333	27	6	0.222222	13	5	0.384615	14	10	0.714286	14	8	0.571429	1	1	1.000000	7	4	0.571429	10	5	0.500000	3	1	0.333333	6	5	0.833333	5	5	1.000000	8	7	0.875000	145	144	0.993103
sim_010	45926	142	0.003092	598	30	0.050167	252	30	0.119048	134	33	0.246269	73	27	0.369863	59	15	0.254237	39	15	0.384615	35	13	0.371429	19	8	0.421053	17	7	0.411765	11	8	0.727273	9	6	0.666667	6	2	0.333333	8	5	0.625000	2	2	1.000000	6	5	0.833333	5	2	0.400000	7	7	1.000000	8	8	1.000000	133	133	1.000000
sim_011	27215	136	0.004997	673	53	0.078752	257	29	0.112840	137	23	0.167883	92	20	0.217391	65	20	0.307692	46	11	0.239130	26	7	0.269231	14	1	0.071429	14	5	0.357143	13	6	0.461538	10	3	0.300000	10	7	0.700000	10	8	0.800000	5	4	0.800000	9	7	0.777778	8	7	0.875000	8	7	0.875000	5	3	0.600000	141	141	1.000000
sim_012	23833	129	0.005413	724	47	0.064917	300	38	0.126667	121	25	0.206612	76	16	0.210526	58	20	0.344828	35	12	0.342857	32	7	0.218750	26	10	0.384615	10	6	0.600000	11	3	0.272727	17	6	0.352941	6	6	1.000000	7	3	0.428571	8	7	0.875000	3	2	0.666667	1	1	1.000000	10	8	0.800000	5	5	1.000000	147	147	1.000000
sim_013	23589	116	0.004918	754	57	0.075597	281	32	0.113879	154	25	0.162338	88	21	0.238636	58	21	0.362069	37	14	0.378378	36	11	0.305556	26	9	0.346154	23	11	0.478261	17	10	0.588235	13	3	0.230769	13	8	0.615385	5	2	0.400000	4	3	0.750000	4	4	1.000000	6	5	0.833333	5	5	1.000000	9	8	0.888889	133	133	1.000000
sim_014	41043	173	0.004215	599	46	0.076795	243	26	0.106996	129	12	0.093023	76	16	0.210526	47	11	0.234043	33	7	0.212121	29	13	0.448276	28	11	0.392857	18	6	0.333333	11	7	0.636364	3	2	0.666667	11	4	0.363636	10	8	0.800000	8	8	1.000000	7	3	0.428571	6	6	1.000000	5	5	1.000000	3	2	0.666667	147	132	0.897959
sim_015	25709	120	0.004668	727	59	0.081155	280	35	0.125000	164	19	0.115854	94	25	0.265957	61	16	0.262295	38	12	0.315789	31	9	0.290323	18	7	0.388889	19	11	0.578947	18	6	0.333333	9	4	0.444444	10	3	0.300000	6	4	0.666667	9	8	0.888889	6	5	0.833333	5	5	1.000000	10	8	0.800000	4	4	1.000000	139	138	0.992806
sim_016	30737	130	0.004229	789	68	0.086185	287	36	0.125436	190	35	0.184211	97	18	0.185567	47	15	0.319149	33	13	0.393939	29	14	0.482759	18	8	0.444444	15	4	0.266667	16	8	0.500000	8	5	0.625000	13	5	0.384615	9	5	0.555556	4	3	0.750000	8	5	0.625000	11	9	0.818182	8	6	0.750000	5	5	1.000000	106	106	1.000000
sim_017	23284	97	0.004166	584	40	0.068493	258	29	0.112403	152	28	0.184211	96	27	0.281250	62	13	0.209677	41	20	0.487805	36	15	0.416667	22	6	0.272727	12	4	0.333333	9	1	0.111111	11	4	0.363636	5	2	0.400000	5	2	0.400000	12	8	0.666667	11	8	0.727273	2	1	0.500000	5	5	1.000000	5	5	1.000000	183	183	1.000000
sim_018	7994	70	0.008757	509	24	0.047151	277	32	0.115523	157	23	0.146497	97	25	0.257732	64	15	0.234375	39	13	0.333333	29	11	0.379310	16	8	0.500000	21	8	0.380952	12	4	0.333333	12	10	0.833333	10	8	0.800000	4	4	1.000000	6	4	0.666667	9	7	0.777778	4	4	1.000000	4	4	1.000000	8	8	1.000000	216	216	1.000000
sim_019	31532	137	0.004345	726	41	0.056474	283	30	0.106007	151	32	0.211921	81	17	0.209877	45	13	0.288889	35	12	0.342857	31	14	0.451613	19	7	0.368421	18	10	0.555556	16	6	0.375000	13	10	0.769231	5	3	0.600000	6	5	0.833333	5	4	0.800000	7	7	1.000000	9	9	1.000000	2	2	1.000000	5	4	0.800000	135	135	1.000000
sim_020	26803	182	0.006790	599	39	0.065109	255	26	0.101961	140	23	0.164286	89	14	0.157303	54	9	0.166667	40	10	0.250000	19	8	0.421053	23	8	0.347826	13	3	0.230769	8	4	0.500000	12	5	0.416667	11	5	0.454545	6	2	0.333333	7	4	0.571429	7	5	0.714286	10	7	0.700000	4	4	1.000000	3	2	0.666667	173	138	0.797688
sim_021	44575	141	0.003163	632	42	0.066456	291	39	0.134021	132	27	0.204545	90	23	0.255556	38	6	0.157895	40	12	0.300000	30	14	0.466667	16	9	0.562500	18	11	0.611111	12	4	0.333333	8	3	0.375000	6	2	0.333333	9	8	0.888889	7	6	0.857143	3	2	0.666667	3	3	1.000000	5	5	1.000000	6	6	1.000000	135	135	1.000000
