replicate	mu	alpha	tau	gamma_0	gamma_1	gamma_2	gamma_3	gamma_4	N_bar	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.018544935805991442	0.7803138373751783	0.06990014265335236	0.8273894436519258	0.978601997146933	0.666191155492154	0.5663338088445078	0.7261055634807418	0.9757489300998573	0.5206847360912982	0.9029957203994294	0.21255349500713266	0.33666191155492153	0.3780313837375178	0.927246790299572
sim_002	0.1369472182596291	0.6790299572039943	0.8987161198288159	0.5477888730385164	0.07845934379457917	0.5905848787446505	0.37660485021398005	0.21825962910128388	0.10841654778887304	0.6333808844507846	0.3509272467902996	0.047075606276747506	0.7432239657631954	0.884450784593438	0.34950071326676174
sim_003	0.18544935805991442	0.08416547788873038	0.04136947218259629	0.543509272467903	0.9643366619115549	0.8202567760342369	0.2396576319543509	0.9158345221112696	0.9714693295292439	0.5007132667617689	0.42082738944365194	0.5948644793152639	0.6362339514978602	0.35235378031383735	0.9457917261055635
sim_004	0.6005706134094151	0.33666191155492153	0.02710413694721826	0.6590584878744651	0.2524964336661912	0.6990014265335235	0.10413694721825963	0.8002853067047075	0.5691868758915835	0.30099857346647646	0.8059914407988588	0.3509272467902996	0.7275320970042796	0.1340941512125535	0.3024251069900143
sim_005	0.29529243937232524	0.6947218259629101	0.9400855920114123	0.11840228245363767	0.912981455064194	0.8901569186875892	0.21112696148359486	0.4065620542082739	0.5249643366619116	0.15834522111269614	0.630527817403709	0.62339514978602	0.3095577746077033	0.39942938659058486	0.9828815977175464
sim_006	0.29529243937232524	0.6476462196861626	0.9215406562054208	0.44365192582025675	0.8815977175463623	0.30099857346647646	0.9329529243937232	0.7517831669044223	0.9286733238231099	0.6176890156918687	0.39372325249643364	0.21540656205420827	0.9500713266761769	0.21112696148359486	0.2796005706134094
sim_007	0.6932952924393724	0.7346647646219686	0.39372325249643364	0.24679029957203993	0.7047075606276747	0.8930099857346647	0.5991440798858774	0.20256776034236804	0.4222539229671897	0.5320970042796006	0.1340941512125535	1.0	0.5549215406562055	0.20684736091298145	0.2553495007132668
sim_010	0.7888730385164051	0.3124108416547789	0.5834522111269614	0.8787446504992867	0.1340941512125535	0.30813124108416545	0.5991440798858774	0.009985734664764621	0.05706134094151213	0.5962910128388017	0.2781740370898716	0.7803138373751783	0.5449358059914408	0.40228245363766046	0.5449358059914408
sim_011	0.019971469329529243	0.39514978601997147	0.38516405135520687	0.9942938659058488	0.8373751783166904	0.536376604850214	0.8887303851640513	0.5178316690442225	0.9914407988587732	0.4051355206847361	0.03851640513552068	0.5677603423680456	0.8687589158345221	0.7375178316690443	0.8202567760342369
sim_012	0.05848787446504993	0.2524964336661912	0.7446504992867332	0.6562054208273894	0.6062767475035663	0.6276747503566333	0.9728958630527818	0.34950071326676174	0.8202567760342369	0.6562054208273894	0.8873038516405135	0.5834522111269614	0.19115549215406563	0.2781740370898716	0.948644793152639
sim_013	0.5962910128388017	0.4793152639087018	0.6219686162624821	0.29101283880171186	0.4122681883024251	0.8644793152639088	0.17403708987161198	0.666191155492154	0.4964336661911555	0.6005706134094151	0.4450784593437946	0.9115549215406562	0.14407988587731813	0.15406562054208273	0.3466476462196862
sim_014	0.4793152639087018	1.0	0.41797432239657634	0.6647646219686163	0.5049928673323824	0.9087018544935807	0.543509272467903	0.3880171184022825	0.7517831669044223	0.5763195435092725	0.06419400855920114	0.20684736091298145	0.9914407988587732	0.19543509272467904	0.0
sim_015	0.32952924393723254	0.5891583452211127	0.40228245363766046	0.35805991440798857	0.6562054208273894	0.24536376604850213	0.8873038516405135	0.15121255349500715	0.31383737517831667	0.10556348074179743	0.6861626248216833	0.9358059914407989	0.10556348074179743	0.6419400855920114	0.9643366619115549
sim_016	0.17118402282453637	0.0028530670470756064	0.09272467902995721	0.9600570613409415	0.7004279600570613	0.07417974322396577	0.9971469329529244	0.052781740370898715	0.6248216833095578	0.14407988587731813	0.4921540656205421	0.037089871611982884	0.2995720399429387	0.9657631954350927	0.9957203994293866
sim_017	0.6062767475035663	0.6932952924393724	0.7574893009985735	0.8388017118402282	0.4079885877318117	0.7546362339514978	0.07275320970042796	0.5834522111269614	0.5777460770328102	0.14265335235378032	0.12553495007132667	0.8259629101283881	0.21255349500713266	0.7589158345221113	0.1768901569186876
sim_018	0.5677603423680456	0.47075606276747506	0.6804564907275321	0.24964336661911554	0.6590584878744651	0.9985734664764622	0.10128388017118402	0.9643366619115549	0.9686162624821684	0.8730385164051355	0.8616262482168331	0.5292439372325249	0.0884450784593438	0.8102710413694721	0.3309557774607703
sim_019	0.1312410841654779	0.5492154065620543	0.3166904422253923	0.68188302425107	0.052781740370898715	0.9828815977175464	0.03566333808844508	0.30527817403708984	0.2225392296718973	0.6733238231098431	0.760342368045649	0.2253922967189729	0.6890156918687589	0.29814550641940085	0.5406562054208274
sim_020	0.8587731811697575	1.0	0.7617689015691869	0.0	0.16833095577746077	0.5563480741797432	0.23680456490727533	0.3537803138373752	0.008559201141226819	0.9229671897289586	0.34807417974322397	0.7475035663338089	0.23823109843081314	0.8630527817403709	0.0
sim_021	0.5178316690442225	0.1783166904422254	0.26105563480741795	0.6390870185449358	0.7218259629101283	0.26105563480741795	0.17118402282453637	0.8031383737517832	0.5634807417974322	0.4065620542082739	0.8288159771754636	0.5649072753209701	0.9229671897289586	0.014265335235378032	0.0028530670470756064
sim_022	0.4964336661911555	0.8630527817403709	0.37375178316690444	0.5135520684736091	0.8231098430813124	0.2211126961483595	0.7902995720399429	0.8002853067047075	0.8815977175463623	0.5320970042796006	0.42653352353780316	0.2396576319543509	0.35520684736091296	0.9843081312410842	0.34950071326676174
sim_023	0.1312410841654779	0.5021398002853067	0.5805991440798859	0.5192582025677603	0.21683309557774608	0.8930099857346647	0.833095577746077	0.2738944365192582	0.609129814550642	0.1840228245363766	0.651925820256776	0.5606276747503567	0.02710413694721826	0.9814550641940085	0.7860199714693296
sim_024	0.8045649072753209	0.8673323823109843	0.33238231098430815	0.20114122681883023	0.7318116975748931	0.29101283880171186	0.12553495007132667	0.9743223965763196	0.7132667617689016	0.8216833095577746	0.25962910128388017	0.2767475035663338	0.637660485021398	0.7118402282453637	0.369472182596291
sim_025	0.5920114122681883	0.572039942938659	0.25392296718972895	0.43651925820256776	0.6390870185449358	0.14122681883024252	0.8730385164051355	0.7146932952924394	0.6390870185449358	0.24536376604850213	0.9443651925820257	0.12268188302425106	0.6034236804564908	0.5306704707560628	0.6248216833095578
sim_026	0.06562054208273894	0.7803138373751783	0.6804564907275321	0.7888730385164051	0.16405135520684735	0.6005706134094151	0.7161198288159771	0.20970042796005706	0.3880171184022825	0.3095577746077033	0.6547788873038516	0.6419400855920114	0.1383737517831669	0.6105563480741797	0.8987161198288159
sim_027	0.7360912981455064	0.8815977175463623	0.25106990014265335	0.16975748930099857	0.4507845934379458	0.034236804564907276	0.4579172610556348	0.3751783166904422	0.0442225392296719	0.4921540656205421	0.7731811697574893	0.6219686162624821	0.4522111269614836	0.039942938659058486	0.021398002853067047
sim_029	0.362339514978602	0.8801711840228246	0.17403708987161198	0.6005706134094151	0.8858773181169758	0.14835948644793154	0.9771754636233951	0.20827389443651925	0.6975748930099858	0.6205420827389444	0.3195435092724679	0.3181169757489301	0.891583452211127	0.11697574893009986	0.3209700427960057
sim_031	0.2396576319543509	0.2767475035663338	0.15121255349500715	0.8445078459343794	0.3723252496433666	0.7132667617689016	0.5649072753209701	0.9543509272467903	0.9714693295292439	0.48216833095577744	0.5378031383737518	0.49072753209700426	0.2268188302425107	0.8159771754636234	0.7660485021398002
sim_034	0.9572039942938659	0.015691868758915834	0.275320970042796	0.5891583452211127	0.2838801711840228	0.3594864479315264	0.7817403708987162	0.3651925820256776	0.39372325249643364	0.2582025677603424	0.289586305278174	0.9914407988587732	0.8616262482168331	0.0042796005706134095	0.25106990014265335
sim_035	0.10556348074179743	0.14835948644793154	0.3780313837375178	0.8887303851640513	0.6148359486447932	0.8972895863052782	0.666191155492154	0.7004279600570613	0.9728958630527818	0.6975748930099858	0.4507845934379458	0.6562054208273894	0.02282453637660485	0.9900142653352354	0.9101283880171184
sim_038	0.7503566333808844	0.7874465049928673	0.014265335235378032	0.9229671897289586	0.7960057061340942	0.9971469329529244	0.05706134094151213	0.19115549215406563	0.7118402282453637	0.8088445078459344	0.4693295292439372	0.6704707560627675	0.3666191155492154	0.42082738944365194	0.8716119828815977
sim_039	0.42082738944365194	0.1825962910128388	0.052781740370898715	0.35235378031383735	0.4065620542082739	0.6776034236804565	0.19115549215406563	0.33951497860199714	0.20399429386590584	0.15406562054208273	0.05563480741797432	0.5606276747503567	0.7717546362339515	0.8730385164051355	0.11554921540656206
sim_040	0.5691868758915835	0.16119828815977175	0.24108416547788872	0.6961483594864479	0.6119828815977175	0.3509272467902996	0.6405135520684736	0.25962910128388017	0.48216833095577744	0.9329529243937232	0.5891583452211127	0.7018544935805991	0.29243937232524964	0.1797432239657632	0.891583452211127
sim_042	0.6262482168330956	0.2653352353780314	0.20542082738944364	0.0	0.9258202567760342	0.44365192582025675	0.9843081312410842	0.034236804564907276	0.07560627674750357	0.06562054208273894	0.5206847360912982	0.43081312410841655	0.6676176890156919	0.3437945791726106	0.35520684736091296
sim_044	0.4065620542082739	0.38231098430813126	0.6248216833095578	0.6647646219686163	0.6476462196861626	0.7161198288159771	0.4094151212553495	0.1312410841654779	0.3723252496433666	0.442225392296719	0.024251069900142655	0.5263908701854494	0.6890156918687589	0.8758915834522111	0.9400855920114123
sim_045	0.9472182596291013	0.3666191155492154	0.5592011412268189	0.38944365192582026	0.8259629101283881	0.10413694721825963	0.11269614835948645	0.4522111269614836	0.20399429386590584	0.29101283880171186	0.6019971469329529	0.2396576319543509	0.463623395149786	0.717546362339515	0.21683309557774608
sim_046	0.2967189728958631	0.5520684736091298	0.32667617689015693	0.637660485021398	0.5463623395149786	0.6490727532097005	0.1398002853067047	0.7004279600570613	0.6062767475035663	0.23109843081312412	0.7646219686162625	0.4122681883024251	0.738944365192582	0.23680456490727533	0.992867332382311
sim_048	0.20970042796005706	0.39514978601997147	0.4322396576319544	0.07703281027104136	0.4051355206847361	0.7746077032810271	0.9101283880171184	0.12410841654778887	0.2710413694721826	0.5420827389443652	0.4507845934379458	0.5007132667617689	0.5406562054208274	0.5977175463623395	0.7475035663338089
sim_049	0.29386590584878747	0.18544935805991442	0.9015691868758916	0.5863052781740371	0.7574893009985735	0.2724679029957204	0.9472182596291013	0.09985734664764621	0.48787446504992865	0.5534950071326676	0.536376604850214	0.8502139800285307	0.5178316690442225	0.15121255349500715	0.46219686162624823
sim_050	0.4165477888730385	0.9871611982881597	0.8873038516405135	0.6562054208273894	0.44365192582025675	0.49072753209700426	0.9044222539229672	0.6761768901569187	0.854493580599144	0.1326676176890157	0.8388017118402282	0.33523537803138376	0.33951497860199714	0.7860199714693296	0.4593437945791726
sim_051	0.5891583452211127	0.2268188302425107	0.8273894436519258	0.16833095577746077	0.6604850213980028	0.8801711840228246	0.9158345221112696	0.9258202567760342	0.9814550641940085	0.7446504992867332	0.0	0.7945791726105563	0.9700427960057061	0.8616262482168331	0.06419400855920114
sim_052	0.1754636233951498	0.7945791726105563	0.6348074179743224	0.44365192582025675	0.4479315263908702	0.43937232524964337	0.6405135520684736	0.5135520684736091	0.4607703281027104	0.9543509272467903	0.9101283880171184	0.24393723252496433	0.5064194008559201	0.03281027104136947	0.3223965763195435
sim_054	0.8601997146932953	0.47788873038516405	0.42082738944365194	0.5378031383737518	0.3252496433666191	0.24536376604850213	0.25677603423680456	0.8787446504992867	0.5691868758915835	0.4108416547788873	0.9557774607703281	0.10556348074179743	0.35235378031383735	0.5948644793152639	0.48359486447931527
sim_055	0.5263908701854494	0.4051355206847361	0.1768901569186876	0.776034236804565	0.10271041369472182	0.9586305278174037	0.8416547788873039	0.012838801711840228	0.3309557774607703	0.8787446504992867	0.12125534950071326	0.4094151212553495	0.3209700427960057	0.9543509272467903	0.08273894436519258
sim_056	0.017118402282453638	0.5563480741797432	0.10413694721825963	0.9229671897289586	0.4450784593437946	0.7674750356633381	0.9258202567760342	0.11982881597717546	0.7960057061340942	0.4950071326676177	0.03281027104136947	0.8473609129814551	0.16547788873038516	0.6861626248216833	0.9800285306704708
sim_057	0.891583452211127	0.5121255349500713	0.24679029957203993	0.7888730385164051	0.09272467902995721	0.4108416547788873	0.8516405135520685	0.8002853067047075	0.8088445078459344	0.6291012838801712	0.1825962910128388	0.81169757489301	0.5007132667617689	0.2296718972895863	0.7375178316690443
sim_058	0.7503566333808844	0.20542082738944364	0.017118402282453638	0.5306704707560628	0.8858773181169758	0.49072753209700426	0.3651925820256776	0.7817403708987162	0.8245363766048502	0.797432239657632	0.6690442225392297	0.10128388017118402	0.543509272467903	0.8901569186875892	0.7018544935805991
sim_059	0.08273894436519258	0.26390870185449355	0.4507845934379458	0.3309557774607703	0.26105563480741795	0.9671897289586305	0.5663338088445078	0.8559201141226819	0.8716119828815977	0.8216833095577746	0.021398002853067047	0.6419400855920114	0.34522111269614836	0.9728958630527818	0.44935805991440797
sim_060	0.08701854493580599	0.5620542082738944	0.44650499286733236	0.9015691868758916	0.04136947218259629	0.9457917261055635	0.8716119828815977	0.04850213980028531	0.3780313837375178	0.042796005706134094	0.23109843081312412	0.5035663338088445	0.3095577746077033	0.8601997146932953	0.905848787446505
sim_062	0.26105563480741795	0.717546362339515	0.052781740370898715	0.9757489300998573	0.3908701854493581	0.6262482168330956	0.42368045649072755	0.05563480741797432	0.42368045649072755	0.8102710413694721	0.30385164051355207	0.8673323823109843	0.47075606276747506	0.43794579172610554	0.891583452211127
sim_063	0.912981455064194	0.39229671897289586	0.62339514978602	0.3166904422253923	0.025677603423680456	0.985734664764622	0.3466476462196862	0.3281027104136947	0.275320970042796	0.14693295292439373	0.8730385164051355	0.10556348074179743	0.5306704707560628	0.4950071326676177	0.275320970042796
sim_064	0.9900142653352354	0.6975748930099858	0.38659058487874465	0.7403708987161198	0.009985734664764621	0.7261055634807418	0.05991440798858773	0.9029957203994294	0.4165477888730385	0.7674750356633381	0.9814550641940085	0.18687589158345222	0.06276747503566334	0.9700427960057061	0.6476462196861626
sim_065	0.442225392296719	0.05563480741797432	0.38516405135520687	0.456490727532097	0.362339514978602	0.5834522111269614	0.9015691868758916	0.8987161198288159	0.927246790299572	0.024251069900142655	0.5235378031383737	0.11554921540656206	0.47360912981455067	0.8873038516405135	0.34522111269614836
sim_067	0.039942938659058486	0.35805991440798857	0.7817403708987162	0.3166904422253923	0.456490727532097	0.5905848787446505	0.5748930099857347	0.39942938659058486	0.37660485021398005	0.8673323823109843	0.7646219686162625	0.20114122681883023	0.2553495007132668	0.6348074179743224	0.38516405135520687
sim_068	0.6062767475035663	0.4536376604850214	0.24679029957203993	0.24679029957203993	0.797432239657632	0.31383737517831667	0.4136947218259629	0.31098430813124106	0.24536376604850213	0.09985734664764621	0.30527817403708984	0.6048502139800286	0.8245363766048502	0.30527817403708984	0.4664764621968616
sim_069	0.4194008559201141	0.8801711840228246	0.2211126961483595	0.6619115549215406	0.3666191155492154	0.8159771754636234	0.08131241084165478	0.630527817403709	0.5463623395149786	0.10556348074179743	0.3195435092724679	0.39657631954350925	0.6904422253922967	0.5007132667617689	0.3723252496433666
sim_072	0.5492154065620543	0.7945791726105563	0.884450784593438	0.07132667617689016	0.41797432239657634	0.09700427960057062	0.8202567760342369	0.6390870185449358	0.340941512125535	0.09272467902995721	0.1754636233951498	0.7275320970042796	0.31098430813124106	0.9743223965763196	0.05420827389443652
sim_073	0.9957203994293866	0.12268188302425106	0.5991440798858774	0.23680456490727533	0.6975748930099858	0.5320970042796006	0.1768901569186876	0.8887303851640513	0.6704707560627675	0.9814550641940085	0.6333808844507846	0.7746077032810271	0.5962910128388017	0.08273894436519258	0.6019971469329529
sim_074	0.49072753209700426	0.3466476462196862	0.884450784593438	0.0014265335235378032	0.5192582025677603	0.5677603423680456	0.8502139800285307	0.275320970042796	0.18830242510699002	0.10841654778887304	0.23252496433666192	0.35805991440798857	0.8031383737517832	0.5449358059914408	0.05706134094151213
sim_075	0.46790299572039945	0.579172610556348	0.9372325249643366	0.5606276747503567	0.07417974322396577	0.2553495007132668	0.9985734664764622	0.021398002853067047	0.2296718972895863	0.9557774607703281	0.6604850213980028	0.39372325249643364	0.4194008559201141	0.5706134094151213	0.5620542082738944
sim_076	0.8773181169757489	0.3509272467902996	0.340941512125535	0.7446504992867332	0.0456490727532097	0.543509272467903	0.07560627674750357	0.738944365192582	0.2225392296718973	0.7146932952924394	0.2253922967189729	0.6647646219686163	0.12553495007132667	0.985734664764622	0.10128388017118402
sim_077	0.4764621968616263	0.034236804564907276	0.905848787446505	0.8987161198288159	0.5392296718972895	0.15549215406562053	0.43509272467902993	0.9400855920114123	0.8987161198288159	0.854493580599144	0.7004279600570613	0.6348074179743224	0.3466476462196862	0.31383737517831667	0.7261055634807418
sim_080	0.29529243937232524	0.4479315263908702	0.776034236804565	0.17261055634807418	0.48787446504992865	0.6134094151212554	0.8359486447931527	0.8473609129814551	0.7803138373751783	0.5649072753209701	0.20399429386590584	0.456490727532097	0.6262482168330956	0.7360912981455064	0.02282453637660485
sim_081	0.38516405135520687	1.0	0.5592011412268189	0.0028530670470756064	0.891583452211127	0.572039942938659	0.25962910128388017	0.9828815977175464	0.7403708987161198	0.024251069900142655	0.7203994293865906	0.08273894436519258	0.4550641940085592	0.8530670470756063	0.0042796005706134095
sim_082	0.6647646219686163	0.7988587731811697	0.2553495007132668	0.44365192582025675	0.5549215406562055	0.31098430813124106	0.8159771754636234	0.31383737517831667	0.41512125534950073	0.8744650499286734	0.5977175463623395	0.04992867332382311	0.11412268188302425	0.9643366619115549	0.5620542082738944
sim_083	0.9229671897289586	0.16547788873038516	0.8302425106990015	0.463623395149786	0.5249643366619116	0.11840228245363767	0.2738944365192582	0.6333808844507846	0.2553495007132668	0.14122681883024252	0.3509272467902996	0.9144079885877318	0.7332382310984308	0.15263908701854492	0.6776034236804565
sim_085	0.6219686162624821	0.7917261055634808	0.7560627674750356	0.15691868758915833	0.6077032810271041	0.11412268188302425	0.1754636233951498	0.6348074179743224	0.1768901569186876	0.7746077032810271	0.2738944365192582	0.68188302425107	0.8017118402282454	0.2767475035663338	0.04850213980028531
sim_086	0.10128388017118402	0.992867332382311	0.06134094151212553	0.31383737517831667	0.7860199714693296	0.12410841654778887	0.7360912981455064	0.5392296718972895	0.47360912981455067	0.7574893009985735	0.43509272467902993	0.992867332382311	0.15406562054208273	0.6276747503566333	0.7446504992867332
sim_087	0.3223965763195435	0.8502139800285307	0.9372325249643366	0.12696148359486448	0.3281027104136947	0.746077032810271	0.05848787446504993	0.9800285306704708	0.6390870185449358	0.41512125534950073	0.25106990014265335	0.8302425106990015	0.43081312410841655	0.7432239657631954	0.651925820256776
sim_089	0.21825962910128388	0.8430813124108416	0.39942938659058486	0.6205420827389444	0.81169757489301	0.5263908701854494	0.03138373751783167	0.9500713266761769	0.8416547788873039	0.17261055634807418	0.43081312410841655	0.44935805991440797	0.6576319543509273	0.4607703281027104	0.8516405135520685
sim_090	0.8644793152639088	0.43366619115549215	0.8359486447931527	0.5563480741797432	0.6148359486447932	0.8402282453637661	0.04136947218259629	0.2838801711840228	0.2867332382310984	0.0912981455064194	0.9942938659058488	0.014265335235378032	0.3309557774607703	0.8873038516405135	0.15121255349500715
sim_091	0.5706134094151213	0.9343794579172611	0.8801711840228246	0.9743223965763196	0.42510699001426533	0.3252496433666191	0.2995720399429387	0.7788873038516405	0.8858773181169758	0.19543509272467904	0.9814550641940085	0.009985734664764621	0.47360912981455067	0.6162624821683309	0.992867332382311
sim_092	0.24821683309557774	0.42653352353780316	0.5078459343794579	0.0456490727532097	0.7075606276747504	0.992867332382311	0.8502139800285307	0.5221112696148359	0.912981455064194	0.034236804564907276	0.42082738944365194	0.7646219686162625	0.11982881597717546	0.637660485021398	0.3309557774607703
sim_093	0.2781740370898716	0.6961483594864479	0.6134094151212554	0.6034236804564908	0.7960057061340942	0.8473609129814551	0.021398002853067047	0.9500713266761769	0.8730385164051355	0.651925820256776	0.8259629101283881	0.34236804564907275	0.005706134094151213	0.9243937232524965	0.514978601997147
sim_094	0.8202567760342369	0.7104136947218259	0.35235378031383735	0.4978601997146933	0.34236804564907275	0.4664764621968616	0.16405135520684735	0.6148359486447932	0.3238231098430813	0.9914407988587732	0.5477888730385164	0.7845934379457917	0.05563480741797432	0.9087018544935807	0.8730385164051355
sim_095	0.5592011412268189	0.7717546362339515	0.5948644793152639	0.21825962910128388	0.7689015691868759	0.08701854493580599	0.557774607703281	0.8858773181169758	0.6291012838801712	0.06704707560627675	0.912981455064194	0.6148359486447932	0.6405135520684736	0.042796005706134094	0.5891583452211127
sim_097	0.1768901569186876	0.12125534950071326	0.6205420827389444	0.9415121255349501	0.06276747503566334	0.9372325249643366	0.4978601997146933	0.7774607703281027	0.912981455064194	0.6390870185449358	0.6205420827389444	0.8744650499286734	0.11126961483594865	0.5021398002853067	0.9914407988587732
sim_098	0.0014265335235378032	0.039942938659058486	0.30527817403708984	0.19258202567760344	0.8430813124108416	0.8958630527817404	0.5905848787446505	0.7232524964336662	0.9072753209700428	0.557774607703281	0.4322396576319544	0.24964336661911554	0.17403708987161198	0.985734664764622	0.992867332382311
sim_099	0.9728958630527818	0.05563480741797432	0.5463623395149786	0.4522111269614836	0.12125534950071326	0.9015691868758916	0.1383737517831669	0.9472182596291013	0.8530670470756063	0.8302425106990015	0.8259629101283881	0.5192582025677603	0.15977175463623394	0.43366619115549215	0.024251069900142655
sim_100	0.9728958630527818	0.6604850213980028	0.8730385164051355	0.24108416547788872	0.8573466476462197	0.21112696148359486	0.44079885877318115	0.30813124108416545	0.25962910128388017	0.5691868758915835	0.4507845934379458	0.3609129814550642	0.03851640513552068	0.8502139800285307	0.4037089871611983
sim_101	0.31098430813124106	0.630527817403709	0.1797432239657632	0.2225392296718973	0.6576319543509273	0.9871611982881597	0.16119828815977175	0.5335235378031383	0.703281027104137	0.3209700427960057	0.6975748930099858	0.19971469329529243	0.6676176890156919	0.4108416547788873	0.6433666191155493
sim_102	0.015691868758915834	0.3880171184022825	0.4522111269614836	0.9671897289586305	0.7075606276747504	0.8787446504992867	0.7546362339514978	0.6932952924393724	0.9885877318116976	0.8302425106990015	0.2781740370898716	0.14122681883024252	0.7717546362339515	0.8573466476462197	0.9971469329529244
sim_103	0.11840228245363767	0.44365192582025675	0.7774607703281027	0.20970042796005706	0.5834522111269614	0.9728958630527818	0.30527817403708984	0.8659058487874465	0.8815977175463623	0.8216833095577746	0.8815977175463623	0.7617689015691869	0.0028530670470756064	0.8002853067047075	0.23823109843081314
sim_104	0.9543509272467903	0.09415121255349501	0.2582025677603424	0.8487874465049928	0.0456490727532097	0.12125534950071326	0.16547788873038516	0.833095577746077	0.3637660485021398	0.42938659058487877	0.644793152639087	0.536376604850214	0.5748930099857347	0.19258202567760344	0.24393723252496433
sim_105	0.8616262482168331	1.0	0.1398002853067047	0.08559201141226819	0.2967189728958631	0.7018544935805991	0.5092724679029957	0.6961483594864479	0.38944365192582026	0.14407988587731813	0.28815977175463625	0.9914407988587732	0.1398002853067047	0.181169757489301	0.0
sim_106	0.9001426533523538	0.3751783166904422	0.10556348074179743	0.09700427960057062	0.7146932952924394	0.5763195435092725	0.0014265335235378032	0.9358059914407989	0.23823109843081314	0.20970042796005706	0.5449358059914408	0.8644793152639088	0.6348074179743224	0.21968616262482168	0.7660485021398002
sim_107	0.3980028530670471	0.6704707560627675	0.14122681883024252	0.724679029957204	0.5035663338088445	0.746077032810271	0.19543509272467904	0.8758915834522111	0.8815977175463623	0.5534950071326676	0.7660485021398002	0.9971469329529244	0.11412268188302425	0.16690442225392296	0.6462196861626248
sim_108	0.4079885877318117	0.9728958630527818	0.1754636233951498	0.30099857346647646	0.4051355206847361	0.9258202567760342	0.5278174037089871	0.2653352353780314	0.42653352353780316	0.442225392296719	0.014265335235378032	0.9229671897289586	0.3780313837375178	0.6405135520684736	0.21255349500713266
sim_109	0.9372325249643366	0.03566333808844508	0.19971469329529243	0.6219686162624821	0.8972895863052782	0.2710413694721826	0.8302425106990015	0.1840228245363766	0.5748930099857347	0.6462196861626248	0.39229671897289586	0.5848787446504993	0.05848787446504993	0.8901569186875892	0.07560627674750357
sim_110	0.8045649072753209	0.007132667617689016	0.3880171184022825	0.06562054208273894	0.3281027104136947	0.37945791726105566	0.43366619115549215	0.5905848787446505	0.14835948644793154	0.42938659058487877	0.20827389443651925	0.9172610556348074	0.42796005706134094	0.1768901569186876	0.6676176890156919
sim_111	0.8530670470756063	0.43651925820256776	0.48787446504992865	0.8402282453637661	0.21825962910128388	0.015691868758915834	0.8430813124108416	0.6490727532097005	0.47788873038516405	0.776034236804565	0.5021398002853067	0.39942938659058486	0.6533523537803139	0.3637660485021398	0.2296718972895863
sim_113	0.9757489300998573	1.0	0.1326676176890157	0.034236804564907276	0.6119828815977175	0.20542082738944364	0.9029957203994294	0.09700427960057062	0.07988587731811697	0.9072753209700428	0.019971469329529243	0.9557774607703281	0.7075606276747504	0.6248216833095578	0.0
sim_114	0.16975748930099857	0.0456490727532097	0.017118402282453638	0.39514978601997147	0.5035663338088445	0.8858773181169758	0.3537803138373752	0.8773181169757489	0.8373751783166904	0.8231098430813124	0.38373751783166904	0.1326676176890157	0.7161198288159771	0.7646219686162625	0.6162624821683309
sim_116	0.5877318116975749	0.746077032810271	0.8259629101283881	0.7232524964336662	0.1783166904422254	0.6362339514978602	0.3723252496433666	0.43081312410841655	0.4165477888730385	0.03566333808844508	0.0912981455064194	0.29814550641940085	0.19258202567760344	0.978601997146933	0.5877318116975749
sim_117	0.6405135520684736	0.11982881597717546	0.9529243937232525	0.5606276747503567	0.9700427960057061	0.1312410841654779	0.609129814550642	0.33523537803138376	0.6504992867332382	0.8259629101283881	0.16975748930099857	0.442225392296719	0.7118402282453637	0.6134094151212554	0.34950071326676174
sim_118	0.9985734664764622	0.9657631954350927	0.6419400855920114	0.7232524964336662	0.10556348074179743	0.30385164051355207	0.8373751783166904	0.24393723252496433	0.3437945791726106	0.8473609129814551	0.2653352353780314	0.6333808844507846	0.48359486447931527	0.543509272467903	0.42082738944365194
sim_119	0.38373751783166904	0.8601997146932953	0.6176890156918687	0.7118402282453637	0.776034236804565	0.15263908701854492	0.24536376604850213	0.9985734664764622	0.9700427960057061	0.9457917261055635	0.5534950071326676	0.29243937232524964	0.9101283880171184	0.19543509272467904	0.5691868758915835
