bin_lo	bin_hi	total	true_hits	fraction
0	5	4254534	19636	0.004615311571137991
5	10	108281	7504	0.06930117010371165
10	15	44451	5304	0.11932239994600796
15	20	23196	4003	0.17257285738920503
20	25	13727	3016	0.21971297442995555
25	30	8997	2431	0.27020117817050127
30	35	6403	2018	0.31516476651569575
35	40	4599	1717	0.37334203087627743
40	45	3382	1391	0.4112950916617386
45	50	2567	1211	0.47175691468640435
50	55	2210	1118	0.5058823529411764
55	60	1750	980	0.56
60	65	1453	902	0.6207845836200964
65	70	1293	850	0.6573859242072699
70	75	1107	786	0.7100271002710027
75	80	1067	792	0.7422680412371134
80	85	923	756	0.819068255687974
85	90	926	799	0.8628509719222462
90	95	974	890	0.9137577002053389
95	100	24332	24074	0.989396679270097
