#Skyline assuming 50.0 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
2024.109	6.794e+00	2.955e+00	1.562e+01
2024.176	1.815e+01	1.338e+01	2.462e+01
2024.244	1.503e+02	1.301e+02	1.735e+02
2024.311	9.420e+01	7.549e+01	1.175e+02
2024.379	8.708e+01	7.106e+01	1.067e+02
2024.446	2.425e+02	2.082e+02	2.824e+02
2024.514	2.366e+02	1.809e+02	3.095e+02
2024.581	1.100e+02	7.055e+01	1.714e+02
2024.649	1.858e+01	1.368e+01	2.522e+01
2024.716	5.529e+01	4.642e+01	6.587e+01
2024.784	8.883e+01	7.653e+01	1.031e+02
2024.851	1.281e+02	1.129e+02	1.454e+02
2024.919	1.567e+02	1.382e+02	1.777e+02
2024.986	1.585e+03	1.151e+03	2.184e+03
2025.053	1.136e+02	7.841e+01	1.646e+02
2025.121	6.775e+01	4.895e+01	9.377e+01
2025.188	3.275e+01	2.353e+01	4.556e+01
2025.256	3.601e+01	2.875e+01	4.511e+01
2025.323	8.976e+01	7.573e+01	1.064e+02
2025.391	5.701e+01	4.192e+01	7.754e+01
2025.458	3.045e+01	2.235e+01	4.150e+01
2025.526	3.276e+01	2.641e+01	4.065e+01
2025.593	8.895e+01	6.459e+01	1.225e+02
