# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/h5n1-andersen-e756a15-ALL_full_dates_only.fasta <DASH-DASH>v0-steps 20000000000 <DASH-DASH>v0-out-log-file delphy_outputs_a/h5n1-andersen-e756a15-ALL_full_dates_only_a.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_a/h5n1-andersen-e756a15-ALL_full_dates_only_a.trees <DASH-DASH>v0-tree-every 20000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_a/h5n1-andersen-e756a15-ALL_full_dates_only_a.dphy <DASH-DASH>v0-delphy-snapshot-every 20000000 <DASH-DASH>v0-target-coal-prior-cells 1000 <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-prior-double-half-time 0.25 <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 23 <DASH-DASH>v0-skygrid-cutoff 1.833
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
0	6076	-212946	-97470.4	-115476	4.17443	2021.42	1005.22	0	6.24524	2.10829	1.63693	0.792255	0.875956	0.397556	0.525925	0.562463	0.787784	0.824914	0.788268	0.105465	0.20636	0.440346	1.32015	1.14055	1.15097	1.7135	1.62168	2.2085	1.85252	1.47996	1.74025	0.987491	1.833	1	0.32666	0.197929	0.248249	0.227162	0.001	0.001	-115476	0.0	-80707.9	
2000000	5079	-120709	-29498.3	-91210.6	4.38004	2021.21	487.703	0	6.24524	1.53038	2.13801	1.4119	2.13629	2.38444	2.09076	2.54068	1.85834	2.96855	3.32664	3.6643	2.9124	3.14345	3.16978	3.64875	3.1436	3.70509	3.90282	3.90878	3.59306	3.5374	2.62982	2.45721	1.833	18.2915	0.330907	0.203498	0.243947	0.221649	0.000747304	0.000747304	-91210.6	0.0	-12732	
4000000	4830	-113938	-27587.7	-86350.7	3.90817	2021.68	355.742	0	6.24524	0.653551	0.965947	0.89029	1.40498	1.52336	1.51265	1.57567	1.54529	2.4628	2.99038	2.9769	2.05604	2.54142	2.46242	3.21976	2.61511	3.17567	3.55486	3.17557	2.81253	2.63483	2.20539	2.00019	1.833	16.4732	0.329435	0.207346	0.2458	0.217419	0.000969026	0.000969026	-86350.7	0.0	-10821.7	
6000000	4758	-110522	-26217.3	-84305.1	3.88672	2021.71	282.638	0	6.24524	0.225723	0.260596	0.368937	1.18805	1.11579	0.943178	1.32285	1.67054	2.31099	2.54993	2.84259	1.79878	1.68727	2.10184	3.12598	1.87903	2.59864	2.97172	2.13417	2.10671	2.11791	1.98075	1.60243	1.833	17.9129	0.324706	0.202875	0.244275	0.228144	0.00124541	0.00124541	-84305.1	0.0	-9451.04	
8000000	4700	-107613	-25059.1	-82554.2	3.32763	2022.27	227.87	0	6.24524	-0.190019	0.246605	0.168123	0.973878	0.705462	1.04966	0.775348	1.44772	2.04057	1.9987	2.2183	1.1978	1.30919	1.94179	2.73179	1.46103	2.37173	2.278	1.87005	2.11533	1.39818	1.04879	1.30166	1.833	18.0575	0.330045	0.204055	0.242791	0.223109	0.0015302	0.0015302	-82554.2	0.0	-8292.87	
10000000	4673	-105481	-24157.1	-81323.8	2.73272	2022.86	188.292	0	6.24524	-0.291822	-0.206857	0.0211129	0.619019	0.429409	0.477181	0.991068	1.29635	1.75515	1.89972	1.63723	0.614023	1.2071	1.53138	2.13642	1.26238	1.76471	1.6832	1.16941	1.31431	1.65468	1.04492	0.814089	1.833	16.0427	0.329697	0.202246	0.248185	0.219872	0.00186232	0.00186232	-81323.8	0.0	-7391.13	
12000000	4619	-103122	-23231.2	-79890.7	2.40814	2023.19	159.69	0	6.24524	-0.415388	-0.576744	-0.229483	0.500295	0.110373	0.572812	1.01117	0.859052	1.58546	1.44904	1.17126	0.241852	0.795852	1.3769	1.71572	0.745007	1.53057	1.32767	1.20524	0.769596	0.326546	-0.157356	-0.0493947	1.833	17.9777	0.328659	0.201022	0.249268	0.221051	0.00213464	0.00213464	-79890.7	0.0	-6464.93	
14000000	4586	-101525	-22558.5	-78966.8	2.25182	2023.34	142.482	0	6.24524	-0.679774	-0.811982	-0.234804	-0.0460844	-0.144895	0.149955	0.781118	1.11823	1.35803	1.33665	1.00865	-0.22055	0.742353	1.26844	1.25916	0.794626	1.18111	1.30932	0.913402	0.150369	-0.0422775	-0.132932	-0.459213	1.833	16.6542	0.326636	0.207583	0.250084	0.215696	0.00238734	0.00238734	-78966.8	0.0	-5792.4	
16000000	4557	-100625	-22299.6	-78325.4	2.13912	2023.45	133.76	0	6.24524	-0.713582	-0.48016	-0.342245	0.178238	-0.272565	0.152812	0.829806	1.04283	1.40287	1.23236	0.763706	-0.364059	0.520213	0.986862	1.08545	0.650463	0.813813	1.20132	0.622551	-0.428266	-1.02273	-0.236355	-0.0593568	1.833	17.9215	0.325493	0.21061	0.241484	0.222413	0.00258829	0.00258829	-78325.4	0.0	-5533.31	
18000000	4544	-99944.2	-22023.3	-77921	1.91749	2023.68	126.648	0	6.24524	-0.76329	-1.03239	-0.367409	0.205909	-0.264017	-0.0225491	0.633434	1.08079	1.24368	1.09695	0.546565	-0.695723	0.282284	1.0747	0.99827	0.585728	0.69551	0.909173	0.534715	0.084599	-0.0079182	-0.668494	-1.00569	1.833	16.3901	0.328523	0.203045	0.24502	0.223412	0.00272439	0.00272439	-77921	0.0	-5257.2	
