item                       mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                    1200.482 0.305626 2.007064 1200     1197     1204     32467400 43.12633 1200.481
posterior_for_Delphy       -30623.6 10.43661 136.2799 -30617.2 -30881.3 -30356.7 8211923. 170.5081 NaN     
prior_for_Delphy           676.8660 1.460337 19.39732 677.622  636.222  711.57   7936199. 176.4320 676.5864
likelihood_really_logG     -31300.4 9.241585 117.4342 -31294.8 -31532.5 -31081.4 8671485. 161.4717 NaN     
rootHeight                 3.250621 0.016799 0.301151 3.22426  2.70779  3.85338  4356872. 321.3773 3.237031
age(root)                  2013.528 0.016789 0.301168 2013.56  2012.93  2014.07  4351527. 321.7720 2013.528
treeLength                 137.2224 1.01633  13.23425 135.944  113.711  163.736  8257715. 169.5626 136.6021
exponential.popSize        179.9851 2.141307 56.30879 170.879  87.7214  293.612  2024862. 691.5038 171.8894
exponential.growthRate     1.574595 0.00572  0.193987 1.56903  1.20651  1.95178  1217262. 1150.286 1.562534
kappa                      17.28384 0.020351 1.637884 17.1839  14.3738  20.6084  216180.0 6477.008 17.20706
frequencies1               0.260291 4.92E-5  0.004118 0.26026  0.252215 0.268061 200000   7001     0.260258
frequencies2               0.232411 5.21E-5  0.003968 0.232355 0.224636 0.240067 241094.6 5807.677 0.232377
frequencies3               0.277921 5.11E-5  0.004183 0.27793  0.269934 0.286165 208823.2 6705.191 0.27789 
frequencies4               0.229377 4.65E-5  0.003893 0.229377 0.221838 0.237169 200000   7001     0.229344
clock.rate                 0.000969 6.84E-6  9.49E-5  0.000969 0.000793 0.001163 7264071. 192.7569 0.000964
meanRate                   0.000969 6.84E-6  9.49E-5  0.000969 0.000793 0.001163 7264071. 192.7569 0.000964
age(KU527068.1|2015)       1.071566 0.003198 0.206599 1.0365   0.780836 1.46073  335400.9 4174.704 1.052865
age(KU647676.1|2015-12)    0.823098 0.00031  0.024555 0.822988 0.785323 0.865747 222943.4 6280.517 0.822732
age(KU820897.5|2015-12)    0.820044 0.000293 0.024493 0.818195 0.780938 0.860574 200000   7001     0.819679
age(KX101060.1|2015-05)    1.412351 0.000295 0.024659 1.4138   1.37168  1.45187  200257.3 6992.001 1.412135
age(KX101061.1|2015-05)    1.400996 0.000385 0.023672 1.3973   1.36713  1.44402  371184.4 3772.248 1.400797
age(KX101066.1|2015-05)    1.410322 0.000298 0.024653 1.41068  1.37167  1.45205  204571.6 6844.546 1.410107
age(KX280026.1|2015)       1.197253 0.003803 0.256929 1.17378  0.780847 1.65533  306705.8 4565.286 1.169948
treeLikelihood_really_logG -31300.4 9.241585 117.4342 -31294.8 -31532.5 -31081.4 8671485. 161.4717 NaN     
branchRates                0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                 -699.077 1.449257 19.24825 -698.31  -739.3   -664.56  7937768. 176.3971 NaN     
