replicate	num_mutations
sim_000	435
sim_001	825
sim_002	879
sim_003	1563
sim_004	759
sim_005	1089
sim_006	747
sim_007	2704
sim_008	2589
sim_009	7
sim_010	77
sim_011	315
sim_012	48
sim_013	45
sim_014	1537
sim_015	1037
sim_016	186
sim_017	42
sim_018	1451
sim_019	1858
sim_020	445
sim_021	2221
sim_022	267
sim_023	1304
sim_024	127
sim_025	239
sim_026	199
sim_027	1527
sim_028	2018
sim_029	1488
sim_030	574
sim_031	4983
sim_032	377
sim_033	221
sim_034	6281
sim_035	431
sim_036	889
sim_037	246
sim_038	203
sim_039	3099
sim_040	272
sim_041	96
sim_042	1103
sim_043	53
sim_044	227
sim_045	599
sim_046	2712
sim_047	1036
sim_048	0
sim_049	407
sim_050	140
sim_051	467
sim_052	219
sim_053	1171
sim_054	1605
sim_055	410
sim_056	55
sim_057	1532
sim_058	2100
sim_059	134
sim_060	133
sim_061	65
sim_062	555
sim_063	837
sim_064	248
sim_065	1751
sim_066	1033
sim_067	246
sim_068	449
sim_069	79
sim_070	926
sim_071	1011
sim_072	1021
sim_073	371
sim_074	182
sim_075	445
sim_076	103
sim_077	1145
sim_078	2716
sim_079	2591
sim_080	999
sim_081	266
sim_082	852
sim_083	2919
sim_084	738
sim_085	58
sim_086	151
sim_087	1793
sim_088	1605
sim_089	147
sim_090	33
sim_091	1483
sim_092	417
sim_093	194
sim_094	333
sim_095	921
sim_096	31
sim_097	358
sim_098	1396
sim_099	820
sim_100	2100
sim_101	230
sim_102	223
sim_103	461
sim_104	22
sim_105	760
sim_106	153
sim_107	670
sim_108	641
sim_109	1026
sim_110	72
sim_111	2444
sim_112	516
sim_113	1494
sim_114	166
sim_115	37
sim_116	51
sim_117	1560
sim_118	2119
sim_119	1980
sim_120	916
sim_121	1220
sim_122	2593
sim_123	1353
sim_124	1011
sim_125	6103
sim_126	362
sim_127	443
sim_128	1629
sim_129	145
sim_130	919
sim_131	2045
sim_132	1023
sim_133	1912
sim_134	167
sim_135	163
sim_136	96
sim_137	957
sim_138	865
sim_139	468
sim_140	487
sim_141	587
sim_142	501
sim_143	1704
sim_144	187
sim_145	143
sim_146	1245
sim_147	199
sim_148	1134
sim_149	778
sim_150	74
sim_151	805
sim_152	365
sim_153	13
sim_154	1475
sim_155	1620
sim_156	2727
sim_157	23
sim_158	990
sim_159	653
sim_160	1284
sim_161	165
sim_162	47
sim_163	462
sim_164	2865
sim_165	4888
sim_166	1490
sim_167	121
sim_168	919
sim_169	215
sim_170	38
sim_171	294
sim_172	294
sim_173	453
sim_174	518
sim_175	333
sim_176	598
sim_177	663
sim_178	158
sim_179	1680
sim_180	603
sim_181	759
sim_182	163
sim_183	911
sim_184	2228
sim_185	1623
sim_186	993
sim_187	81
sim_188	33
sim_189	3199
sim_190	622
sim_191	2315
sim_192	119
sim_193	1385
sim_194	298
sim_195	609
sim_196	1162
sim_197	960
sim_198	458
sim_199	80
