item                                    mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                               -25266.0 0.409835 21.58849 -25264.9 -25307.9 -25224.2 50461.76 2774.774 NaN     
likelihood                              -24569.0 0.218085 12.39283 -24568.7 -24592.5 -24543.6 43361.12 3229.160 NaN     
prior                                   -696.978 0.390259 19.84949 -696.022 -737.439 -660.193 54124.82 2586.983 NaN     
treeLikelihood.input_alignment          -24569.0 0.218085 12.39283 -24568.7 -24592.5 -24543.6 43361.12 3229.160 NaN     
Tree.height                             3.25199  0.004838 0.304698 3.228134 2.709942 3.8694   35307.32 3965.748 3.238145
Tree.treeLength                         136.7352 0.266086 13.46621 135.3535 112.8363 164.4898 54669.42 2561.212 136.0918
clockRate                               0.000992 1.94E-6  0.000101 0.000993 0.000798 0.001195 51557.36 2715.809 0.000987
gammaShape                              0.060222 0.000446 0.036369 0.057758 0.001    0.123072 21039.87 6654.983 0.045001
kappa                                   17.71605 0.021532 1.70251  17.60421 14.47939 21.11852 22396.09 6251.982 17.63522
Coalescent                              -698.871 0.386995 19.6826  -697.967 -738.737 -662.162 54129.87 2586.741 NaN     
ePopSize                                175.8734 0.860645 57.13585 166.2516 79.24800 285.0561 31770.22 4407.271 167.4810
growthRate                              1.559123 0.002444 0.194184 1.555932 1.181554 1.941611 22182.70 6312.124 1.546968
freqParameter.1                         0.263298 5.52E-5  0.004592 0.26322  0.254352 0.272137 20211.63 6927.693 0.263258
freqParameter.2                         0.229966 5.37E-5  0.004446 0.22988  0.221672 0.239092 20395.32 6865.299 0.229923
freqParameter.3                         0.27998  6.13E-5  0.004764 0.279987 0.27073  0.289294 23160.23 6045.706 0.27994 
freqParameter.4                         0.226756 5.97E-5  0.004417 0.226716 0.218713 0.235809 25614.22 5466.493 0.226713
logP(mrca(tip-dist.KU527068.1|2015))    0        0        0        0        0        0        NaN      NaN      NaN     
height(KU527068.1|2015)                 2015.701 0.002679 0.210654 2015.738 2015.300 2015.999 22645.74 6183.061 2015.701
logP(mrca(tip-dist.KU647676.1|2015-12)) 2.465928 1.04E-6  1.51E-6  2.465928 2.465928 2.465928 66691416 2.099521 2.465928
height(KU647676.1|2015-12)              2015.957 0.000293 0.024532 2015.957 2015.915 2015.995 20000    7001     2015.957
logP(mrca(tip-dist.KU820897.5|2015-12)) 2.465928 1.04E-6  1.51E-6  2.465928 2.465928 2.465928 66691416 2.099521 2.465928
height(KU820897.5|2015-12)              2015.961 0.000294 0.024213 2015.964 2015.921 2015.999 20674.21 6772.687 2015.961
logP(mrca(tip-dist.KX101060.1|2015-05)) 2.465928 1.04E-6  1.51E-6  2.465928 2.465928 2.465928 66691416 2.099521 2.465928
height(KX101060.1|2015-05)              2015.369 0.000292 0.024254 2015.368 2015.328 2015.408 20233.07 6920.352 2015.369
logP(mrca(tip-dist.KX101061.1|2015-05)) 2.465928 1.04E-6  1.51E-6  2.465928 2.465928 2.465928 66691416 2.099521 2.465928
height(KX101061.1|2015-05)              2015.376 0.000305 0.024499 2015.379 2015.334 2015.413 21762.68 6433.949 2015.376
logP(mrca(tip-dist.KX101066.1|2015-05)) 2.465928 1.04E-6  1.51E-6  2.465928 2.465928 2.465928 66691416 2.099521 2.465928
height(KX101066.1|2015-05)              2015.371 0.00029  0.024257 2015.371 2015.331 2015.412 20000    7001     2015.371
logP(mrca(tip-dist.KX280026.1|2015))    0        0        0        0        0        0        NaN      NaN      NaN     
height(KX280026.1|2015)                 2015.574 0.003432 0.256319 2015.595 2015.120 2015.999 25097.71 5578.994 2015.574
