# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/mpox-otoole-2023.fasta <DASH-DASH>v0-steps 200000000 <DASH-DASH>v0-out-log-file delphy_outputs_a/mpox-otoole-2023.log <DASH-DASH>v0-log-every 10000 <DASH-DASH>v0-out-trees-file delphy_outputs_a/mpox-otoole-2023.trees <DASH-DASH>v0-tree-every 100000 <DASH-DASH>v0-out-delphy-file delphy_outputs_a/mpox-otoole-2023.dphy <DASH-DASH>v0-delphy-snapshot-every 100000 <DASH-DASH>v0-mpox-hack
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	apobec3.clock.rate	non_apobec3.clock.rate	age(OP415257|9000312|UK|2022-08)	age(MK783032|3030|Nigeria_Rivers_State|2017-11)	age(NC_063383|MPXV-M5312_HM12_Rivers|Nigeria_Rivers_State|2018-08)	treeLikelihood_really_logG	branchRates	coalescent	
0	459	-232999	43845.3	-276845	5.6372	2017	37.1316	3	0	1	0.359355	0.158973	0.159095	0.322577	0	0.001	0	4.79051	4.01587	-276845	0.0	-82.9614	
10000	443	-226586	43839.5	-270426	5.61317	2017	40.2889	9.60678	0.226498	1	0.359355	0.158973	0.159095	0.322577	0.000177458	1.59002e-05	0	4.71506	3.96664	-270426	0.0	-87.5506	
20000	431	-226362	43843.1	-270205	5.61452	2017.05	39.6621	16.368	0.482735	1	0.359355	0.158973	0.159095	0.322577	0.000193447	1.36579e-05	0	4.75025	4.03368	-270205	0.0	-83.4601	
30000	425	-226270	43841.3	-270111	5.72469	2016.87	41.3358	28.5272	0.561765	1	0.359355	0.158973	0.159095	0.322577	0.000172508	1.2106e-05	0	4.70059	3.97842	-270111	0.0	-84.6374	
40000	415	-226132	43840	-269972	5.99665	2016.6	42.4801	37.2559	0.681362	1	0.359355	0.158973	0.159095	0.322577	0.00014849	1.07509e-05	0	4.74799	4.00258	-269972	0.0	-85.6024	
50000	410	-226051	43840.9	-269892	6.01685	2016.61	43.1784	46.5833	0.65905	1	0.359355	0.158973	0.159095	0.322577	0.000139737	1.00917e-05	0	4.7244	4.01949	-269892	0.0	-84.528	
60000	407	-225992	43838.6	-269831	6.28423	2016.35	42.8375	67.1444	0.733687	1	0.359355	0.158973	0.159095	0.322577	0.000168599	1.08521e-05	0	4.77096	4.00943	-269831	0.0	-86.4477	
70000	404	-225920	43840.8	-269761	5.87195	2016.78	40.9711	12.0977	0.34216	1	0.359355	0.158973	0.159095	0.322577	0.000170847	9.58172e-06	0	4.80552	4.01139	-269761	0.0	-86.0393	
80000	394	-225736	43845.9	-269582	5.91878	2016.72	39.193	17.2395	0.543825	1	0.359355	0.158973	0.159095	0.322577	0.000171502	7.83062e-06	0	4.7716	4.01862	-269582	0.0	-80.5063	
90000	392	-225711	43845.6	-269557	5.87981	2016.76	39.5568	21.6164	0.492786	1	0.359355	0.158973	0.159095	0.322577	0.000173755	9.50933e-06	0	4.79423	4.01206	-269557	0.0	-80.6594	
