item                                                               mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                                                            343.1509 0.016707 0.381909 343      343      344      267929.8 522.5622 343.1507
posterior_for_Delphy                                               -225034. 0.660596 22.24553 -225034  -225082  -224994  123465.2 1134.003 NaN     
prior_for_Delphy                                                   43831.07 0.120308 4.227791 43831.1  43822.3  43839    113376.6 1234.910 43831.07
likelihood_really_logG                                             -268865. 0.551398 18.50076 -268865  -268903  -268831  124368.3 1125.769 NaN     
rootHeight                                                         6.292333 0.007402 0.289533 6.27009  5.75225  6.85765  91506.47 1530.055 6.285753
age(root)                                                          2016.334 0.007379 0.287835 2016.36  2015.73  2016.83  92008.92 1521.700 2016.334
treeLength                                                         45.86096 0.074487 2.430387 45.7465  41.2164  50.7936  131512.4 1064.613 45.79695
exponential.popSize                                                40.89070 0.70956  36.64546 30.2405  4.28653  105.608  52492.41 2667.242 31.36684
exponential.growthRate                                             0.511211 0.003507 0.16895  0.50382  0.19409  0.855637 60328.48 2320.794 NaN     
kappa                                                              1        0        0        1        1        1        NaN      NaN      1       
frequencies1                                                       0.359355 9.07E-8  2.33E-7  0.359355 0.359355 0.359355 21223296 6.596996 0.359355
frequencies2                                                       0.158973 NaN      NaN      0.158973 0.158973 0.158973 10000    14001    0.158973
frequencies3                                                       0.159095 6.25E-8  1.19E-7  0.159095 0.159095 0.159095 38644928 3.622985 0.159095
frequencies4                                                       0.322577 1.39E-7  2.75E-7  0.322577 0.322577 0.322577 35979140 3.891422 0.322577
apobec3.clock.rate                                                 0.000133 2.36E-7  1.06E-5  0.000133 0.000113 0.000154 69967.05 2001.084 0.000133
non_apobec3.clock.rate                                             6.26E-6  1.29E-8  9.39E-7  6.2E-6   4.48E-6  8.12E-6  26459.73 5291.436 6.19E-6 
age(OP415257|9000312|UK|2022-08)                                   0        0        0        0        0        0        NaN      NaN      NaN     
age(MK783032|3030|Nigeria_Rivers_State|2017-11)                    4.751062 0.000298 0.034395 4.75133  4.68493  4.81508  10497.63 13337.29 4.750938
age(NC_063383|MPXV-M5312_HM12_Rivers|Nigeria_Rivers_State|2018-08) 4.007184 0.000296 0.035034 4.00747  3.93872  4.07068  10000    14001    4.007031
treeLikelihood_really_logG                                         -268865. 0.551398 18.50076 -268865  -268903  -268831  124368.3 1125.769 NaN     
branchRates                                                        0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                                                         -94.7657 0.119311 4.102505 -94.7845 -102.872 -86.7057 118420.0 1182.316 NaN     
