replicate	num_mutations
sim_000	1162
sim_001	839
sim_002	980
sim_003	1423
sim_004	919
sim_005	961
sim_006	935
sim_007	888
sim_008	1128
sim_009	1437
sim_010	799
sim_011	1002
sim_012	853
sim_013	956
sim_014	937
sim_015	873
sim_016	888
sim_017	1229
sim_018	2692
sim_019	967
sim_020	1132
sim_021	1411
sim_022	911
sim_023	1025
sim_024	1270
sim_025	899
sim_026	1212
sim_027	820
sim_028	1137
sim_029	1014
sim_030	781
sim_031	1046
sim_032	790
sim_033	960
sim_034	1403
sim_035	1214
sim_036	1206
sim_037	756
sim_038	1500
sim_039	898
sim_040	913
sim_041	1223
sim_042	701
sim_043	988
sim_044	898
sim_045	1024
sim_046	878
sim_047	817
sim_048	750
sim_049	845
sim_050	1035
sim_051	1121
sim_052	925
sim_053	823
sim_054	964
sim_055	845
sim_056	795
sim_057	1047
sim_058	1188
sim_059	921
sim_060	1039
sim_061	1130
sim_062	790
sim_063	997
sim_064	865
sim_065	1212
sim_066	1068
sim_067	1299
sim_068	915
sim_069	709
sim_070	1095
sim_071	1331
sim_072	1231
sim_073	814
sim_074	1506
sim_075	938
sim_076	1245
sim_077	1024
sim_078	903
sim_079	1255
sim_080	943
sim_081	992
sim_082	1486
sim_083	1090
sim_084	1113
sim_085	1285
sim_086	743
sim_087	753
sim_088	874
sim_089	1035
sim_090	1732
sim_091	926
sim_092	609
sim_093	1367
sim_094	1006
sim_095	1211
sim_096	1075
sim_097	1033
sim_098	1561
sim_099	2703
sim_100	1909
sim_101	1298
sim_102	1044
sim_103	1052
sim_104	1190
sim_105	1010
sim_106	1008
sim_107	1070
sim_108	984
sim_109	1148
sim_110	1042
sim_111	832
sim_112	1074
sim_113	1107
sim_114	893
sim_115	1005
sim_116	902
sim_117	653
sim_118	1115
sim_119	1456
sim_120	901
sim_121	839
sim_122	794
sim_123	926
sim_124	799
sim_125	794
sim_126	1250
sim_127	901
sim_128	884
sim_129	1249
sim_130	1583
sim_131	947
sim_132	766
sim_133	1008
sim_134	676
sim_135	866
sim_136	938
sim_137	1015
sim_138	1041
sim_139	2675
sim_140	874
sim_141	996
sim_142	1174
sim_143	1110
sim_144	1028
sim_145	1206
sim_146	1105
sim_147	908
sim_148	1086
sim_149	944
sim_150	1081
sim_151	927
sim_152	1554
sim_153	908
sim_154	1185
sim_155	1297
sim_156	761
sim_157	1205
sim_158	1076
sim_159	973
sim_160	1279
sim_161	1270
sim_162	1250
sim_163	940
sim_164	1038
sim_165	1128
sim_166	1089
sim_167	740
sim_168	984
sim_169	1123
sim_170	1354
sim_171	847
sim_172	962
sim_173	849
sim_174	793
sim_175	801
sim_176	1128
sim_177	883
sim_178	1159
sim_179	1141
sim_180	912
sim_181	767
sim_182	989
sim_183	1065
sim_184	886
sim_185	835
sim_186	758
sim_187	1364
sim_188	1275
sim_189	872
sim_190	1043
sim_191	746
sim_192	1601
sim_193	764
sim_194	970
sim_195	925
sim_196	1375
sim_197	928
sim_198	1726
sim_199	809
