replicate	mu	alpha	n0	g	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.7917261055634808	0.37660485021398005	0.8815977175463623	0.9871611982881597	0.14407988587731813	0.29243937232524964	0.3024251069900143	0.7945791726105563	0.48216833095577744	0.23537803138373753
sim_001	0.7203994293865906	0.4194008559201141	0.7218259629101283	0.637660485021398	0.7075606276747504	0.18972895863052783	0.9215406562054208	0.14550641940085593	0.3566333808844508	0.8487874465049928
sim_002	0.0442225392296719	0.15691868758915833	0.3609129814550642	0.06847360912981455	0.024251069900142655	0.3723252496433666	0.4893009985734665	0.6975748930099858	0.3980028530670471	0.9015691868758916
sim_004	0.6248216833095578	0.1840228245363766	0.7831669044222539	0.3680456490727532	0.7945791726105563	0.8573466476462197	0.6790299572039943	0.28530670470756064	0.3238231098430813	0.8459343794579173
sim_005	0.29529243937232524	0.7189728958630528	0.6904422253922967	0.7289586305278174	0.6077032810271041	0.17261055634807418	0.3338088445078459	0.7960057061340942	0.9514978601997147	0.11697574893009986
sim_006	0.6205420827389444	0.9087018544935807	0.9700427960057061	0.9700427960057061	0.047075606276747506	0.8630527817403709	0.4322396576319544	0.21255349500713266	0.1754636233951498	0.6576319543509273
sim_007	0.23109843081312412	0.7731811697574893	0.1326676176890157	0.39942938659058486	0.6947218259629101	0.5221112696148359	0.6034236804564908	0.29814550641940085	0.7161198288159771	0.7303851640513552
sim_008	0.46219686162624823	0.3238231098430813	0.7731811697574893	0.7560627674750356	0.02710413694721826	0.9429386590584878	0.29814550641940085	0.38944365192582026	0.5221112696148359	0.02710413694721826
sim_009	0.6019971469329529	0.42653352353780316	0.2796005706134094	0.7489300998573466	0.1398002853067047	0.42368045649072755	0.14693295292439373	0.9500713266761769	0.6291012838801712	0.008559201141226819
sim_010	0.24821683309557774	0.03566333808844508	0.8516405135520685	0.6191155492154066	0.38659058487874465	0.5805991440798859	0.12268188302425106	0.41512125534950073	0.6776034236804565	0.8801711840228246
sim_011	0.7132667617689016	0.5463623395149786	0.28530670470756064	0.30813124108416545	0.6932952924393724	0.5620542082738944	0.47218259629101283	0.3124108416547789	0.7189728958630528	0.05848787446504993
sim_012	0.4921540656205421	0.637660485021398	0.8573466476462197	0.8801711840228246	0.1326676176890157	0.7560627674750356	0.2710413694721826	0.6932952924393724	0.4079885877318117	0.14978601997146934
sim_013	0.854493580599144	0.6576319543509273	0.18687589158345222	0.19828815977175462	0.6647646219686163	0.891583452211127	0.3124108416547789	0.33523537803138376	0.14122681883024252	0.46790299572039945
sim_014	0.9172610556348074	0.09557774607703282	0.5991440798858774	0.3338088445078459	0.920114122681883	0.7988587731811697	0.9714693295292439	0.738944365192582	0.06704707560627675	0.47360912981455067
