Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.946236559139785	186	0.950	0.9139784946236559	0.978494623655914
alpha	0.946236559139785	186	0.950	0.9139784946236559	0.978494623655914
n0	0.956989247311828	186	0.950	0.9139784946236559	0.978494623655914
g	0.956989247311828	186	0.950	0.9139784946236559	0.978494623655914
kappa	0.9408602150537635	186	0.950	0.9139784946236559	0.978494623655914
pi_A	0.9301075268817204	186	0.950	0.9139784946236559	0.978494623655914
pi_C	0.9623655913978495	186	0.950	0.9139784946236559	0.978494623655914
pi_G	0.9623655913978495	186	0.950	0.9139784946236559	0.978494623655914
pi_T	0.9354838709677419	186	0.950	0.9139784946236559	0.978494623655914
rootHeight	0.9731182795698925	186	0.950	0.9139784946236559	0.978494623655914
