bin_lo	bin_hi	total	true_hits	fraction
0	5	1225589	6093	0.004971
5	10	41071	2941	0.071608
10	15	19076	2303	0.120728
15	20	10462	1783	0.170426
20	25	6515	1453	0.223024
25	30	4311	1176	0.272791
30	35	2997	979	0.326660
35	40	2175	816	0.375172
40	45	1680	692	0.411905
45	50	1338	610	0.455904
50	55	1125	603	0.536000
55	60	886	519	0.585779
60	65	755	449	0.594702
65	70	702	478	0.680912
70	75	575	412	0.716522
75	80	545	411	0.754128
80	85	502	400	0.796813
85	90	455	401	0.881319
90	95	412	383	0.929612
95	100	13951	13926	0.998208
