# BEAST v10.5.0
# Generated Fri Oct 17 12:33:16 UTC 2025 [seed=1760704392119]
# -beagle -working beastX_run_alpha_a/h5n1-andersen-e756a15-ALL_full_dates_only.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
0	-644131.2727488574	-124917.76361045048	-519213.5091384069	141.26074493107484	1884.331035068925	2090.4029516649134	6.24524	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.833	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	0.001	0.0010000000000000026	-519213.5091384069	0.0	-124907.93969025114
200000	-226999.6108378409	-32276.136686651764	-194723.47415118915	688.5462522282426	1337.0455277717574	27360.473956119688	6.24524	16.726994270228268	16.719101741801197	17.146499644351355	16.77293523176683	16.533466890656143	16.8899742866995	16.96548117942613	16.69389348946836	15.886722372298836	15.823888735918043	15.106102777034245	14.677400059737021	13.445496869872361	12.930143860944323	12.431668520706648	12.474510568554418	12.420609789920793	12.182917555127466	11.264826329540552	11.148283199347931	10.694770599881238	10.71257721216272	8.629321554127854	1.833	21.28633664315748	0.3168658847505604	0.20295530592051578	0.2447314822271486	0.2354473271017752	0.14929787803961822	4.156789112178569E-4	4.1567891121785573E-4	-194723.47415118915	0.0	-32263.47327851503
400000	-181914.98473659763	-32062.796034894636	-149852.18870170298	675.7961819583574	1349.7955980416427	27931.688899684428	6.24524	5.559952986138739	5.852834579726874	6.52475315925532	7.472096042648071	7.380347589228047	7.3837924004500195	7.968918320775686	8.493972017941836	8.404775866587492	8.978293636091532	9.411369066740685	9.300353198464817	9.276359925579232	10.273559314953362	11.503603397659171	11.634273997028608	12.185468042439455	12.449081211865636	12.013589695225587	12.098327035136071	11.099789022174583	10.310023662980486	8.602867714645352	1.833	19.39591142523364	0.32929997050497267	0.20354517543830444	0.24291983866999295	0.22423501538672988	0.14349305447358748	1.4354975163187897E-4	1.4354975163187865E-4	-149852.18870170298	0.0	-32050.351166957305
600000	-159574.89897953297	-31699.130779383613	-127875.76820014937	664.3573781668422	1361.2344018331578	28197.976073927737	6.24524	4.622920489536281	4.796990248031577	5.747532545723299	6.420491781290193	6.732065714218166	6.946035022426997	7.328289139057932	7.901204635258334	7.706622796215925	8.260389808280713	8.726322488818708	9.599195491475982	10.077850946990797	10.930855874390742	11.252882432970393	11.228899683581202	11.754656091108124	11.684655742872518	11.959156569987398	11.280591752089046	11.300982379284111	10.635439275870983	8.543637939105535	1.833	18.83727707214561	0.31889461098515187	0.20374303982816677	0.2588087967961488	0.2185535523905326	0.14377283340716884	8.328424714403524E-5	8.328424714403478E-5	-127875.76820014937	0.0	-31686.751336901758
800000	-146717.39880433658	-31538.352748912937	-115179.04605542363	657.0404064091196	1368.5513735908803	29053.004134475876	6.24524	3.884299800925744	4.030387075113069	4.745047797431049	5.6050210448556586	6.074268232465776	6.696682898601275	7.1547634159166895	7.039926247127972	7.306368135608567	8.055934120892095	8.475162701108326	8.950347320683704	9.974974738357686	10.679555388872483	11.103767455282224	11.37180290232813	11.145078236635294	11.041148573091613	11.631324651485864	11.497171696609895	10.871231317377617	10.323252116286014	8.59865069106221	1.833	18.485362479886415	0.3196200195766273	0.20319931241288453	0.25228973037877606	0.22489093763171225	0.14320228253822942	5.4627444536670174E-5	5.462744453667024E-5	-115179.04605542363	0.0	-31526.01598621591
1000000	-137429.7932613486	-31311.047432824394	-106118.7458285242	651.1825686967647	1374.4092113032352	29397.587010628074	6.24524	4.280339439498979	3.7674585750291394	4.704624767804026	5.353285630859825	6.0152950912523595	6.339446234649881	5.832943433832579	7.106212597567953	7.180916934177481	8.266612400454262	8.80672119049976	9.193076165046032	9.167749894767317	10.341906938570146	11.053753732305108	11.120651665288845	11.079203205418759	11.376784253359357	12.166935363131653	11.258798816602278	10.699264714032822	10.009351427439444	8.631399036323582	1.833	18.436780661885656	0.3200036277328212	0.20346577397133453	0.25456184334420473	0.2219687549516397	0.14292376557668335	4.220808884064903E-5	4.220808884064912E-5	-106118.7458285242	0.0	-31298.71680661325
1200000	-130229.52445980189	-30984.62201350153	-99244.90244630036	643.5922664812538	1381.9995135187462	29476.533730883406	6.24524	3.1332952782048173	3.4233269540696933	4.180347001398444	5.084598961274435	5.817170656739531	5.541917068327048	6.341172155863232	6.786339820762314	7.209886799644327	8.081194776397703	8.228968939489622	8.058437182299981	8.535510639430742	9.608518664287214	10.098229982225075	10.555810787550712	11.751911299991134	12.058913483577992	11.501667205361406	11.228298746633753	11.14232845342296	9.843327027131593	8.623363206680892	1.833	17.798327275850056	0.32337928986694475	0.2001868520517651	0.2563896073885737	0.2200442506927167	0.14007045299128792	3.2871105861349706E-5	3.287110586134977E-5	-99244.90244630036	0.0	-30972.372265552538
1400000	-124090.74369122012	-30735.07500935738	-93355.66868186273	626.4819716415728	1399.109808358427	29620.479423362878	6.24524	2.7743942676887903	3.8537249381086602	3.915739862466415	4.8324054273405626	5.695646783514325	5.840234507645645	5.71206115874261	6.177312192817252	7.132267268959888	7.349159209774394	7.737403048120514	7.498006085376412	8.188003977637065	9.171444293255412	10.132469439677855	10.850658814333423	10.953675560235048	11.059859690366974	11.308210226267592	10.601616411323466	10.882143506190541	10.071333841320774	8.643521165048615	1.833	18.008165494146063	0.3269481712771881	0.20254635002135132	0.25160286556078837	0.21890261314067241	0.1390694190580029	2.7947528020804105E-5	2.7947528020804162E-5	-93355.66868186273	0.0	-30722.800401901754
1600000	-119328.27106422164	-30306.747591085954	-89021.52347313569	620.0683861503928	1405.5233938496071	29063.760426305707	6.24524	2.378408583478966	3.2554064026207157	3.948061344763781	4.8763791615453185	5.3418094521149495	5.5370319894049	5.122175134755404	6.316539565549885	6.748035457801255	7.004904340886273	7.701029240290402	7.545815108971699	8.248707437545047	9.60939321558356	10.472936015371806	10.671258953077995	11.319753077916133	11.505298484890353	11.425016491927245	11.006978780131739	10.494160022085694	10.064769694142427	8.60515682762154	1.833	17.130459303802233	0.32752868376561345	0.20471811569403273	0.2482017867760905	0.2195514137642635	0.14062395426320573	2.460151589403822E-5	2.460151589403832E-5	-89021.52347313569	0.0	-30294.581063993584
1800000	-115092.46750572539	-30005.404150126593	-85087.0633555988	618.6202815452244	1406.9714984547754	29111.35360701339	6.24524	2.474688850666033	2.8763983213796447	3.325992721014868	4.753825305256307	5.368744720624439	5.35880636178334	5.3340222663825285	5.827987561316069	6.483804250746342	7.165120881183497	8.095941491448569	7.326730340266751	8.055709434156723	8.83696203781009	10.27586460544217	11.192361062972346	11.386977074200153	11.427707350717878	11.112480519727232	10.679124703656697	10.5503359577601	9.74691522166458	8.645778286024889	1.833	18.993479196172043	0.32554642861169725	0.20413538998415512	0.24611845701894203	0.22419972438520563	0.1419570583590344	2.2112555093881286E-5	2.2112555093881384E-5	-85087.0633555988	0.0	-29993.008012484293
