item                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
joint                -66431.7 3.669538 93.82765 -66429.9 -66617.8 -66255.6 806985.6 653.7910 NaN     
prior                -4063.61 3.994669 93.73656 -4065.03 -4254.37 -3893.59 958182.6 550.6257 NaN     
likelihood           -62368.1 1.092855 40.77545 -62367.8 -62445.3 -62289.7 378994.3 1392.105 NaN     
rootHeight           1.610274 0.000735 0.033656 1.607933 1.546516 1.676532 251735.3 2095.852 1.609925
age(root)            2023.981 0.000735 0.033656 2023.983 2023.915 2024.045 251740.1 2095.812 2023.981
treeLength           101.9142 0.070884 1.534494 101.9551 98.90091 104.7874 1125812. 468.6392 101.9027
skygrid.precision    6.24524  NaN      NaN      6.24524  6.24524  6.24524  200000   2638     6.24524 
skygrid.logPopSize1  -1.00064 0.003278 0.129694 -0.99663 -1.24137 -0.73794 337123.9 1565.003 NaN     
skygrid.logPopSize2  -0.98123 0.002858 0.13489  -0.98168 -1.24542 -0.71413 236891.6 2227.178 NaN     
skygrid.logPopSize3  -0.50546 0.003057 0.125342 -0.50842 -0.75456 -0.25230 313868.4 1680.958 NaN     
skygrid.logPopSize4  -0.15551 0.002403 0.102722 -0.15760 -0.34714 0.046815 288759.6 1827.125 NaN     
skygrid.logPopSize5  -0.54681 0.002699 0.120691 -0.54508 -0.78270 -0.30940 263775.5 2000.185 NaN     
skygrid.logPopSize6  -0.06221 0.003084 0.148084 -0.06464 -0.34749 0.234736 228885.7 2305.080 NaN     
skygrid.logPopSize7  0.599992 0.002564 0.13095  0.599177 0.359824 0.860863 202343.9 2607.441 0.584883
skygrid.logPopSize8  0.860397 0.002338 0.113524 0.860894 0.618608 1.064503 223749.7 2357.991 0.852759
skygrid.logPopSize9  0.956633 0.002038 0.067035 0.955501 0.822752 1.084905 487530.9 1082.187 0.954276
skygrid.logPopSize10 0.683994 0.002373 0.078495 0.684434 0.532733 0.83803  482070.3 1094.446 0.679443
skygrid.logPopSize11 0.02303  0.002934 0.107208 0.023654 -0.19936 0.218582 395085.7 1335.406 NaN     
skygrid.logPopSize12 -0.88730 0.003258 0.121328 -0.89085 -1.12038 -0.65011 380333.1 1387.204 NaN     
skygrid.logPopSize13 0.15475  0.002836 0.135018 0.154015 -0.10857 0.41245  232690.9 2267.385 NaN     
skygrid.logPopSize14 0.55775  0.003416 0.108028 0.558434 0.350117 0.771246 527537.4 1000.118 0.546731
skygrid.logPopSize15 0.435122 0.002868 0.102782 0.43146  0.247743 0.634942 410774.6 1284.402 0.42203 
skygrid.logPopSize16 0.264214 0.002645 0.111256 0.263623 0.055325 0.496297 298181.3 1769.393 NaN     
skygrid.logPopSize17 0.163658 0.003684 0.116699 0.163189 -0.05706 0.401805 525716.7 1003.582 NaN     
skygrid.logPopSize18 -0.47400 0.008622 0.263214 -0.47212 -1.00819 0.006467 566110.8 931.9730 NaN     
skygrid.logPopSize19 -1.34367 0.007708 0.369944 -1.35328 -2.02148 -0.58006 229030.1 2303.626 NaN     
skygrid.logPopSize20 -1.50401 0.010352 0.531699 -1.50399 -2.51146 -0.43537 200000   2638     NaN     
skygrid.logPopSize21 -1.52474 0.013506 0.661782 -1.50600 -2.79392 -0.22099 219734.1 2401.083 NaN     
skygrid.logPopSize22 -1.52906 0.015084 0.774746 -1.51181 -3.03535 -0.00448 200000   2638     NaN     
skygrid.logPopSize23 -1.53626 0.01695  0.870581 -1.50315 -3.20356 0.227459 200000   2638     NaN     
skygrid.cutOff       1.833    8.99E-8  2.79E-7  1.833    1.833    1.833    54750808 9.636387 1.833   
kappa                16.89627 0.017093 0.829922 16.86132 15.26108 18.48098 223816.2 2357.290 16.87596
frequencies1         0.327127 7.72E-5  0.003759 0.327091 0.320491 0.334839 222585.2 2370.327 0.327105
frequencies2         0.204179 6.35E-5  0.00311  0.204144 0.198172 0.210319 220075.0 2397.364 0.204156
frequencies3         0.245808 6.22E-5  0.003188 0.245849 0.23947  0.251693 200604.2 2630.053 0.245788
frequencies4         0.222886 6.57E-5  0.003353 0.222895 0.216108 0.229333 202435.2 2606.265 0.222861
alpha                0.328918 0.000361 0.018547 0.328143 0.294331 0.36462  200000   2638     0.328398
clock.rate           0.003286 2.57E-6  7.9E-5   0.003284 0.003129 0.003438 560023.9 942.1025 0.003285
meanRate             0.003286 2.57E-6  7.9E-5   0.003284 0.003129 0.003438 560023.9 942.1025 0.003285
treeLikelihood       -62368.1 1.092855 40.77545 -62367.8 -62445.3 -62289.7 378994.3 1392.105 NaN     
branchRates          0        0        0        0        0        0        NaN      NaN      NaN     
skygrid              -4051.29 3.994553 93.73835 -4052.66 -4242.09 -3881.47 958090.3 550.6787 NaN     
