Parameter	Coverage	N	Expected	Binom_2.5%	Binom_97.5%
mu	0.95	189	0.950	0.915	0.979
n0	0.94	189	0.950	0.915	0.979
g	0.94	189	0.950	0.915	0.979
kappa	0.95	189	0.950	0.915	0.979
pi_A	0.96	189	0.950	0.915	0.979
pi_C	0.93	189	0.950	0.915	0.979
pi_G	0.92	189	0.950	0.915	0.979
pi_T	0.93	189	0.950	0.915	0.979
rootHeight	0.94	189	0.950	0.915	0.979
