bin_lo	bin_hi	total	true_hits	fraction
0	5	2077799	6276	0.0030205039082221137
5	10	27710	1990	0.07181522915914833
10	15	13001	1575	0.12114452734405046
15	20	7787	1369	0.17580583022987029
20	25	5116	1183	0.2312353401094605
25	30	3778	1051	0.27818951826363153
30	35	2635	831	0.31537001897533207
35	40	2024	764	0.3774703557312253
40	45	1478	628	0.4248985115020298
45	50	1114	527	0.4730700179533214
50	55	821	420	0.5115712545676004
55	60	708	409	0.577683615819209
60	65	581	345	0.5938037865748709
65	70	503	327	0.6500994035785288
70	75	399	276	0.6917293233082706
75	80	347	264	0.760806916426513
80	85	346	284	0.8208092485549133
85	90	293	257	0.8771331058020477
90	95	295	284	0.9627118644067797
95	100	18378	18362	0.9991293938404614
