replicate	mu	n0	g	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.10128388017118402	0.9971469329529244	0.978601997146933	0.017118402282453638	0.30527817403708984	0.9743223965763196	0.7089871611982882	0.25677603423680456	0.5734664764621968
sim_001	0.2867332382310984	0.4322396576319544	0.11269614835948645	0.25392296718972895	0.05848787446504993	0.37660485021398005	0.9714693295292439	0.7660485021398002	0.7574893009985735
sim_002	0.3680456490727532	0.20399429386590584	0.1326676176890157	0.9572039942938659	0.9072753209700428	0.14550641940085593	0.7432239657631954	0.18544935805991442	0.39229671897289586
sim_003	0.19115549215406563	0.9386590584878745	0.6062767475035663	0.4664764621968616	0.24536376604850213	0.5620542082738944	0.4864479315263909	0.7845934379457917	0.5392296718972895
sim_004	0.11554921540656206	0.49358059914407987	0.5449358059914408	0.7874465049928673	0.7731811697574893	0.6918687589158345	0.07560627674750357	0.340941512125535	0.9172610556348074
sim_005	0.738944365192582	0.7189728958630528	0.884450784593438	0.47075606276747506	0.7432239657631954	0.5292439372325249	0.35235378031383735	0.41512125534950073	0.04992867332382311
sim_006	0.2796005706134094	0.6647646219686163	0.2710413694721826	0.7318116975748931	0.6604850213980028	0.42082738944365194	0.3209700427960057	0.6333808844507846	0.8758915834522111
sim_008	0.43937232524964337	0.017118402282453638	0.0014265335235378032	0.26105563480741795	0.7446504992867332	0.37945791726105566	0.24393723252496433	0.6504992867332382	0.7717546362339515
sim_010	0.8416547788873039	0.44650499286733236	0.30099857346647646	0.8616262482168331	0.39229671897289586	0.3680456490727532	0.9828815977175464	0.35235378031383735	0.14835948644793154
sim_011	0.8673323823109843	0.6961483594864479	0.5905848787446505	0.20399429386590584	0.47218259629101283	0.4921540656205421	0.18830242510699002	0.7703281027104137	0.37375178316690444
sim_012	0.30527817403708984	0.6562054208273894	0.9372325249643366	0.7960057061340942	0.5463623395149786	0.4450784593437946	0.5249643366619116	0.44365192582025675	0.17403708987161198
sim_013	0.5378031383737518	0.42796005706134094	0.5606276747503567	0.9229671897289586	0.9044222539229672	0.3124108416547789	0.268188302425107	0.07988587731811697	0.6890156918687589
sim_014	0.6034236804564908	0.16975748930099857	0.24536376604850213	0.3223965763195435	0.369472182596291	0.5706134094151213	0.6590584878744651	0.44365192582025675	0.884450784593438
sim_015	0.06704707560627675	0.07275320970042796	0.028530670470756064	0.33666191155492153	0.1797432239657632	0.8145506419400856	0.34236804564907275	0.5777460770328102	0.9300998573466477
sim_016	0.29814550641940085	0.44365192582025675	0.4507845934379458	0.009985734664764621	0.7888730385164051	0.14407988587731813	0.3024251069900143	0.8202567760342369	0.7232524964336662
sim_017	0.3908701854493581	0.28815977175463625	0.5292439372325249	0.854493580599144	0.18972895863052783	0.08131241084165478	0.9843081312410842	0.1312410841654779	0.8758915834522111
sim_018	0.19543509272467904	0.3152639087018545	0.6205420827389444	0.7674750356633381	0.7047075606276747	0.7318116975748931	0.2624821683309558	0.4165477888730385	0.3024251069900143
sim_019	0.4222539229671897	0.8316690442225392	0.49072753209700426	0.0442225392296719	0.07417974322396577	0.8174037089871612	0.6861626248216833	0.746077032810271	0.5634807417974322
sim_020	0.6990014265335235	0.9814550641940085	0.9985734664764622	0.9015691868758916	0.5406562054208274	0.26961483594864477	0.9900142653352354	0.11697574893009986	0.18830242510699002
sim_021	0.42653352353780316	0.6005706134094151	0.4051355206847361	0.5663338088445078	0.8644793152639088	0.8815977175463623	0.6291012838801712	0.005706134094151213	0.06419400855920114
