replicate	mu	n0	g	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.000659862542012803	6.082165444687756	3.1260164912290476	6.535351055122428	0.40883410437271017	0.020623754375273955	0.34234588695345686	0.22819625429855916	1.2562268683980122
sim_001	0.000686327594077705	3.6230296308633863	0.4288660326710866	1.94531637059113	0.291915921186765	0.31894313501260096	0.383589771625817	0.0055511721748171	2.971666891422799
sim_002	0.0007948137652525178	2.7191118762535216	0.33701842831215245	1.311147728075357	0.4284929267835539	0.12798548429885687	0.05201616272778321	0.39150542618980616	3.053655299059736
sim_003	0.0024872385280800204	3.0294198240677583	1.7787332006803156	3.3538982504516786	0.2837560436892737	0.03068710217838506	0.46685188560246305	0.2187049685298781	1.2929204169328898
sim_004	0.0008303796647578258	3.043190838777806	1.0678654181719205	1.9586564505297663	0.8326224528256586	0.04493041939924005	0.04120808154280613	0.08123904623229516	1.901903499988276
sim_005	0.001304531534253617	2.999169169474072	1.305231183352849	15.697523061468198	0.06730289714625723	0.6599129221659387	0.23924986769054943	0.03353431299725472	1.7743119362896402
sim_006	0.0007408749516418955	2.7302814962045563	0.42402206065676284	8.632332626187992	0.17389642901471486	0.25388203516182056	0.3134295771161683	0.25879195870729627	2.869191549855949
sim_008	0.0020263815974464615	4.443255620676985	0.463925860649999	0.2570603806302156	0.2906824795957074	0.028770683997691428	0.6535773520620629	0.026969484344538212	2.513656151644042
sim_010	8.031386527645158e-05	2.620774626102649	0.18929288730928384	1.726278277879746	0.1948066036730311	0.5060776361804622	0.03894062960546153	0.2601751305410451	2.5702747040760787
sim_011	0.0004280498840272269	2.045498456437984	0.620875803219715	32.63888226205242	0.1549912005521712	0.4639082122687315	0.10429451342209599	0.2768060737570013	1.7797398612879252
sim_012	0.00011346627248676934	2.427875119190443	4.110168037665116	0.5670292496540571	0.10889805060947431	0.0076492669939068015	0.18777344487410533	0.6956792375225135	1.0394804522060395
sim_013	4.605773599385459e-05	2.4425751025784983	0.4700429444757383	2.5969297949884904	0.4360663549985871	0.44673375267593296	0.08646549776713712	0.03073439455834285	2.8223844109312015
sim_014	0.0029710527123341774	1.6798168363556933	1.5598304616075895	0.6608837472592041	0.08769880315869215	0.8149428606833656	0.01809109845539906	0.07926723770254321	1.1681850822731221
sim_015	0.0005926864442294137	3.744145837792038	0.03194383601186386	0.23824568869929252	0.1614055321261604	0.34009691940238895	0.16183774721436553	0.3366598012570851	6.036246680384493
sim_016	0.00013165713709402475	3.245146008131657	0.26859504991619243	2.915787344555822	0.11262708660383679	0.1690544150462338	0.32164531308635963	0.3966731852635698	3.9680884149580504
sim_017	6.890656131333118e-05	2.4353258291179753	2.1143967015539866	9.784729954760405	0.040109708103785544	0.5544974784990123	0.37624166815073784	0.02915114524646429	1.5901522148363052
sim_018	0.000886749391320339	3.8922066915678286	0.30849533613008767	1.4540792629148425	0.07691831584261828	0.2834463025909313	0.28426305681789893	0.3553723247485514	4.593677243206511
