bin_lo	bin_hi	total	true_hits	fraction
0	5	116074	1223	0.010536
5	10	18365	1384	0.075361
10	15	12380	1480	0.119548
15	20	8366	1470	0.175711
20	25	5834	1299	0.222660
25	30	4309	1142	0.265027
30	35	3088	989	0.320272
35	40	2334	933	0.399743
40	45	1672	696	0.416268
45	50	1212	595	0.490924
50	55	934	490	0.524625
55	60	750	441	0.588000
60	65	550	337	0.612727
65	70	459	309	0.673203
70	75	396	289	0.729798
75	80	315	247	0.784127
80	85	232	192	0.827586
85	90	220	189	0.859091
90	95	170	156	0.917647
95	100	23181	23165	0.999310
