sample	filename	numMuts.mean	numMuts.stderr	numMuts.stddev	numMuts.median	numMuts.95%HPDlo	numMuts.95%HPDup	numMuts.ACT	numMuts.ESS	numMuts.geometric-mean	posterior_for_Delphy.mean	posterior_for_Delphy.stderr	posterior_for_Delphy.stddev	posterior_for_Delphy.median	posterior_for_Delphy.95%HPDlo	posterior_for_Delphy.95%HPDup	posterior_for_Delphy.ACT	posterior_for_Delphy.ESS	posterior_for_Delphy.geometric-mean	prior_for_Delphy.mean	prior_for_Delphy.stderr	prior_for_Delphy.stddev	prior_for_Delphy.median	prior_for_Delphy.95%HPDlo	prior_for_Delphy.95%HPDup	prior_for_Delphy.ACT	prior_for_Delphy.ESS	prior_for_Delphy.geometric-mean	likelihood_really_logG.mean	likelihood_really_logG.stderr	likelihood_really_logG.stddev	likelihood_really_logG.median	likelihood_really_logG.95%HPDlo	likelihood_really_logG.95%HPDup	likelihood_really_logG.ACT	likelihood_really_logG.ESS	likelihood_really_logG.geometric-mean	rootHeight.mean	rootHeight.stderr	rootHeight.stddev	rootHeight.median	rootHeight.95%HPDlo	rootHeight.95%HPDup	rootHeight.ACT	rootHeight.ESS	rootHeight.geometric-mean	age(root).mean	age(root).stderr	age(root).stddev	age(root).median	age(root).95%HPDlo	age(root).95%HPDup	age(root).ACT	age(root).ESS	age(root).geometric-mean	treeLength.mean	treeLength.stderr	treeLength.stddev	treeLength.median	treeLength.95%HPDlo	treeLength.95%HPDup	treeLength.ACT	treeLength.ESS	treeLength.geometric-mean	kappa.mean	kappa.stderr	kappa.stddev	kappa.median	kappa.95%HPDlo	kappa.95%HPDup	kappa.ACT	kappa.ESS	kappa.geometric-mean	frequencies1.mean	frequencies1.stderr	frequencies1.stddev	frequencies1.median	frequencies1.95%HPDlo	frequencies1.95%HPDup	frequencies1.ACT	frequencies1.ESS	frequencies1.geometric-mean	frequencies2.mean	frequencies2.stderr	frequencies2.stddev	frequencies2.median	frequencies2.95%HPDlo	frequencies2.95%HPDup	frequencies2.ACT	frequencies2.ESS	frequencies2.geometric-mean	frequencies3.mean	frequencies3.stderr	frequencies3.stddev	frequencies3.median	frequencies3.95%HPDlo	frequencies3.95%HPDup	frequencies3.ACT	frequencies3.ESS	frequencies3.geometric-mean	frequencies4.mean	frequencies4.stderr	frequencies4.stddev	frequencies4.median	frequencies4.95%HPDlo	frequencies4.95%HPDup	frequencies4.ACT	frequencies4.ESS	frequencies4.geometric-mean	meanRate.mean	meanRate.stderr	meanRate.stddev	meanRate.median	meanRate.95%HPDlo	meanRate.95%HPDup	meanRate.ACT	meanRate.ESS	meanRate.geometric-mean	treeLikelihood_really_logG.mean	treeLikelihood_really_logG.stderr	treeLikelihood_really_logG.stddev	treeLikelihood_really_logG.median	treeLikelihood_really_logG.95%HPDlo	treeLikelihood_really_logG.95%HPDup	treeLikelihood_really_logG.ACT	treeLikelihood_really_logG.ESS	treeLikelihood_really_logG.geometric-mean	branchRates.mean	branchRates.stderr	branchRates.stddev	branchRates.median	branchRates.95%HPDlo	branchRates.95%HPDup	branchRates.ACT	branchRates.ESS	branchRates.geometric-mean	coalescent.mean	coalescent.stderr	coalescent.stddev	coalescent.median	coalescent.95%HPDlo	coalescent.95%HPDup	coalescent.ACT	coalescent.ESS	coalescent.geometric-mean	
0	sims/sim_000/delphy-digested.log	810.3894436519258	0.030618403970190607	0.810665251449604	810.0	810.0	812.0	500000.00000000006	700.9999999999999	810.3890387962281	-36275.13651925819	1.0212570541862678	25.801161822877155	-36275.0	-36327.0	-36225.3	549135.6458717535	638.2758115138945	NaN	5322.539671897293	0.29190354538755847	7.456985161010926	5323.01	5309.51	5337.47	537081.513797664	652.6011247745993	5322.534446787063	-41597.674893009986	0.8184109113166792	20.777106521666436	-41595.7	-41635.7	-41555.8	543826.9319208363	644.5065137947628	NaN	2.8253845363766033	0.006636202287771134	0.15689597811301642	2.81918	2.52603	3.12603	627052.1079917963	558.9647104807844	2.8210385493674073	2023.1690870185457	0.0066315303360936365	0.15696574726209717	2023.18	2022.86	2023.46	625612.9876133841	560.2505173959108	2023.1690809294846	26.419006704707563	0.024788284968446584	0.5892192907644271	26.3715	25.2035	27.513	620336.1190625995	565.0162697758863	26.412456588755585	1.01863909272468	0.0027596501907237478	0.07306561497577746	1.0155	0.872316	1.15057	500000.0	701.0	1.0160285905450495	0.5692131312410841	1.0467404040841924E-4	0.0027121213636056227	0.56912	0.564246	0.574237	522092.8664839523	671.3365044813792	0.5692066709720874	0.12019795007132668	7.345401244672597E-5	0.0018849866579771907	0.120183	0.116588	0.123767	532233.8713481954	658.5450849119253	0.12018319301882867	0.29598132239657615	1.0219824211739865E-4	0.002584753646135106	0.295951	0.291168	0.300867	547944.4853287458	639.663340693562	0.29597003661390264	0.014607616833095563	2.648457949685038E-5	6.564675669229376E-4	0.014622	0.0133258	0.0158755	570489.4759769026	614.384690269362	0.014592806441424471	0.0010000000000000007	1.0356191938126475E-10	1.1641532182693481E-10	0.001	0.001	0.001	2.761933875481095E8	1.2690383470493016	9.99999999999938E-4	-41597.674893009986	0.8184109113166792	20.777106521666436	-41595.7	-41635.7	-41555.8	543826.9319208363	644.5065137947628	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-208.497203994294	0.29197995869939547	7.4577411758682155	-208.025	-221.557	-193.552	537253.7977047937	652.3918518535818	NaN	
1	sims/sim_001/delphy-digested.log	841.5620542082739	0.06723545019253811	0.9100411819070926	841.0	841.0	843.0	1913209.659966576	183.19999492691423	841.5615627678939	-41715.7132667618	1.2502649673839485	27.251656617546207	-41716.0	-41769.6	-41663.8	737745.0960640279	475.0963467869404	NaN	5325.066733238236	0.2642585967109273	6.996617522832858	5324.87	5312.78	5338.91	500000.0	701.0	5325.062136641434	-47040.77988587734	1.0838382625212963	22.380485118077388	-47039.7	-47087.6	-47001.8	822011.6785415579	426.3929687980461	NaN	2.772915435092723	0.005234856053779055	0.13420064765846115	2.77534	2.52603	3.04658	533320.511522262	657.2032997560217	2.769684571524057	2023.2216119828831	0.005221658925635057	0.13418037207538488	2023.22	2022.94	2023.46	530795.2568395894	660.3299398093978	2023.221607533424	27.33788074179743	0.024871441733580087	0.6202119501386858	27.3165	26.1724	28.544	563650.2245886866	621.8395464239741	27.3308508699909	6.311481440798859	0.022007805445861547	0.582687561117068	6.27929	5.23964	7.49259	500000.0	701.0	6.284847191635621	0.060112871897289595	5.00745035389844E-5	0.0013257928153293087	0.0601095	0.0573998	0.0625619	500000.0	701.0	0.06009824148976883	0.49943447218259696	1.0653323286094752E-4	0.0027778597776924566	0.499506	0.493746	0.504713	515510.5957677351	679.9084303553653	0.49942674818467386	0.16920236947218287	8.193813291734324E-5	0.0021694271584483354	0.169144	0.165297	0.173183	500000.0	701.0	0.16918848085520818	0.27125028815977187	9.83891930214117E-5	0.0026049920816972093	0.271157	0.26594	0.276195	500000.0	701.0	0.27123778197119097	0.0010000000000000007	1.0356191938126475E-10	1.1641532182693481E-10	0.001	0.001	0.001	2.761933875481095E8	1.2690383470493016	9.99999999999938E-4	-47040.77988587734	1.0838382625212963	22.380485118077388	-47039.7	-47087.6	-47001.8	822011.6785415579	426.3929687980461	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-204.23186875891597	0.2640078747843002	6.989979307668316	-204.412	-216.582	-190.353	499999.99999999994	701.0000000000001	NaN	
2	sims/sim_002/delphy-digested.log	751.4607703281027	0.05058997871902376	0.7686540694339152	751.0	751.0	753.0	1518291.4770429851	230.8515889733054	751.460377681419	-34300.570756062676	1.0702665196978256	26.73648487908707	-34298.3	-34356.6	-34256.0	561646.7945416069	624.0576878678062	NaN	5328.084151212555	0.32946917741286624	7.829759391469081	5328.4	5313.33	5343.5	620612.8631007653	564.7643174019927	5328.078397767366	-39628.65463623395	0.866101552623117	20.95591243946447	-39626.7	-39670.7	-39591.5	598704.4775813139	585.4307310611291	NaN	2.3029137660485035	0.005026022153323666	0.1330709960084324	2.29315	2.05479	2.57534	500000.0	701.0	2.29910900928094	2023.6915549215391	0.005029580101544173	0.13316519447499037	2023.7	2023.4	2023.92	500000.00000000006	700.9999999999999	2023.6915505401662	24.368657489300986	0.023666101225325788	0.5989121600007534	24.3362	23.3405	25.6299	547287.080476726	640.4317085188445	24.36131308083759	16.30394643366621	0.12585450190486935	3.1253038058758307	15.9581	9.87603	21.8286	568382.9621498416	616.6616935072702	16.01317341722755	0.005518513395149784	1.5980063605459766E-5	4.2309462938804743E-4	0.00551649	0.00472017	0.00632968	500000.0	701.0	0.005502328049277453	0.5655241797432237	1.0476354652193E-4	0.0027737620439682365	0.565727	0.560414	0.570915	500000.0	701.0	0.5655173734274572	0.1284453309557775	7.614249616124851E-5	0.001951132813066139	0.128449	0.124762	0.131841	533787.7182948092	656.6280713982633	0.12843052253518203	0.3005119386590589	9.884635334693661E-5	0.0026170960434320216	0.30032	0.295144	0.304935	500000.0	701.0	0.3005005555255341	0.0010000000000000007	1.0356191938126475E-10	1.1641532182693481E-10	0.001	0.001	0.001	2.761933875481095E8	1.2690383470493016	9.99999999999938E-4	-39628.65463623395	0.866101552623117	20.95591243946447	-39626.7	-39670.7	-39591.5	598704.4775813139	585.4307310611291	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-199.48903138373765	0.29514144162984357	7.81428421979365	-199.148	-215.418	-185.336	500000.00000000006	700.9999999999999	NaN	
3	sims/sim_003/delphy-digested.log	817.8530670470756	0.05285594478289645	1.0601495775574676	817.0	817.0	820.0	871247.2359338676	402.29682866575524	817.852380664665	-45406.90499286737	1.281236489268687	30.55875914444917	-45405.1	-45466.3	-45352.2	616134.0196227961	568.8697407336473	NaN	5345.910870185449	0.2765080230124907	7.3209382902156275	5346.14	5331.45	5359.41	500000.00000000006	700.9999999999999	5345.905856199	-50752.81526390871	1.1031106167369518	25.911673922512488	-50751.1	-50805.4	-50708.6	635236.1597153993	551.7633003716795	NaN	4.318851269614838	0.008335053828846186	0.22068225744986736	4.31781	3.92603	4.76438	500000.0	701.0	4.3132113667122365	2021.6757346647682	0.00834673733305031	0.22099159491524248	2021.68	2021.23	2022.07	500000.0	701.0	2021.6757225862498	27.461502567760355	0.02588705277340157	0.6853960828647246	27.4504	26.1693	28.7294	500000.0	701.0	27.452969977719803	0.7663787104136955	0.0024794083163152446	0.06152294816262591	0.760097	0.652244	0.880397	569258.9302007386	615.7127827162986	0.7639445355387644	0.3367079129814551	9.930229170456046E-5	0.0026291676518581425	0.336574	0.33182	0.341879	500000.0	701.0	0.3366976506561703	0.0884816539229671	6.394439645766976E-5	0.0016554729324465846	0.0884882	0.0852826	0.0916819	522936.359270079	670.2536432716827	0.08846615635737778	0.2363979800285306	8.820165470668842E-5	0.0023352626954995467	0.23623	0.231977	0.240744	500000.0	701.0	0.23638644503160655	0.33841241084165474	1.0054999263809665E-4	0.0026497005616923325	0.338404	0.333593	0.343802	504729.2957072713	694.4316547127473	0.33840203969518734	0.0010000000000000007	1.0356191938126475E-10	1.1641532182693481E-10	0.001	0.001	0.001	2.761933875481095E8	1.2690383470493016	9.99999999999938E-4	-50752.81526390871	1.1031106167369518	25.911673922512488	-50751.1	-50805.4	-50708.6	635236.1597153993	551.7633003716795	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-185.20527674750338	0.2765209787669142	7.321281311386189	-184.963	-199.677	-171.697	500000.0	701.0	NaN	
4	sims/sim_004/delphy-digested.log	670.3723252496434	0.031473269668574604	0.7044013958338262	670.0	670.0	672.0	699731.3503975502	500.906526198754	670.3719556630596	-35185.69115549217	0.9529380403452734	25.091633656379862	-35184.1	-35234.9	-35140.1	505544.598042266	693.3117302752714	NaN	5343.868031383737	0.2829991437366196	7.40557440234574	5344.24	5328.75	5357.15	511847.7118166779	684.7739902088967	5343.862899024934	-40529.56105563484	0.7435356494745338	19.43443730502731	-40528.4	-40569.6	-40495.6	513035.8012984021	683.1881890366072	NaN	2.303855905848788	0.004999008528044737	0.1323557723361093	2.30137	2.04658	2.58356	500000.00000000006	700.9999999999999	2.300086806512155	2023.690741797432	0.005000689904596245	0.1324002884821913	2023.69	2023.4	2023.93	499999.99999999994	701.0000000000001	2023.6907374662305	23.076329386590626	0.021229187233323798	0.5620725503008339	23.0661	22.144	24.2996	499999.99999999994	701.0000000000001	23.069496717701234	3.1509585877318096	0.01082170890705686	0.2760161453497614	3.13927	2.63413	3.69588	538779.1051067105	650.5449017563145	3.1390635811118446	0.5943827660485027	1.0809255479138343E-4	0.002861902213781115	0.594462	0.588833	0.599921	500000.00000000006	700.9999999999999	0.5943758736890781	0.025398085592011413	3.344406952756863E-5	8.854787159396384E-4	0.0253346	0.0238725	0.0272796	500000.0	701.0	0.025382703297515585	0.2116944022824535	8.694169905674997E-5	0.0023019035999475982	0.211682	0.207521	0.216491	500000.0	701.0	0.21168188801091178	0.16852477746077016	8.271035512941151E-5	0.002189872826168201	0.168452	0.164584	0.172906	500000.0	701.0	0.16851055525034667	0.0010000000000000007	1.0356191938126475E-10	1.1641532182693481E-10	0.001	0.001	0.001	2.761933875481095E8	1.2690383470493016	9.99999999999938E-4	-40529.56105563484	0.7435356494745338	19.43443730502731	-40528.4	-40569.6	-40495.6	513035.8012984021	683.1881890366072	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-186.3430998573466	0.2828955611272342	7.406071879630581	-185.939	-201.494	-173.081	511404.3795014865	685.3676152356477	NaN	
5	sims/sim_005/delphy-digested.log	807.3937232524964	0.03662396013383628	0.7394839376230502	807.0	807.0	809.0	859728.1306431611	407.68702047447437	807.3933850565189	-44721.524964336684	1.2641883202039654	27.923473741457585	-44720.8	-44776.6	-44667.6	718410.515296784	487.8826138217148	NaN	5320.041226818835	0.3040365610375699	8.049795000578829	5320.4	5304.84	5335.65	500000.0	701.0	5320.035136640389	-50041.566619115605	1.0267951797348835	22.1736768833131	-50040.2	-50084.2	-49997.4	751588.6894405441	466.3454957802781	NaN	2.9754282738944364	0.007434728584492605	0.15896005270080543	2.9726	2.6411	3.26575	766729.6592917525	457.13635275797947	2.971184308907113	2023.0190870185425	0.007432782878484996	0.15894005588868293	2023.02	2022.7	2023.32	766521.2333533282	457.26065338941095	2023.0190807749152	27.010060912981455	0.0295437533728393	0.6407392822139198	26.9818	25.8709	28.3427	745172.2267988606	470.3610620402364	27.002454128854293	1.5952719115549223	0.004192740172656671	0.11100868515094606	1.59641	1.37802	1.80221	500000.0	701.0	1.5914015173495277	0.24010786162624825	1.0380099459011975E-4	0.0023596697832387924	0.240122	0.23466	0.243786	678248.1057374105	516.7725453784003	0.24009626174333215	0.07502250413694708	5.53354544814698E-5	0.0014650838810090626	0.0750528	0.0723043	0.0779062	500000.0	701.0	0.07500817132459908	0.3437707004279599	9.879541997036474E-5	0.0026157475107483324	0.343959	0.33825	0.348586	500000.0	701.0	0.34376073840007065	0.34109894721825973	9.603417080823447E-5	0.0025426395607604656	0.34111	0.335991	0.345725	500000.0	701.0	0.3410894695696971	0.0010000000000000007	1.0356191938126475E-10	1.1641532182693481E-10	0.001	0.001	0.001	2.761933875481095E8	1.2690383470493016	9.99999999999938E-4	-50041.566619115605	1.0267951797348835	22.1736768833131	-50040.2	-50084.2	-49997.4	751588.6894405441	466.3454957802781	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-210.7651398002853	0.3039808588709177	8.048320207006018	-210.408	-225.907	-195.101	500000.0	701.0	NaN	
6	sims/sim_006/delphy-digested.log	866.6833095577746	0.04891066347306466	0.9597422397606361	866.0	866.0	868.0	910302.8703158459	385.0366855136772	866.68277870649	-44036.74636233953	1.2942868080234289	30.13942685670147	-44036.2	-44093.6	-43979.2	646366.8770050923	542.2616976043446	NaN	5317.730898716116	0.34975756363824373	8.401340931318494	5317.76	5301.41	5334.9	607470.27872945	576.9829607681971	5317.724260709123	-49354.47860199722	1.075672824011794	24.48476700265091	-49353.7	-49400.3	-49309.1	676482.341127934	518.1214330230605	NaN	3.4969732239657643	0.007316909046183247	0.19140086574180243	3.49041	3.14795	3.86849	512218.8298174394	684.2778507867862	3.4917611147080656	2022.4976319543473	0.007335065996956534	0.19136228105041136	2022.5	2022.13	2022.85	514971.7406731635	680.6198715716546	2022.4976229012216	27.810367617689	0.027545116697648947	0.6726438336977749	27.7852	26.493	29.0238	587769.3359301848	596.3223641895337	27.802243424730364	2.4957352353780315	0.0068482277423730295	0.1804471779941697	2.48574	2.14287	2.81584	504828.915691371	694.2946196336334	2.4892656564852267	0.05424053352353773	5.160124069980235E-5	0.0012758835839681423	0.0542454	0.0517771	0.0568531	573305.6354882723	611.3667445488942	0.05422552315915782	0.3265163223965762	9.83032513097826E-5	0.0026027166541650907	0.32651	0.321317	0.331058	500000.0	701.0	0.32650594473449013	0.2244054507845932	9.341529546360214E-5	0.0023452760543699615	0.224351	0.21988	0.228796	556078.4527509701	630.3067458666038	0.22439319946435682	0.3948377146932951	1.0297226586350647E-4	0.002726335372530146	0.39485	0.389605	0.399879	500000.0	701.0	0.39482830004905684	0.0010000000000000007	1.0356191938126475E-10	1.1641532182693481E-10	0.001	0.001	0.001	2.761933875481095E8	1.2690383470493016	9.99999999999938E-4	-49354.47860199722	1.075672824011794	24.48476700265091	-49353.7	-49400.3	-49309.1	676482.341127934	518.1214330230605	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-212.71716690442207	0.349938015867261	8.401840775102361	-212.654	-229.003	-195.548	608024.9191549001	576.4566368219964	NaN	
7	sims/sim_007/delphy-digested.log	795.4450784593438	0.03873525980103571	0.7860549220302466	795.0	795.0	797.0	851128.6030471661	411.806158017905	795.4446906168863	-42137.46233951496	0.9895139156867625	26.198770774331823	-42136.8	-42188.2	-42090.9	500000.00000000006	700.9999999999999	NaN	5326.575905848784	0.3202329441714062	7.509815278899851	5326.82	5312.53	5340.24	637325.8434119975	549.9541617888234	5326.570610976135	-47464.037375178355	0.7915971144693432	20.958645473858205	-47462.7	-47506.4	-47429.3	500000.0	701.0	NaN	2.9431615691868753	0.006321541735264851	0.16728861495963024	2.93425	2.66027	3.29041	500496.75995541963	700.3042338000746	2.9384364136981693	2023.0514122681864	0.0063142289013474176	0.1671780784126974	2023.06	2022.7	2023.33	500000.0	701.0	2023.0514053605987	25.526386019971458	0.021918249463213815	0.5803164406871114	25.503	24.601	26.815	500000.00000000006	700.9999999999999	25.51978881680629	2.6507684593437943	0.008269543380631676	0.19744955662694208	2.64461	2.25616	3.01734	614806.932797374	570.0976701827736	2.643429927915494	0.3722165335235376	1.0969439675434522E-4	0.002719569794388261	0.372195	0.367361	0.377552	570238.4437380511	614.6551567137207	0.37220659992718486	0.2551027817403709	1.0077532334378536E-4	0.00249455232578997	0.255137	0.250419	0.260186	572019.9643644146	612.7408514306824	0.2550905882502142	0.03336042382310981	3.801396536785436E-5	0.0010064731271400458	0.0333743	0.031304	0.035326	500000.0	701.0	0.033345173395129664	0.339320256776034	9.661685553358486E-5	0.002486569147537145	0.339256	0.334841	0.344088	529166.9827338858	662.3618091007464	0.3393111441446519	0.0010000000000000007	1.0356191938126475E-10	1.1641532182693481E-10	0.001	0.001	0.001	2.761933875481095E8	1.2690383470493016	9.99999999999938E-4	-47464.037375178355	0.7915971144693432	20.958645473858205	-47462.7	-47506.4	-47429.3	500000.0	701.0	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-203.8144122681885	0.32060341136270687	7.51015618193366	-203.603	-217.78	-190.053	638743.3079466458	548.7337333157269	NaN	
8	sims/sim_008/delphy-digested.log	883.5606276747503	0.0427189877752824	0.9085685970734423	883.0	883.0	885.0	774844.3756705051	452.3488987020106	883.5601611038298	-40653.826818830246	1.1060444725639884	29.284080950700016	-40651.2	-40705.0	-40594.1	500000.0	701.0	NaN	5303.431055634804	0.31209666996991237	8.263197705164897	5304.2	5287.64	5319.44	500000.0	701.0	5303.424616567124	-45957.25748930103	0.9992991162570477	23.73633014393621	-45955.3	-46004.1	-45912.4	621229.2290116608	564.2039743648652	NaN	2.9772459058487852	0.007596723577606458	0.16218031934225427	2.96712	2.66301	3.29863	769031.92266648	455.76781622368065	2.972854141451822	2023.0172039942915	0.007599129621198667	0.16216227518566848	2023.03	2022.7	2023.33	769690.3831048838	455.37791259142995	2023.017197494903	28.304825392296735	0.02478219180847562	0.6561433369419388	28.2558	27.1093	29.5343	500000.0	701.0	28.297229920831338	3.1601302139800302	0.01044047333384193	0.2585793609225105	3.15443	2.7021	3.69045	571400.5890137458	613.4050379699	3.1495973139458906	0.05299115520684733	5.987880759106717E-5	0.001306708607331919	0.0530055	0.0502562	0.0553044	735998.290066364	476.22393248820714	0.05297506685605193	0.33132026676176846	1.0188187947532603E-4	0.002697465861352153	0.331332	0.326254	0.336363	500000.00000000006	700.9999999999999	0.3313092765797767	0.11187144222539233	7.38354937412002E-5	0.0018297241651559484	0.111827	0.108372	0.115317	570751.6049101363	614.1025219809684	0.11185648824107193	0.5038171483594863	1.0960265058651677E-4	0.0027458754790225222	0.503871	0.498505	0.508894	558429.6366627518	627.6529342078504	0.5038096618474697	0.0010000000000000007	1.0356191938126475E-10	1.1641532182693481E-10	0.001	0.001	0.001	2.761933875481095E8	1.2690383470493016	9.99999999999938E-4	-45957.25748930103	0.9992991162570477	23.73633014393621	-45955.3	-46004.1	-45912.4	621229.2290116608	564.2039743648652	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-226.7767960057061	0.3120107138576251	8.260921896430307	-225.988	-244.325	-212.644	500000.0	701.0	NaN	
9	sims/sim_009/delphy-digested.log	822.716119828816	0.05715052977079581	1.0752751337447795	822.0	822.0	825.0	990123.4308792783	353.9962686154581	822.7154181695562	-36047.557346647685	1.2312135384367058	30.71832996131683	-36047.1	-36107.8	-35987.9	563066.3643883348	622.4843502785893	NaN	5312.458930099852	0.31787690477973746	7.95321128035849	5312.57	5297.63	5327.26	559913.4935086977	625.9895574289376	5312.452976213757	-41360.01711840231	1.0317772178967624	25.323470622857943	-41358.4	-41411.4	-41314.6	581853.2154636809	602.3856029061991	NaN	3.4948116690442217	0.0075381999973581325	0.1938363061001421	3.48493	3.13699	3.89589	530094.2380792071	661.2031877011801	3.489461893312293	2022.4996148359462	0.007536728100993736	0.19389692036049674	2022.51	2022.09	2022.85	529556.0146068733	661.8752130691988	2022.4996055414076	27.434662767475036	0.0254546091633231	0.6624467258513128	27.4372	26.2449	28.8397	517510.2699449524	677.2812451379616	27.42665985622204	0.9901107931526382	0.0036698137161318457	0.09716347271731134	0.989846	0.806513	1.16342	500000.0	701.0	0.9853379848136744	0.11806921683309564	7.193691748799318E-5	0.0018204763070048613	0.118101	0.114436	0.121579	547295.1615085165	640.4222522887146	0.11805517806247695	0.49976975320970035	1.0764201441693014E-4	0.002849973524546644	0.499701	0.494193	0.505044	500000.0	701.0	0.4997616258994457	0.379011870185449	1.0526653590851788E-4	0.0027870793944729955	0.379099	0.372813	0.383801	500000.0	701.0	0.3790016169966038	0.0031492173609129846	1.1576283840845514E-5	3.064983746159818E-4	0.00314188	0.00255434	0.00374827	500000.0	701.0	0.0031342573615842618	0.0010000000000000007	1.0356191938126475E-10	1.1641532182693481E-10	0.001	0.001	0.001	2.761933875481095E8	1.2690383470493016	9.99999999999938E-4	-41360.01711840231	1.0317772178967624	25.323470622857943	-41358.4	-41411.4	-41314.6	581853.2154636809	602.3856029061991	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-218.58765620542076	0.3177646093263102	7.953304391565211	-218.475	-233.54	-203.898	559504.8646045596	626.4467427780496	NaN	
