replicate	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.6918687589158345	0.6062767475035663	0.5420827389443652	0.35235378031383735	0.6747503566333809	0.31098430813124106
sim_001	0.3437945791726106	0.15834522111269614	0.609129814550642	0.5677603423680456	0.5221112696148359	0.6861626248216833
sim_002	0.08273894436519258	0.8059914407988588	0.14265335235378032	0.5049928673323824	0.8145506419400856	0.4522111269614836
sim_003	0.8701854493580599	0.5477888730385164	0.6918687589158345	0.8787446504992867	0.06704707560627675	0.21540656205420827
sim_004	0.11269614835948645	0.28815977175463625	0.6176890156918687	0.8930099857346647	0.23252496433666192	0.6291012838801712
sim_005	0.19828815977175462	0.10413694721825963	0.6476462196861626	0.44650499286733236	0.8174037089871612	0.4593437945791726
sim_006	0.8174037089871612	0.03566333808844508	0.9358059914407989	0.5920114122681883	0.23680456490727533	0.38659058487874465
sim_007	0.7503566333808844	0.2724679029957204	0.31098430813124106	0.630527817403709	0.8445078459343794	0.14693295292439373
sim_008	0.9115549215406562	0.543509272467903	0.5563480741797432	0.9343794579172611	0.11269614835948645	0.9942938659058488
sim_009	0.48787446504992865	0.8630527817403709	0.5620542082738944	0.15834522111269614	0.9657631954350927	0.34522111269614836
sim_010	0.9914407988587732	0.7189728958630528	0.3124108416547789	0.6875891583452212	0.24393723252496433	0.3566333808844508
sim_011	0.05420827389443652	0.26676176890156916	0.19971469329529243	0.9300998573466477	0.6105563480741797	0.5592011412268189
sim_012	0.43081312410841655	0.9343794579172611	0.25392296718972895	0.23109843081312412	0.5634807417974322	0.6119828815977175
sim_013	0.776034236804565	0.7646219686162625	0.11554921540656206	0.8673323823109843	0.7703281027104137	0.4122681883024251
sim_014	0.6718972895863052	0.5763195435092725	0.8858773181169758	0.2282453637660485	0.30385164051355207	0.9386590584878745
sim_016	0.025677603423680456	0.11982881597717546	0.746077032810271	0.6262482168330956	0.8174037089871612	0.9814550641940085
sim_017	0.7646219686162625	0.21255349500713266	0.3780313837375178	0.8445078459343794	0.31098430813124106	0.6119828815977175
sim_018	0.6875891583452212	0.776034236804565	0.8159771754636234	0.03281027104136947	0.4992867332382311	0.08416547788873038
sim_019	0.2296718972895863	0.7446504992867332	0.29243937232524964	0.5035663338088445	0.5021398002853067	0.3980028530670471
sim_020	0.7018544935805991	0.6319543509272468	0.637660485021398	0.19543509272467904	0.6390870185449358	0.9386590584878745
sim_021	0.5563480741797432	0.19971469329529243	0.7403708987161198	0.9215406562054208	0.24393723252496433	0.47503566333808844
sim_022	0.07132667617689016	0.4964336661911555	0.666191155492154	0.46219686162624823	0.30813124108416545	0.5278174037089871
sim_023	0.6162624821683309	0.2225392296718973	0.6005706134094151	0.32667617689015693	0.7689015691868759	0.9343794579172611
sim_026	0.047075606276747506	0.6761768901569187	0.24393723252496433	0.7503566333808844	0.07275320970042796	0.21540656205420827
sim_027	0.268188302425107	0.10699001426533523	0.9372325249643366	0.10128388017118402	0.5934379457917262	0.4051355206847361
sim_028	0.268188302425107	0.5763195435092725	0.38231098430813126	0.2524964336661912	0.7589158345221113	0.7503566333808844
sim_029	0.34807417974322397	0.18972895863052783	0.8388017118402282	0.42796005706134094	0.32667617689015693	0.717546362339515
sim_030	0.39942938659058486	0.9914407988587732	0.8288159771754636	0.039942938659058486	0.2239657631954351	0.9015691868758916
sim_031	0.23252496433666192	0.8830242510699001	0.14978601997146934	0.4222539229671897	0.39372325249643364	0.018544935805991442
sim_032	0.7803138373751783	0.8231098430813124	0.289586305278174	0.68188302425107	0.1326676176890157	0.05563480741797432
sim_033	0.7018544935805991	0.6533523537803139	0.15549215406562053	0.9443651925820257	0.37945791726105566	0.9757489300998573
sim_034	0.09272467902995721	0.43366619115549215	0.1783166904422254	0.289586305278174	0.8516405135520685	0.21540656205420827
sim_035	0.005706134094151213	0.2653352353780314	0.666191155492154	0.5934379457917262	0.6048502139800286	0.8174037089871612
sim_036	0.6134094151212554	0.5620542082738944	0.3594864479315264	0.579172610556348	0.5021398002853067	0.514978601997147
sim_037	0.4222539229671897	0.9044222539229672	0.905848787446505	0.17403708987161198	0.05991440798858773	0.6504992867332382
sim_038	0.20970042796005706	0.20114122681883023	0.362339514978602	0.3195435092724679	0.9686162624821684	0.41512125534950073
sim_039	0.6804564907275321	0.9671897289586305	0.028530670470756064	0.3509272467902996	0.5549215406562055	0.25106990014265335
sim_040	0.9914407988587732	0.920114122681883	0.48216833095577744	0.15977175463623394	0.33523537803138376	0.8373751783166904
sim_041	0.40228245363766046	0.8616262482168331	0.07845934379457917	0.7275320970042796	0.8730385164051355	0.5977175463623395
sim_042	0.8730385164051355	0.8944365192582026	0.1340941512125535	0.5092724679029957	0.21112696148359486	0.3666191155492154
sim_043	0.03566333808844508	0.9300998573466477	0.1369472182596291	0.5292439372325249	0.3751783166904422	0.07417974322396577
sim_044	0.9700427960057061	0.20256776034236804	0.6119828815977175	0.6590584878744651	0.6918687589158345	0.6476462196861626
sim_045	0.15406562054208273	0.6604850213980028	0.14978601997146934	0.21540656205420827	0.9600570613409415	0.5549215406562055
sim_046	0.9572039942938659	0.33523537803138376	0.33808844507845937	0.09843081312410841	0.8316690442225392	0.2995720399429387
sim_047	0.9557774607703281	0.005706134094151213	0.8930099857346647	0.9900142653352354	0.19258202567760344	0.8987161198288159
sim_048	0.550641940085592	0.8687589158345221	0.15263908701854492	0.3680456490727532	0.5335235378031383	0.8059914407988588
sim_049	0.9158345221112696	0.29101283880171186	0.3680456490727532	0.6904422253922967	0.5734664764621968	0.463623395149786
sim_050	0.06704707560627675	0.6333808844507846	0.5877318116975749	0.6961483594864479	0.012838801711840228	0.6176890156918687
sim_051	0.12268188302425106	0.8088445078459344	0.9971469329529244	0.0042796005706134095	0.5663338088445078	0.5049928673323824
sim_052	0.24679029957203993	0.5078459343794579	0.8930099857346647	0.12838801711840228	0.2268188302425107	0.16547788873038516
sim_053	0.6191155492154066	0.14550641940085593	0.43081312410841655	0.5520684736091298	0.6647646219686163	0.7346647646219686
sim_054	0.3238231098430813	0.06276747503566334	0.8473609129814551	0.609129814550642	0.4108416547788873	0.007132667617689016
sim_055	0.9429386590584878	0.8630527817403709	0.5121255349500713	0.3609129814550642	0.47360912981455067	0.21112696148359486
sim_056	0.0912981455064194	0.7774607703281027	0.7517831669044223	0.06419400855920114	0.8673323823109843	0.0
sim_057	0.7689015691868759	0.6219686162624821	0.2553495007132668	0.3181169757489301	0.7004279600570613	0.4992867332382311
sim_058	0.16833095577746077	0.9843081312410842	0.6747503566333809	0.07703281027104136	0.08273894436519258	0.5449358059914408
sim_060	0.3309557774607703	0.48216833095577744	0.15549215406562053	0.9229671897289586	0.08416547788873038	0.536376604850214
sim_061	0.2296718972895863	0.985734664764622	0.15406562054208273	0.181169757489301	0.6690442225392297	0.9514978601997147
sim_062	0.3195435092724679	0.12981455064194009	0.8673323823109843	0.2653352353780314	0.5677603423680456	0.042796005706134094
sim_063	0.4136947218259629	0.24108416547788872	0.14835948644793154	0.8145506419400856	0.6205420827389444	0.8373751783166904
sim_064	0.4550641940085592	0.2810271041369472	0.4322396576319544	0.5805991440798859	0.6576319543509273	0.5962910128388017
sim_065	0.8088445078459344	0.5991440798858774	0.0884450784593438	0.9072753209700428	0.28815977175463625	0.6248216833095578
sim_066	0.6704707560627675	0.07417974322396577	0.8930099857346647	0.8131241084165478	0.14835948644793154	0.9572039942938659
sim_067	0.6961483594864479	0.5378031383737518	0.42796005706134094	0.4550641940085592	0.6319543509272468	0.9001426533523538
sim_068	0.48502139800285304	0.7417974322396577	0.7546362339514978	0.905848787446505	0.0	0.2239657631954351
sim_069	0.9728958630527818	0.7589158345221113	0.005706134094151213	0.7047075606276747	0.7546362339514978	0.1369472182596291
sim_070	0.5820256776034237	0.19543509272467904	0.9686162624821684	0.3238231098430813	0.1825962910128388	0.1355206847360913
sim_071	0.4136947218259629	0.0014265335235378032	0.9429386590584878	0.1383737517831669	0.514978601997147	0.8088445078459344
sim_072	0.34236804564907275	0.2653352353780314	0.3166904422253923	0.30099857346647646	0.8473609129814551	0.29243937232524964
sim_073	0.7161198288159771	0.6019971469329529	0.24679029957203993	0.9300998573466477	0.5106990014265336	0.9985734664764622
sim_074	0.09700427960057062	0.6490727532097005	0.34236804564907275	0.4194008559201141	0.6690442225392297	0.021398002853067047
sim_075	0.17261055634807418	0.48359486447931527	0.09415121255349501	0.9714693295292439	0.4893009985734665	0.9472182596291013
sim_076	0.2767475035663338	0.9757489300998573	0.10413694721825963	0.5206847360912982	0.14978601997146934	0.3751783166904422
sim_078	0.6134094151212554	0.3338088445078459	0.33808844507845937	0.6733238231098431	0.8245363766048502	0.7532097004279601
sim_080	0.8502139800285307	0.34950071326676174	0.23109843081312412	0.4978601997146933	0.7874465049928673	0.579172610556348
