replicate	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	1.0516531117653904	0.5698955311457018	0.12029773832565027	0.29492895431829574	0.014877776210352123	2.7449191542843376
sim_001	6.0367659279886245	0.05882696659627662	0.5003399818659376	0.1695295932012047	0.2713034583365809	2.826133833857889
sim_002	12.364320006772818	0.005862752402957836	0.5627030170428171	0.12846540956173982	0.30296882099248523	2.2796101682911076
sim_003	0.8346504068707526	0.33695378257723757	0.08934064382722554	0.23921141912167987	0.3344941544738571	4.1416273768118295
sim_004	2.8252243674464355	0.5928528885551108	0.025624061739860423	0.2146273285147581	0.16689572119027063	2.3346399927738726
sim_005	1.4971905000179986	0.23715337900207614	0.07564784991429306	0.34369150081305033	0.3435072702705806	2.960194916020244
sim_006	2.657350905526391	0.05187702722352402	0.33029655490146786	0.22488857647476088	0.3929378414002474	3.4318386170531383
sim_007	2.775510598822998	0.37050217789554124	0.25388837624623384	0.03370632959202995	0.341903116266195	2.7638115064899558
sim_008	3.4938669991094913	0.05315360619454984	0.33175493896491365	0.1145869887019801	0.5005044661385564	3.4140623206904803
sim_009	0.9866559303091406	0.11999047619242907	0.5000848862228956	0.3761983781093252	0.0037262594753500657	3.4148048005347666
sim_010	10.339626948384304	0.34033726338736453	0.46225745258161033	0.13859970429508842	0.058805579735936635	1.7452409985612296
sim_011	0.6902190125230776	0.6334939110571504	0.13874845606056016	0.13481336664217033	0.09294426624011917	2.7435890370875384
sim_012	11.938598140578378	0.18158355906311344	0.14288262070065735	0.6573858701789252	0.018147950057304046	3.4643251038848097
sim_013	2.697764716401785	0.08253006230296321	0.586551313445003	0.005002614247999937	0.32591601000403386	2.567443644303635
sim_014	0.43130745801897413	0.1598579641936763	0.24330926883596235	0.2054694183597767	0.3913633486105847	3.2621845247038257
sim_016	50.255637144314726	0.3639887865823098	0.5187888256412828	0.07866378777661913	0.03855859999978821	3.236964569509682
sim_017	2.9469931996529515	0.0824960669063803	0.15592681974443123	0.7375412128179416	0.024035900531246882	3.804345180880855
sim_018	30.455882906419223	0.29065683618863	0.15248886679574533	0.1437253389100968	0.413128958105528	3.1063567285597733
sim_019	2.3691768317565183	0.21500995358771177	0.3403198107534055	0.03993233444605876	0.4047379012128239	3.255380226807344
sim_020	5.064362598626314	0.3071753378792652	0.2353262042961158	0.33335927517142633	0.1241391826531927	2.4160608862882524
sim_021	0.4648002379173044	0.15793308559834124	0.030562049850732447	0.23124575026785946	0.5802591142830669	3.1049435902017395
sim_022	0.4779554635105724	0.22822302544340406	0.5232999634361436	0.13154245209232107	0.1169345590281313	4.43580092594347
sim_023	12.68007906968518	0.1301365752590683	0.2640124834551135	0.23178386762567155	0.37406707366014674	3.737362356601991
sim_026	1.6174006082855432	0.39840065985744855	0.07797305514548945	0.4438769206295124	0.07974936436754974	1.619319310202751
sim_027	1.4314688060968477	0.11106818233733648	0.3537740742440275	0.17042299696113816	0.36473474645749776	2.338620238930965
sim_028	1.7770694618388263	0.08614498181554975	0.14001158155678067	0.27940623732508607	0.49443719930258345	3.4887790302180397
sim_029	1.7064037061923143	0.08302449072022969	0.5889705120451645	0.0387123014194302	0.2892926958151757	3.3473090036092428
sim_030	5.5420008739974165	0.22631295181583677	0.13948125845120493	0.47567923590449857	0.15852655382845968	5.028643354226613
sim_031	11.601078093946834	0.21034883360268247	0.1238765747430076	0.014678901329363959	0.651095690324946	1.8592063059164914
