bin_lo	bin_hi	total	true_hits	fraction
0	5	7336588	20961	0.002857050171005923
5	10	83637	5910	0.07066250582875999
10	15	38125	4617	0.1211016393442623
15	20	21150	3662	0.17314420803782507
20	25	13380	2904	0.21704035874439462
25	30	9406	2606	0.2770571975334893
30	35	6565	2077	0.31637471439451637
35	40	4819	1768	0.36688109566300064
40	45	3559	1539	0.4324248384377634
45	50	2767	1310	0.47343693530899894
50	55	2159	1112	0.5150532654006484
55	60	1757	1024	0.5828116107000569
60	65	1473	927	0.6293279022403259
65	70	1206	815	0.675787728026534
70	75	1068	773	0.7237827715355806
75	80	833	652	0.7827130852340937
80	85	743	618	0.8317631224764468
85	90	611	546	0.8936170212765957
90	95	533	496	0.9305816135084428
95	100	40822	40801	0.9994855715055607
