sample	filename	numMuts.mean	numMuts.stderr	numMuts.stddev	numMuts.median	numMuts.95%HPDlo	numMuts.95%HPDup	numMuts.ACT	numMuts.ESS	numMuts.geometric-mean	posterior_for_Delphy.mean	posterior_for_Delphy.stderr	posterior_for_Delphy.stddev	posterior_for_Delphy.median	posterior_for_Delphy.95%HPDlo	posterior_for_Delphy.95%HPDup	posterior_for_Delphy.ACT	posterior_for_Delphy.ESS	posterior_for_Delphy.geometric-mean	prior_for_Delphy.mean	prior_for_Delphy.stderr	prior_for_Delphy.stddev	prior_for_Delphy.median	prior_for_Delphy.95%HPDlo	prior_for_Delphy.95%HPDup	prior_for_Delphy.ACT	prior_for_Delphy.ESS	prior_for_Delphy.geometric-mean	likelihood_really_logG.mean	likelihood_really_logG.stderr	likelihood_really_logG.stddev	likelihood_really_logG.median	likelihood_really_logG.95%HPDlo	likelihood_really_logG.95%HPDup	likelihood_really_logG.ACT	likelihood_really_logG.ESS	likelihood_really_logG.geometric-mean	rootHeight.mean	rootHeight.stderr	rootHeight.stddev	rootHeight.median	rootHeight.95%HPDlo	rootHeight.95%HPDup	rootHeight.ACT	rootHeight.ESS	rootHeight.geometric-mean	age(root).mean	age(root).stderr	age(root).stddev	age(root).median	age(root).95%HPDlo	age(root).95%HPDup	age(root).ACT	age(root).ESS	age(root).geometric-mean	treeLength.mean	treeLength.stderr	treeLength.stddev	treeLength.median	treeLength.95%HPDlo	treeLength.95%HPDup	treeLength.ACT	treeLength.ESS	treeLength.geometric-mean	kappa.mean	kappa.stderr	kappa.stddev	kappa.median	kappa.95%HPDlo	kappa.95%HPDup	kappa.ACT	kappa.ESS	kappa.geometric-mean	frequencies1.mean	frequencies1.stderr	frequencies1.stddev	frequencies1.median	frequencies1.95%HPDlo	frequencies1.95%HPDup	frequencies1.ACT	frequencies1.ESS	frequencies1.geometric-mean	frequencies2.mean	frequencies2.stderr	frequencies2.stddev	frequencies2.median	frequencies2.95%HPDlo	frequencies2.95%HPDup	frequencies2.ACT	frequencies2.ESS	frequencies2.geometric-mean	frequencies3.mean	frequencies3.stderr	frequencies3.stddev	frequencies3.median	frequencies3.95%HPDlo	frequencies3.95%HPDup	frequencies3.ACT	frequencies3.ESS	frequencies3.geometric-mean	frequencies4.mean	frequencies4.stderr	frequencies4.stddev	frequencies4.median	frequencies4.95%HPDlo	frequencies4.95%HPDup	frequencies4.ACT	frequencies4.ESS	frequencies4.geometric-mean	clock.rate.mean	clock.rate.stderr	clock.rate.stddev	clock.rate.median	clock.rate.95%HPDlo	clock.rate.95%HPDup	clock.rate.ACT	clock.rate.ESS	clock.rate.geometric-mean	meanRate.mean	meanRate.stderr	meanRate.stddev	meanRate.median	meanRate.95%HPDlo	meanRate.95%HPDup	meanRate.ACT	meanRate.ESS	meanRate.geometric-mean	treeLikelihood_really_logG.mean	treeLikelihood_really_logG.stderr	treeLikelihood_really_logG.stddev	treeLikelihood_really_logG.median	treeLikelihood_really_logG.95%HPDlo	treeLikelihood_really_logG.95%HPDup	treeLikelihood_really_logG.ACT	treeLikelihood_really_logG.ESS	treeLikelihood_really_logG.geometric-mean	branchRates.mean	branchRates.stderr	branchRates.stddev	branchRates.median	branchRates.95%HPDlo	branchRates.95%HPDup	branchRates.ACT	branchRates.ESS	branchRates.geometric-mean	coalescent.mean	coalescent.stderr	coalescent.stddev	coalescent.median	coalescent.95%HPDlo	coalescent.95%HPDup	coalescent.ACT	coalescent.ESS	coalescent.geometric-mean	Unnamed: 155
0	sims/sim_000/delphy-digested.log	1392.4679029957204	0.0319634661826545	0.7444783116318058	1392.0	1392.0	1394.0	2584351.90998065	542.4957779881058	1392.4677041111445	-54762.638801711866	1.5740065410787387	41.67403400837089	-54761.8	-54833.8	-54667.0	2000000.0	701.0		3257.736818830243	0.5621209624666346	14.882942030623346	3258.09	3224.49	3284.72	2000000.0	701.0	3257.7028035540543	-58020.37203994294	1.1198606341693245	28.908010183818963	-58019.8	-58070.3	-57959.8	2103970.141909367	666.3592662620563		2.3913351355206856	0.0053555789574859	0.1209536506712763	2.38082	2.18082	2.61918	2748671.9135728213	510.0645126386258	2.388308072958822	2023.605920114124	0.0053732252825213	0.1211295382620895	2023.62	2023.38	2023.82	2758785.84187172	508.1945755705352	2023.605916488775	37.60143138373751	0.0282094930741329	0.7204371207080392	37.6186	36.1604	38.8891	2149544.3685607226	652.2312451446359	37.59454060883201	0.2123727731811697	0.000730973745159405	0.0186454219563408	0.211729	0.17163	0.244665	2154800.849966522	650.640174019693	0.2115519158995807	0.2505191340941514	9.443090196895168e-05	0.0023989032400565	0.250554	0.245794	0.254808	2172455.1908810143	645.3527814451422	0.2505076489534433	0.2116188202567764	8.135128233764561e-05	0.002153889465064	0.211607	0.207512	0.215621	2000000.0	701.0	0.2116078568345205	0.0983087811697574	6.380375257786312e-05	0.0016892939675961	0.0982772	0.09531	0.101801	2000000.0	701.0	0.0982942727693289	0.4395532810271043	0.00010451218951487156	0.0027658067964008	0.439623	0.434577	0.445169	2001880.8593230683	700.3413781947459	0.4395445752286956	0.0012322740513552	1.586773035678269e-06	4.159555514177006e-05	0.00123279	0.00115736	0.00131422	2040251.884090235	687.170055292052	0.0012315715003266	0.0012322740513552	1.586773035678269e-06	4.159555514177006e-05	0.00123279	0.00115736	0.00131422	2040251.884090235	687.170055292052	0.0012315715003266	-58020.37203994294	1.1198606341693245	28.908010183818963	-58019.8	-58070.3	-57959.8	2103970.141909367	666.3592662620563		0.0	0.0	0.0	0.0	0.0	0.0				-501.89079315263865	0.5627978961438187	14.90086480056302	-501.517	-535.223	-474.802	2000000.0	701.0		
1	sims/sim_001/delphy-digested.log	1422.663338088445	0.034074382586132	0.90216713950677	1422.0	1422.0	1424.0	2000000.0	701.0	1422.6630522006242	-42943.88559201137	1.5247331827855226	40.36945263867857	-42944.1	-43024.6	-42864.4	2000000.0	701.0000000000001		3286.807631954352	0.5567554583732461	14.25812867121057	3287.6	3260.5	3314.97	2137725.419078964	655.8372686628998	3286.7766938558398	-46230.693009985735	1.049893005783581	27.79739199710274	-46231.4	-46287.2	-46176.1	2000000.0	701.0		1.498001169757486	0.0022557592812352	0.0597243953870574	1.49452	1.3825	1.60927	2000000.0	701.0	1.4968192897499146	2024.4966904422265	0.0022573165280166	0.0597656245325125	2024.5	2024.39	2024.61	2000000.0	701.0000000000001	2024.496689560003	33.888930955777475	0.0231088489641619	0.6118392347784053	33.8796	32.7752	35.1335	2000000.0	701.0	33.88340906115889	8.371710114122685	0.0182340922790631	0.4827732045072661	8.35615	7.40408	9.26396	2000000.0	701.0	8.357822149484264	0.0036946310984308	1.461523864838028e-05	0.0003510653117017315	0.0036918	0.00309836	0.00443283	2429875.3596189804	576.9843273853529	0.0036779904454594	0.6223972296718979	0.0001031414299563786	0.0027308142294905	0.622405	0.617198	0.627673	2000000.0	701.0	0.6223912377196134	0.2796931540656204	9.671365082651197e-05	0.0025606297486382	0.27966	0.275154	0.285029	2000000.0	701.0	0.2796814418808942	0.0942149433666191	6.281876269978414e-05	0.0015693605572477	0.0941877	0.0913657	0.0971051	2246370.066147532	624.1180031411275	0.0942018674341365	0.001399917788873	1.6873972474846534e-06	4.467621222803059e-05	0.00139845	0.00132172	0.00149922	2000000.0	700.9999999999999	0.0013992054413936	0.001399917788873	1.6873972474846534e-06	4.467621222803059e-05	0.00139845	0.00132172	0.00149922	2000000.0	700.9999999999999	0.0013992054413936	-46230.693009985735	1.049893005783581	27.79739199710274	-46231.4	-46287.2	-46176.1	2000000.0	701.0		0.0	0.0	0.0	0.0	0.0	0.0				-470.6597232524961	0.5577171611996353	14.282628620220796	-469.83	-497.003	-442.521	2137763.917116107	655.8254579819695		
2	sims/sim_002/delphy-digested.log	215.02139800285303	0.0054655095861691	0.1447070431440585	215.0	215.0	215.0	2000000.0	701.0	215.02134945376173	-37678.41169757493	0.939619463382116	24.877745069543145	-37678.1	-37726.3	-37630.9	2000000.0	701.0000000000001		3255.149343794578	0.7540557128740054	19.964684137242973	3255.55	3219.47	3297.73	2000000.0	701.0	3255.0881069686234	-40933.56134094151	0.2543129682835011	6.73329309681242	-40933.6	-40947.7	-40921.9	2000000.0	701.0000000000001		1.997971997146934	0.0084688873871007	0.2242256888858902	1.97267	1.60928	2.42466	2000000.0	700.9999999999999	1.985894434366804	2023.9991726105568	0.0084664643185989	0.2241615339956266	2024.02	2023.55	2024.37	2000000.0	701.0	2023.9991601966865	36.50002039942944	0.0407608103109708	1.079199705199383	36.4591	34.5154	38.6116	2000000.0	701.0	36.48410703107005	10.636960784593445	0.0688904440058086	1.8159626754175944	10.432	7.38244	13.9737	2017679.33215156	694.857690049772	10.48999804273115	0.1220916947218258	8.316606792790139e-05	0.0019792357134866	0.122069	0.118399	0.12594	2475399.582095816	566.3732070330989	0.1220756501493726	0.4081084022824537	0.00010855977955601428	0.002874272645699	0.408135	0.402616	0.413552	2000000.0	700.9999999999999	0.4080982769415246	0.3442404208273892	0.00010188470031730472	0.0026402937169075	0.344135	0.338922	0.349349	2087668.1901206688	671.5626585846305	0.3442302987092772	0.1255594793152638	6.875409452885534e-05	0.0018203612239475	0.125494	0.121847	0.128782	2000000.0	701.0	0.1255462930841303	0.0001974803723252499	5.511073432184989e-07	1.4591340991433869e-05	0.000198025	0.000173071	0.000226833	2000000.0	701.0	0.0001969401088919176	0.0001974803723252499	5.511073432184989e-07	1.4591340991433869e-05	0.000198025	0.000173071	0.000226833	2000000.0	701.0	0.0001969401088919176	-40933.56134094151	0.2543129682835011	6.73329309681242	-40933.6	-40947.7	-40921.9	2000000.0	701.0000000000001		0.0	0.0	0.0	0.0	0.0	0.0				-503.1056019971465	0.7547158130493049	19.982161216573637	-502.545	-539.262	-460.951	2000000.0	701.0		
3	sims/sim_003/delphy-digested.log	4919.208273894436	0.1555673189092026	2.9371913014697912	4919.0	4913.0	4924.0	3932966.804958451	356.47389605029	4919.207397216294	-101527.36233951498	3.716460906403981	82.40588775775032	-101525.0	-101670.0	-101363.0	2851613.5296753477	491.65147570316657		3180.853323823114	0.4694883434100486	11.674631502948229	3180.35	3156.01	3201.11	2267311.958797874	618.3533741617712	3180.831900642869	-104708.19258202567	3.3623084879364424	73.29880418517622	-104706.0	-104841.0	-104561.0	2950049.806956085	475.24621336702415		3.044581954350929	0.0037893061941898	0.0935068020792782	3.0411	2.85205	3.21096	2302401.207285704	608.9294930716334	3.0431478176804925	2022.9526961483596	0.0037814515114283	0.0934518130010541	2022.96	2022.77	2023.13	2295565.174008008	610.742842710119	2022.952693989857	41.2967432239658	0.0232797963190532	0.5234159105898395	41.2772	40.3559	42.3055	2773400.0949016	505.51667701220833	41.293426657715386	0.3640697460770327	0.00051934034749586	0.0137502651600807	0.362815	0.337468	0.391101	2000000.0	701.0000000000001	0.3638117589891981	0.3990259158345224	9.77116532052842e-05	0.0025870532633968	0.399009	0.394173	0.404168	2000000.0	701.0	0.3990175311936362	0.1892201840228246	7.767596607337163e-05	0.0020565803046591	0.189111	0.185462	0.193602	2000000.0	701.0	0.1892090136282829	0.2916714151212553	9.332918947983544e-05	0.0024642974120519	0.291731	0.286547	0.296378	2010929.106159523	697.1901673239704	0.2916609965263183	0.1200824422253924	6.246241186896976e-05	0.0016537800882943	0.120067	0.116894	0.122894	2000000.0	701.0000000000001	0.1200710381848943	0.0039668207703281	2.9216585397271337e-06	7.285463397061081e-05	0.00396912	0.00382668	0.00410414	2254719.7436364726	621.8067695361627	0.0039661511557653	0.0039668207703281	2.9216585397271337e-06	7.285463397061081e-05	0.00396912	0.00382668	0.00410414	2254719.7436364726	621.8067695361627	0.0039661511557653	-104708.19258202567	3.3623084879364424	73.29880418517622	-104706.0	-104841.0	-104561.0	2950049.806956085	475.24621336702415		0.0	0.0	0.0	0.0	0.0	0.0				-576.2914379457909	0.4714259878148311	11.71978526379196	-576.769	-601.275	-555.951	2268484.1249424666	618.033859961686		
5	sims/sim_005/delphy-digested.log	992.339514978602	0.0294934691785179	0.7374198717024072	992.0	992.0	994.0	2242694.1984547344	625.1409581234966	992.3392413077016	-43283.07803138373	1.564638609411911	39.16315196006306	-43282.4	-43363.6	-43210.0	2237797.7018978405	626.5088210659017		3278.670770328101	0.6689570112148816	16.48411797717476	3278.45	3246.49	3311.41	2308941.901176859	607.2045378384817	3278.629310680481	-46561.74650499285	1.003593243055368	25.29858739475234	-46561.3	-46607.2	-46509.0	2206332.321696394	635.4437118167389		2.8334315406562056	0.0083109449252048	0.1834770804607629	2.81644	2.53699	3.22466	2876637.784071565	487.37453417427577	2.8275589130961603	2023.163865905847	0.0083073996770313	0.1833202335988266	2023.18	2022.76	2023.45	2879104.4366157576	486.9569794585085	2023.163857600291	37.2309216833096	0.0342275312162854	0.8453119959912478	37.1826	35.7519	38.9851	2298608.983565925	609.9340992851339	37.2213436492394	2.9786727246790305	0.0073300690030757	0.1906935007876612	2.97634	2.61618	3.37607	2071535.385530078	676.7926871021067	2.9725492851243254	0.4983658487874471	0.00010683175950004068	0.0027704587742243	0.498351	0.492882	0.503614	2084708.7631692323	672.5160006852183	0.4983581475809037	0.0135958363766048	3.067040868447937e-05	0.0006552165658710825	0.0136161	0.012469	0.0149736	3071973.049499634	456.3842121689053	0.0135800068148019	0.1706769629101285	9.172113864112378e-05	0.0022298210815295	0.170678	0.166481	0.175033	2372175.70871415	591.0186141986765	0.1706624080224345	0.3173613623395151	0.00010257198914749132	0.0026013999308914	0.317183	0.312727	0.322416	2179672.878651488	643.2157842269361	0.3173506957806463	0.000888925447931527	1.316202298255229e-06	3.4848304570562e-05	0.000888184	0.000815638	0.000952077	2000000.0	700.9999999999999	0.0008882423348094572	0.000888925447931527	1.316202298255229e-06	3.4848304570562e-05	0.000888184	0.000815638	0.000952077	2000000.0	700.9999999999999	0.0008882423348094572	-46561.74650499285	1.003593243055368	25.29858739475234	-46561.3	-46607.2	-46509.0	2206332.321696394	635.4437118167389		0.0	0.0	0.0	0.0	0.0	0.0				-480.7421355206848	0.6691002543350495	16.498478803440783	-480.958	-512.967	-448.007	2305911.2985098297	608.002571870838		
6	sims/sim_006/delphy-digested.log	195.01283880171184	0.0042520393503002	0.1125787141732578	195.0	195.0	195.0	2000000.0	700.9999999999999	195.0128064143208	-36517.02910128391	0.9410346610249264	24.915214423424967	-36516.9	-36569.5	-36475.7	2000000.0	701.0		3260.698002853068	0.74810062020077	19.807014694317164	3260.82	3224.59	3297.41	2000000.0	701.0	3260.637832477049	-39777.72796005703	0.2572655554184724	6.8114669436501325	-39777.4	-39791.9	-39766.0	2000000.0	701.0		2.443172981455064	0.0124723509018785	0.319174098677467	2.40822	1.80873	2.99178	2140865.4540982246	654.8753436682225	2.4232793731486497	2023.551426533524	0.012464829464319	0.3190910154010569	2023.59	2023.0	2024.19	2139397.801763982	655.3245959419137	2023.5514013727104	37.52613309557773	0.047460053294143	1.2565715728665774	37.4857	35.049	39.8799	2000000.0	701.0	37.50520784228433	7.184733466476462	0.0426262928255236	1.1285909750096152	7.14386	5.05527	9.32012	2000000.0	701.0	7.096855667080014	0.1068388074179743	7.044955450550133e-05	0.0017014559373398	0.106836	0.103627	0.110103	2403605.021527751	583.2905104803274	0.1068252577567933	0.2216892339514976	9.052859673302553e-05	0.0023933523894422	0.221674	0.216905	0.226107	2005886.2241742543	698.9429326068326	0.2216763080135472	0.5011368730385172	0.00011125242929654636	0.0029455643296459	0.501179	0.495634	0.507089	2000000.0	701.0	0.5011282172735134	0.1703350841654778	8.371448683918168e-05	0.0021746722297335	0.170276	0.166127	0.174603	2077598.5579595687	674.8175650337948	0.1703212076301531	0.00017391453209700424	5.655994326151581e-07	1.3741780042929618e-05	0.000173099	0.000147393	0.000199674	2375089.383418901	590.2935737019903	0.000173370234055845	0.00017391453209700424	5.655994326151581e-07	1.3741780042929618e-05	0.000173099	0.000147393	0.000199674	2375089.383418901	590.2935737019903	0.000173370234055845	-39777.72796005703	0.2572655554184724	6.8114669436501325	-39777.4	-39791.9	-39766.0	2000000.0	701.0		0.0	0.0	0.0	0.0	0.0	0.0				-498.26097004279626	0.7472743566243607	19.785138205529915	-498.106	-534.255	-461.473	2000000.0	701.0		
7	sims/sim_007/delphy-digested.log	1972.554921540656	0.0379578674223615	0.8688092765443531	1972.0	1972.0	1974.0	2676102.378316055	523.8962497698658	1972.554730313201	-60074.65606276751	1.6846308105272172	44.60296692259936	-60076.1	-60155.7	-59986.3	2000000.0	701.0		3284.833851640515	0.4713242103677106	12.478970486743616	3283.86	3260.75	3306.61	2000000.0	701.0	3284.810161188424	-63359.4904422254	1.2695728282273366	33.61372385659034	-63360.1	-63423.8	-63292.7	2000000.0	701.0		1.820187988587732	0.002892639944214	0.075979544665034	1.81966	1.67485	1.97539	2032092.152031008	689.929341343476	1.8185982528785667	2024.1741084165449	0.002897647688771	0.0761705667432287	2024.17	2024.01	2024.31	2028919.429111772	691.0082184060768	2024.174106983388	34.31478145506416	0.0212347948973914	0.5622210210833146	34.3189	33.2482	35.4188	2000000.0	700.9999999999999	34.31017111897968	2.558096119828816	0.0044838872662574	0.1140841688282399	2.56039	2.35279	2.77762	2165741.4991881214	647.3533431970401	2.5555554844191977	0.3443244136947223	0.0001001916599160189	0.0026527149244473	0.34417	0.339359	0.349384	2000000.0	701.0	0.3443142049140073	0.24644885021398	8.641478582343203e-05	0.0022879528319979	0.246417	0.242192	0.250892	2000000.0	701.0	0.2464382305001524	0.0344497309557774	4.772061911935697e-05	0.0010466546467995	0.0344049	0.0324524	0.036316	2914428.0679611494	481.0549333546596	0.0344338542458498	0.374777012838802	0.00010401921888417245	0.0027540549242842	0.374791	0.369941	0.380526	2000000.0	701.0	0.3747668858718572	0.0019122116119828	1.984834790182424e-06	5.255128894867616e-05	0.00191158	0.00180715	0.00201088	2000000.0	701.0	0.0019114903816895	0.0019122116119828	1.984834790182424e-06	5.255128894867616e-05	0.00191158	0.00180715	0.00201088	2000000.0	701.0	0.0019114903816895	-63359.4904422254	1.2695728282273366	33.61372385659034	-63360.1	-63423.8	-63292.7	2000000.0	701.0		0.0	0.0	0.0	0.0	0.0	0.0				-473.7089215406563	0.4723048057014117	12.504933125432352	-474.753	-497.945	-451.947	2000000.0	701.0000000000001		
8	sims/sim_008/delphy-digested.log	350.02710413694723	0.007605174485309	0.1943753350595676	350.0	350.0	350.0	2146268.582015332	653.2267264908343	350.0270503250404	-36131.573751783166	1.0458190293791796	27.21368961178417	-36131.1	-36182.7	-36079.9	2070552.464729475	677.1139702481174		3243.342039942936	0.7542692657083994	19.29397994696402	3243.67	3207.35	3279.78	2142679.387219409	654.3209443104779	3243.2846545164152	-39374.91554921541	0.3530750130350387	9.168836437980248	-39374.7	-39391.0	-39356.2	2078995.408663639	674.3641636520947		1.5341787589158344	0.0045696749710724	0.1209885633777596	1.51639	1.31147	1.75409	2000000.0	701.0	1.5295439678011191	2024.463209700429	0.0045693815444786	0.1209807907353444	2024.48	2024.21	2024.66	2000000.0	701.0	2024.46320608544	35.52502168330954	0.0338189822013528	0.870469053916621	35.4812	33.8758	37.2155	2116227.7634390434	662.4995778911979	35.5143691950723	1.4030836233951487	0.0058273477705004	0.1542872172569321	1.39486	1.14023	1.75398	2000000.0	700.9999999999999	1.3946639881115792	0.1626552853067048	7.933402977605156e-05	0.0021004798700876	0.162715	0.158658	0.166416	2000000.0	701.0	0.1626417236947707	0.0869813901569187	6.238343648398604e-05	0.0015521573607245	0.0869409	0.0837682	0.0898669	2264723.0784844863	619.0602344804973	0.0869675620402638	0.1727137717546362	8.456483084088348e-05	0.0022389726754065	0.172713	0.169077	0.177326	2000000.0	701.0	0.1726992559961065	0.5776495492154066	0.00011091260539415012	0.0029365670145068	0.577581	0.572067	0.583283	2000000.0	701.0	0.5776420845211883	0.0003295524907275324	7.766487089086964e-07	1.9147969449041827e-05	0.000329602	0.000290958	0.000366684	2306491.248430172	607.8496941855815	0.00032899705815795185	0.0003295524907275324	7.766487089086964e-07	1.9147969449041827e-05	0.000329602	0.000290958	0.000366684	2306491.248430172	607.8496941855815	0.00032899705815795185	-39374.91554921541	0.3530750130350387	9.168836437980248	-39374.7	-39391.0	-39356.2	2078995.408663639	674.3641636520947		0.0	0.0	0.0	0.0	0.0	0.0				-517.2443609129816	0.7541898927442716	19.296623449822217	-516.927	-553.321	-480.626	2141641.5552607803	654.6380259367368		
10	sims/sim_010/delphy-digested.log	373.0727532097004	0.0118964243331264	0.2808423906506844	373.0	373.0	374.0	2515681.085898508	557.3043450772925	373.0726477167024	-34993.00442225391	1.0603870524646908	28.075236622500228	-34993.2	-35048.1	-34939.8	2000000.0	701.0		3269.335049928675	0.7050618079611028	18.667501688346945	3269.77	3232.3	3303.25	2000000.0	701.0	3269.2817271746767	-38262.341940085535	0.4546682175640695	11.125901903604944	-38261.8	-38283.8	-38240.0	2341352.2417430454	598.7992643756438		1.754741455064194	0.0062301646407287	0.1599006670503	1.72949	1.48359	2.08219	2128366.9673086638	658.7209919785779	1.7477685106992924	2024.239743223964	0.0062429240050437	0.159964130763318	2024.27	2023.91	2024.51	2135398.383155585	656.5519628839442	2024.2397369031287	35.59318145506419	0.0375934334842178	0.9953389548458892	35.5751	33.7549	37.5577	2000000.0	701.0	35.57929721835377	45.04803166904421	0.5368099015634306	14.21279614157589	42.9127	21.9606	72.8416	2000000.0	701.0	43.12034951152595	0.186358289586305	9.22446217931829e-05	0.0022504458655673	0.18637	0.182375	0.190923	2355553.550800806	595.1891857959964	0.1863447071968251	0.1301287346647645	7.412352913161177e-05	0.0019625245469088	0.130067	0.12646	0.134007	2000000.0	701.0	0.130113949348728	0.6004025834522111	0.00011166875863657176	0.0028685147420094	0.600418	0.594803	0.605617	2124698.0434526955	659.8584699224882	0.6003957317069151	0.0831104057061342	6.438588805388157e-05	0.0015512275679532	0.0831056	0.0798198	0.0858448	2415340.5098146177	580.4564591630215	0.083095925271633	0.00034987652924393703	8.187582446230882e-07	2.022799682735105e-05	0.00034875	0.000311144	0.000387528	2296961.058166874	610.371688721135	0.0003492925791671105	0.00034987652924393703	8.187582446230882e-07	2.022799682735105e-05	0.00034875	0.000311144	0.000387528	2296961.058166874	610.371688721135	0.0003492925791671105	-38262.341940085535	0.4546682175640695	11.125901903604944	-38261.8	-38283.8	-38240.0	2341352.2417430454	598.7992643756438		0.0	0.0	0.0	0.0	0.0	0.0				-485.4746918687592	0.7049047264380428	18.66334273439921	-485.072	-522.181	-451.345	2000000.0	700.9999999999999		
11	sims/sim_011/delphy-digested.log	2329.8687589158344	0.0846784707612836	2.0673143488576025	2330.0	2327.0	2334.0	2352236.5196183366	596.028498115267	2329.867842228277	-61687.32125534956	2.6498732453467806	61.62277967465138	-61684.9	-61818.6	-61586.2	2592481.375667824	540.7946275559432		3256.392867332381	0.5096244881358113	13.493024136831751	3256.8	3230.78	3282.91	2000000.0	701.0	3256.364912168699	-64943.71326676177	2.221952293318789	51.4539455066899	-64941.2	-65043.7	-64851.3	2614448.608360463	536.2507396460943		3.7493091440798847	0.0060197826024357	0.1593821997244093	3.74795	3.44658	4.06575	2000000.0	700.9999999999999	3.7459327639223146	2022.2480599144048	0.0060266229762529	0.159563304415721	2022.25	2021.93	2022.55	2000000.0	701.0	2022.2480536192384	40.94246462196865	0.0318753422765874	0.7460800097651067	40.9401	39.6111	42.3801	2559098.014493797	547.8492781673791	40.935670881323496	2.6495094721825976	0.0047644772612851	0.112163520149609	2.64805	2.43877	2.86013	2529736.3969827145	554.2079410614496	2.647146786648863	0.0698739174037089	5.086562840616522e-05	0.001346738957393	0.069888	0.0671095	0.0723225	2000000.0	701.0	0.0698609375620651	0.111290281027104	6.685148756174955e-05	0.0017325666322043	0.111295	0.107726	0.114367	2087325.951454244	671.672768224447	0.1112767985187806	0.587892158345222	0.00010121392298426708	0.002679780775048	0.58785	0.582801	0.593468	2000000.0	701.0000000000001	0.5878860504373226	0.230943631954351	8.628774930762992e-05	0.0022845893618059	0.230885	0.226549	0.235382	2000000.0	701.0	0.2309323401614225	0.0019005438659058	2.3549925847402383e-06	5.040383276044547e-05	0.00189933	0.00180687	0.0019991	3060553.515488117	458.0870724544086	0.001899875999186	0.0019005438659058	2.3549925847402383e-06	5.040383276044547e-05	0.00189933	0.00180687	0.0019991	3060553.515488117	458.0870724544086	0.001899875999186	-64943.71326676177	2.221952293318789	51.4539455066899	-64941.2	-65043.7	-64851.3	2614448.608360463	536.2507396460943		0.0	0.0	0.0	0.0	0.0	0.0				-502.1276804564909	0.5105770461982503	13.518244449382074	-501.723	-527.77	-475.524	2000000.0	701.0		
