replicate	totals_0_5	true_hits_0_5	frac_0_5	totals_5_10	true_hits_5_10	frac_5_10	totals_10_15	true_hits_10_15	frac_10_15	totals_15_20	true_hits_15_20	frac_15_20	totals_20_25	true_hits_20_25	frac_20_25	totals_25_30	true_hits_25_30	frac_25_30	totals_30_35	true_hits_30_35	frac_30_35	totals_35_40	true_hits_35_40	frac_35_40	totals_40_45	true_hits_40_45	frac_40_45	totals_45_50	true_hits_45_50	frac_45_50	totals_50_55	true_hits_50_55	frac_50_55	totals_55_60	true_hits_55_60	frac_55_60	totals_60_65	true_hits_60_65	frac_60_65	totals_65_70	true_hits_65_70	frac_65_70	totals_70_75	true_hits_70_75	frac_70_75	totals_75_80	true_hits_75_80	frac_75_80	totals_80_85	true_hits_80_85	frac_80_85	totals_85_90	true_hits_85_90	frac_85_90	totals_90_95	true_hits_90_95	frac_90_95	totals_95_100	true_hits_95_100	frac_95_100
sim_000	4895	29	0.005924	360	34	0.094444	206	23	0.111650	127	21	0.165354	80	16	0.200000	73	27	0.369863	45	15	0.333333	23	7	0.304348	24	8	0.333333	13	7	0.538462	20	13	0.650000	12	7	0.583333	14	6	0.428571	6	3	0.500000	2	2	1.000000	4	3	0.750000	5	3	0.600000	5	4	0.800000	1	1	1.000000	269	269	1.000000
sim_001	1851	29	0.015667	299	23	0.076923	172	22	0.127907	127	24	0.188976	73	13	0.178082	54	10	0.185185	34	7	0.205882	34	8	0.235294	28	18	0.642857	13	7	0.538462	17	9	0.529412	13	8	0.615385	13	6	0.461538	5	5	1.000000	11	8	0.727273	2	1	0.500000	1	1	1.000000	7	5	0.714286	4	3	0.750000	291	291	1.000000
sim_002	69364	205	0.002955	726	39	0.053719	248	31	0.125000	120	27	0.225000	55	13	0.236364	45	12	0.266667	28	9	0.321429	17	6	0.352941	16	8	0.500000	12	6	0.500000	14	9	0.642857	9	6	0.666667	7	6	0.857143	8	5	0.625000	9	6	0.666667	6	5	0.833333	11	10	0.909091	6	4	0.666667	1	1	1.000000	90	90	1.000000
sim_003	106	1	0.009434	91	7	0.076923	98	15	0.153061	47	6	0.127660	55	9	0.163636	48	16	0.333333	38	12	0.315789	23	6	0.260870	22	11	0.500000	8	6	0.750000	9	5	0.555556	6	4	0.666667	3	2	0.666667	0	0	NaN	3	1	0.333333	0	0	NaN	0	0	NaN	0	0	NaN	0	0	NaN	397	397	1.000000
sim_005	4471	48	0.010736	447	33	0.073826	232	31	0.133621	137	23	0.167883	77	11	0.142857	63	15	0.238095	51	16	0.313725	20	8	0.400000	24	12	0.500000	11	5	0.454545	19	11	0.578947	10	8	0.800000	11	7	0.636364	8	3	0.375000	2	2	1.000000	12	8	0.666667	6	5	0.833333	4	4	1.000000	3	3	1.000000	245	245	1.000000
sim_006	83099	233	0.002804	669	39	0.058296	229	33	0.144105	98	25	0.255102	69	15	0.217391	40	11	0.275000	29	7	0.241379	11	3	0.272727	8	4	0.500000	18	7	0.388889	10	3	0.300000	5	2	0.400000	4	4	1.000000	6	2	0.333333	12	8	0.666667	4	4	1.000000	6	5	0.833333	2	2	1.000000	5	4	0.800000	87	87	1.000000
sim_007	785	7	0.008917	178	16	0.089888	150	20	0.133333	102	19	0.186275	85	22	0.258824	69	17	0.246377	49	10	0.204082	32	12	0.375000	22	9	0.409091	15	7	0.466667	14	10	0.714286	8	5	0.625000	6	2	0.333333	6	6	1.000000	3	3	1.000000	3	1	0.333333	1	1	1.000000	0	0	NaN	3	3	1.000000	328	328	1.000000
sim_008	42344	172	0.004062	681	39	0.057269	273	29	0.106227	141	23	0.163121	86	15	0.174419	51	11	0.215686	26	9	0.346154	25	10	0.400000	23	12	0.521739	14	5	0.357143	9	2	0.222222	16	8	0.500000	11	6	0.545455	7	7	1.000000	10	6	0.600000	3	2	0.666667	5	5	1.000000	6	5	0.833333	3	3	1.000000	130	129	0.992308
sim_010	47859	169	0.003531	683	43	0.062958	251	25	0.099602	131	18	0.137405	72	15	0.208333	44	16	0.363636	31	10	0.322581	29	14	0.482759	23	7	0.304348	15	10	0.666667	13	8	0.615385	8	4	0.500000	7	5	0.714286	6	3	0.500000	4	3	0.750000	7	6	0.857143	5	4	0.800000	3	3	1.000000	0	0	NaN	135	135	1.000000
sim_011	454	10	0.022026	202	13	0.064356	155	20	0.129032	84	10	0.119048	69	20	0.289855	71	20	0.281690	27	8	0.296296	13	4	0.307692	17	9	0.529412	17	8	0.470588	10	4	0.400000	11	4	0.363636	6	6	1.000000	4	3	0.750000	3	2	0.666667	2	2	1.000000	2	2	1.000000	4	4	1.000000	2	1	0.500000	348	348	1.000000
sim_012	514	12	0.023346	180	9	0.050000	172	20	0.116279	90	18	0.200000	85	19	0.223529	60	20	0.333333	45	18	0.400000	30	5	0.166667	22	10	0.454545	17	7	0.411765	10	5	0.500000	4	3	0.750000	12	7	0.583333	8	5	0.625000	4	4	1.000000	4	4	1.000000	3	1	0.333333	1	0	0.000000	3	3	1.000000	328	328	1.000000
sim_013	157144	347	0.002208	453	26	0.057395	170	23	0.135294	61	5	0.081967	43	11	0.255814	18	2	0.111111	12	3	0.250000	8	5	0.625000	3	0	0.000000	6	3	0.500000	5	4	0.800000	4	3	0.750000	1	0	0.000000	3	3	1.000000	7	3	0.428571	4	4	1.000000	4	4	1.000000	1	1	1.000000	1	1	1.000000	50	50	1.000000
sim_014	10940	53	0.004845	443	28	0.063205	205	26	0.126829	114	21	0.184211	75	22	0.293333	50	11	0.220000	47	18	0.382979	32	8	0.250000	19	6	0.315789	19	8	0.421053	13	7	0.538462	9	6	0.666667	10	8	0.800000	6	6	1.000000	6	5	0.833333	3	3	1.000000	3	3	1.000000	4	4	1.000000	4	4	1.000000	251	251	1.000000
sim_015	178	5	0.028090	79	7	0.088608	69	11	0.159420	59	9	0.152542	56	14	0.250000	40	9	0.225000	35	15	0.428571	27	9	0.333333	18	7	0.388889	16	6	0.375000	14	8	0.571429	5	3	0.600000	4	1	0.250000	3	1	0.333333	6	3	0.500000	0	0	NaN	2	1	0.500000	2	2	1.000000	0	0	NaN	387	387	1.000000
sim_016	883	15	0.016988	222	13	0.058559	133	16	0.120301	98	17	0.173469	65	13	0.200000	47	16	0.340426	47	14	0.297872	27	12	0.444444	21	8	0.380952	15	10	0.666667	8	4	0.500000	14	9	0.642857	7	3	0.428571	5	3	0.600000	7	6	0.857143	3	1	0.333333	2	2	1.000000	0	0	NaN	2	1	0.500000	335	335	1.000000
sim_017	9304	57	0.006126	460	30	0.065217	223	24	0.107623	136	26	0.191176	86	21	0.244186	67	16	0.238806	43	19	0.441860	25	15	0.600000	19	5	0.263158	11	4	0.363636	17	9	0.529412	18	11	0.611111	9	4	0.444444	9	6	0.666667	4	3	0.750000	6	4	0.666667	6	5	0.833333	4	2	0.500000	2	2	1.000000	235	235	1.000000
sim_018	10281	64	0.006225	543	41	0.075506	261	35	0.134100	147	30	0.204082	97	20	0.206186	65	14	0.215385	39	14	0.358974	26	10	0.384615	23	8	0.347826	10	4	0.400000	27	12	0.444444	17	7	0.411765	9	6	0.666667	14	14	1.000000	6	4	0.666667	8	8	1.000000	6	5	0.833333	5	5	1.000000	3	2	0.666667	196	195	0.994898
