sample	filename	numMuts.mean	numMuts.stderr	numMuts.stddev	numMuts.median	numMuts.95%HPDlo	numMuts.95%HPDup	numMuts.ACT	numMuts.ESS	numMuts.geometric-mean	posterior_for_Delphy.mean	posterior_for_Delphy.stderr	posterior_for_Delphy.stddev	posterior_for_Delphy.median	posterior_for_Delphy.95%HPDlo	posterior_for_Delphy.95%HPDup	posterior_for_Delphy.ACT	posterior_for_Delphy.ESS	posterior_for_Delphy.geometric-mean	prior_for_Delphy.mean	prior_for_Delphy.stderr	prior_for_Delphy.stddev	prior_for_Delphy.median	prior_for_Delphy.95%HPDlo	prior_for_Delphy.95%HPDup	prior_for_Delphy.ACT	prior_for_Delphy.ESS	prior_for_Delphy.geometric-mean	likelihood_really_logG.mean	likelihood_really_logG.stderr	likelihood_really_logG.stddev	likelihood_really_logG.median	likelihood_really_logG.95%HPDlo	likelihood_really_logG.95%HPDup	likelihood_really_logG.ACT	likelihood_really_logG.ESS	likelihood_really_logG.geometric-mean	rootHeight.mean	rootHeight.stderr	rootHeight.stddev	rootHeight.median	rootHeight.95%HPDlo	rootHeight.95%HPDup	rootHeight.ACT	rootHeight.ESS	rootHeight.geometric-mean	age(root).mean	age(root).stderr	age(root).stddev	age(root).median	age(root).95%HPDlo	age(root).95%HPDup	age(root).ACT	age(root).ESS	age(root).geometric-mean	treeLength.mean	treeLength.stderr	treeLength.stddev	treeLength.median	treeLength.95%HPDlo	treeLength.95%HPDup	treeLength.ACT	treeLength.ESS	treeLength.geometric-mean	kappa.mean	kappa.stderr	kappa.stddev	kappa.median	kappa.95%HPDlo	kappa.95%HPDup	kappa.ACT	kappa.ESS	kappa.geometric-mean	frequencies1.mean	frequencies1.stderr	frequencies1.stddev	frequencies1.median	frequencies1.95%HPDlo	frequencies1.95%HPDup	frequencies1.ACT	frequencies1.ESS	frequencies1.geometric-mean	frequencies2.mean	frequencies2.stderr	frequencies2.stddev	frequencies2.median	frequencies2.95%HPDlo	frequencies2.95%HPDup	frequencies2.ACT	frequencies2.ESS	frequencies2.geometric-mean	frequencies3.mean	frequencies3.stderr	frequencies3.stddev	frequencies3.median	frequencies3.95%HPDlo	frequencies3.95%HPDup	frequencies3.ACT	frequencies3.ESS	frequencies3.geometric-mean	frequencies4.mean	frequencies4.stderr	frequencies4.stddev	frequencies4.median	frequencies4.95%HPDlo	frequencies4.95%HPDup	frequencies4.ACT	frequencies4.ESS	frequencies4.geometric-mean	clock.rate.mean	clock.rate.stderr	clock.rate.stddev	clock.rate.median	clock.rate.95%HPDlo	clock.rate.95%HPDup	clock.rate.ACT	clock.rate.ESS	clock.rate.geometric-mean	meanRate.mean	meanRate.stderr	meanRate.stddev	meanRate.median	meanRate.95%HPDlo	meanRate.95%HPDup	meanRate.ACT	meanRate.ESS	meanRate.geometric-mean	treeLikelihood_really_logG.mean	treeLikelihood_really_logG.stderr	treeLikelihood_really_logG.stddev	treeLikelihood_really_logG.median	treeLikelihood_really_logG.95%HPDlo	treeLikelihood_really_logG.95%HPDup	treeLikelihood_really_logG.ACT	treeLikelihood_really_logG.ESS	treeLikelihood_really_logG.geometric-mean	branchRates.mean	branchRates.stderr	branchRates.stddev	branchRates.median	branchRates.95%HPDlo	branchRates.95%HPDup	branchRates.ACT	branchRates.ESS	branchRates.geometric-mean	coalescent.mean	coalescent.stderr	coalescent.stddev	coalescent.median	coalescent.95%HPDlo	coalescent.95%HPDup	coalescent.ACT	coalescent.ESS	coalescent.geometric-mean	
0	sims/sim_000/delphy-digested.log	2127.1526390870185	0.10539975646683324	1.8374250176414755	2127.0	2125.0	2131.0	1153315.1223233407	303.90653275569787	2127.1518459461277	-56181.82239657624	2.9299637121791067	51.054957739794126	-56181.3	-56278.2	-56086.0	1154347.7571108213	303.63466974393816	NaN	5347.033423680458	0.2677307816507251	5.257367323554078	5347.17	5337.07	5356.92	908966.7375891382	385.6026689487392	5347.030838858863	-61528.8572039943	2.694892174289147	47.00987842921426	-61527.8	-61615.9	-61439.3	1151841.0514871	304.29545773479964	NaN	1.9722409700427967	0.0039241268201174705	0.06198222895812598	1.96993	1.83878	2.08219	1404881.5574969184	249.48722412193015	1.9712698309665995	2024.0223252496462	0.003945223419954902	0.06206055092680263	2024.02	2023.89	2024.13	1416446.2044114983	247.45027302016382	2024.02232429821	23.322900000000004	0.029888496709867686	0.45628018583841423	23.3274	22.399	24.1541	1503948.437662655	233.05320263820062	23.318435951335303	3.889203537803138	0.008149533555562758	0.21577034763480202	3.87949	3.5207	4.35341	500000.00000000006	700.9999999999999	3.8832395790859806	0.17664910984308135	8.650039961661813E-5	0.0021540554687077373	0.176633	0.172653	0.180565	565210.843150976	620.1225688559134	0.17663597144302562	0.436659509272468	1.0269918908679081E-4	0.002719105281310897	0.436651	0.431226	0.44157	500000.0	701.0	0.43665104174556896	0.022055221825962933	3.096690429003581E-5	8.198922868749612E-4	0.022012	0.0206396	0.0237269	500000.00000000006	700.9999999999999	0.022040017004547153	0.36463615549215384	1.061175515964982E-4	0.0026839275429581966	0.364603	0.359221	0.370041	547924.7148173598	639.686421366907	0.3646262748245896	0.0030385204422253903	4.348875788157623E-6	8.572168747980265E-5	0.00303586	0.00289067	0.00321045	902112.3033369154	388.5325570923927	0.003037314420197535	0.0030385204422253903	4.348875788157623E-6	8.572168747980265E-5	0.00303586	0.00289067	0.00321045	902112.3033369154	388.5325570923927	0.003037314420197535	-61528.8572039943	2.694892174289147	47.00987842921426	-61527.8	-61615.9	-61439.3	1151841.0514871	304.29545773479964	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-179.89385306704708	0.27104719992873544	5.308655704798542	-179.709	-190.102	-170.088	913710.7884339974	383.60059270036584	NaN	
1	sims/sim_001/delphy-digested.log	112.00998573466477	0.0047162199047272365	0.12486854633012644	112.0	112.0	112.0	500000.0	701.0	112.00991683217144	-36054.78930099859	0.6744606031116324	17.771017324815162	-36054.5	-36089.6	-36020.8	504866.571375871	694.2428353788832	NaN	5326.110442225394	0.4887991814748145	12.811297904442245	5326.41	5299.75	5348.11	510226.1369431329	686.9503042316016	5326.095030231503	-41380.90000000002	0.2450421654911825	6.487835505341713	-41380.7	-41394.0	-41369.5	500000.0	701.0	NaN	2.5597611982881614	0.014342655318373209	0.3797419451005447	2.51507	1.92895	3.36164	500000.0	701.0	2.5330490314562137	2023.4347218259659	0.014336744320648076	0.37958544330386923	2023.48	2022.62	2024.05	499999.99999999994	701.0000000000001	2023.434686217993	24.820593295292433	0.048683940710826906	1.288975711283069	24.8165	22.6149	27.5812	500000.0	701.0	24.787288813427804	2.6977714550641965	0.019807078987065425	0.5244202370026291	2.6451	1.72357	3.66753	499999.99999999994	701.0000000000001	2.649602991922079	0.37135919543509244	1.1021958981239797E-4	0.0028451057117631043	0.371514	0.366087	0.376892	526027.9106873767	666.3144538128993	0.37134829408563186	0.1294814579172613	7.515326245246905E-5	0.0018515529418987283	0.129394	0.126136	0.133217	577446.0701699756	606.9830900344125	0.12946822666426835	0.20446745221112694	8.69543903451098E-5	0.002302239619632432	0.204584	0.200003	0.20897	500000.0	701.0	0.20445448964286678	0.29469189586305283	9.905082192598869E-5	0.002622509636260905	0.294777	0.289665	0.299362	500000.0	701.0	0.2946802090488777	1.522748302425107E-4	5.924663453696377E-7	1.5686378665815624E-5	1.5095E-4	1.23063E-4	1.82907E-4	500000.00000000006	700.9999999999999	1.5147715844289432E-4	1.522748302425107E-4	5.924663453696377E-7	1.5686378665815624E-5	1.5095E-4	1.23063E-4	1.82907E-4	500000.00000000006	700.9999999999999	1.5147715844289432E-4	-41380.90000000002	0.2450421654911825	6.487835505341713	-41380.7	-41394.0	-41369.5	500000.0	701.0	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-204.1157189728957	0.49012043414598183	12.819865311364087	-203.875	-230.829	-182.07	512302.7847128986	684.1657130488271	NaN	
2	sims/sim_002/delphy-digested.log	17.00142653352354	0.0014255156614503299	0.03774252940168244	17.0	17.0	17.0	500000.0	701.0	17.001386209203545	-32792.995435092715	0.630064942606211	14.889961852350806	-32793.7	-32821.2	-32764.7	627583.4518538179	558.4914627125022	NaN	5330.853780313842	0.593286417667688	14.071829440830765	5330.79	5304.2	5356.92	623039.6833474516	562.5644872519879	5330.83520583095	-38123.84893009984	0.080315282743699	1.9442634664812035	-38123.6	-38127.6	-38120.9	598100.4879006745	586.021926232247	NaN	2.162346319543506	0.023610020771428493	0.563869743087813	2.03288	1.38523	3.32055	614501.8265944875	570.3807292851166	2.099835774316519	2023.832225392297	0.023636795894690178	0.5641123306336827	2023.96	2022.65	2024.59	615366.7792201248	569.5790085454411	2023.8321467504572	23.875062910128406	0.07326298976728175	1.7120145874161632	23.6788	20.7377	27.2014	641863.0508593725	546.0666407432635	23.815368479893547	4.726777831669043	0.09114075225600674	2.413079431343973	4.15563	1.30115	9.33534	500000.0	701.0	4.210063919173805	0.3589737417974325	1.0460842839423614E-4	0.0027696550736646865	0.358896	0.354019	0.364465	500000.0	701.0	0.3589630605022949	0.08270869258202551	5.965727754259081E-5	0.001579510216940567	0.0826841	0.079502	0.0856677	500000.0	701.0	0.08269359241510645	0.1950438673323824	8.597057304416756E-5	0.0022761916747298253	0.19502	0.190545	0.199101	500000.0	701.0	0.1950305860104896	0.36327371754636256	9.965279669350959E-5	0.0026384477637485257	0.363391	0.357925	0.368152	500000.00000000006	700.9999999999999	0.363264132364268	2.544124236804563E-5	2.5237549986130515E-7	5.880736600301759E-6	2.4844E-5	1.54628E-5	3.84892E-5	645533.747155293	542.9615439077609	2.4770258404210774E-5	2.544124236804563E-5	2.5237549986130515E-7	5.880736600301759E-6	2.4844E-5	1.54628E-5	3.84892E-5	645533.747155293	542.9615439077609	2.4770258404210774E-5	-38123.84893009984	0.080315282743699	1.9442634664812035	-38123.6	-38127.6	-38120.9	598100.4879006745	586.021926232247	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-198.9125320970043	0.5919940226787788	14.038726036819565	-199.087	-225.624	-172.906	623257.1477070788	562.3681995296258	NaN	
3	sims/sim_003/delphy-digested.log	1904.5634807417973	0.12365486784908056	1.9245486372206941	1904.0	1902.0	1908.0	1446947.172957425	242.23413718941148	1904.5625089648393	-59797.92539229673	3.436030050547845	58.081058817057965	-59800.5	-59909.0	-59689.1	1226684.504135996	285.729540740283	NaN	5336.152054208271	0.3526716443240955	6.9580415279173895	5335.96	5323.74	5350.57	900440.612822679	389.2538775003287	5336.147517499468	-65134.077175463586	3.1348694917315054	52.65161375921815	-65134.5	-65234.8	-65036.0	1242520.5478896943	282.08789029307536	NaN	2.830508430813123	0.005802341804994597	0.12260171989909605	2.82466	2.58904	3.07397	785057.585689559	446.464063769458	2.8278692296495467	2023.1639372325208	0.005808094292435101	0.12274874226429315	2023.17	2022.92	2023.4	784731.8167679696	446.6494062182727	2023.1639335088316	25.23693380884452	0.03746759811844646	0.6334135392984281	25.2344	23.9464	26.4015	1226379.9577927897	285.8004958192743	25.228980301302485	4.737240756062763	0.008765626500191052	0.23208227370166934	4.72662	4.28805	5.19342	500000.0	701.0	4.731566575607586	0.09940169058487873	6.0690054129826235E-5	0.0016068544277151708	0.0994452	0.0964167	0.102457	499999.99999999994	701.0000000000001	0.09938870745389715	0.26010034094151224	9.488378177704438E-5	0.0025121813953300504	0.260063	0.255319	0.264647	500000.0	701.0	0.260088201180431	0.3570612168330956	1.0158104930348317E-4	0.002660723001656639	0.357121	0.351984	0.362047	510874.332748036	686.0787037677759	0.3570512955454082	0.28343673751783194	9.429629410682085E-5	0.002496626834086063	0.2833	0.27916	0.288515	500000.0	701.0	0.28342575049095386	0.002513394522111269	4.220346380664168E-6	8.682210703910016E-5	0.00251148	0.00233593	0.00268897	828177.7779517195	423.21831052611657	0.002511896755494109	0.002513394522111269	4.220346380664168E-6	8.682210703910016E-5	0.00251148	0.00233593	0.00268897	828177.7779517195	423.21831052611657	0.002511896755494109	-65134.077175463586	3.1348694917315054	52.65161375921815	-65134.5	-65234.8	-65036.0	1242520.5478896943	282.08789029307536	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-191.0454921540658	0.35616625742107305	7.012328294111213	-191.221	-203.582	-176.627	904209.5457212889	387.63138661670047	NaN	
4	sims/sim_004/delphy-digested.log	2041.8031383737518	0.10981910614121379	2.0314338258175186	2041.0	2039.0	2046.0	1024326.6498757973	342.17600415111644	2041.8021283001897	-48454.208131241096	3.1533041227831498	58.31588830129522	-48452.9	-48576.5	-48354.1	1024816.121297485	342.0125744667676	NaN	5324.062496433668	0.3593387219929436	7.055465798149805	5323.98	5311.88	5338.12	909169.1236894962	385.51683165134017	5324.057820802771	-53778.268901569136	2.8806386565023745	52.71028810527662	-53776.3	-53878.8	-53678.7	1046826.7481929457	334.8214024957238	NaN	2.440036633380883	0.004092071158766245	0.09567346423940692	2.4411	2.26027	2.63014	641196.8461913394	546.6340049579835	2.4381620618822484	2023.5546219686182	0.00407959590053787	0.09562481868483613	2023.55	2023.38	2023.75	637941.8402134848	549.4231259117704	2023.5546197092099	24.698808416547788	0.030676241724839817	0.5528314369584411	24.6759	23.6132	25.7188	1079212.2396147468	324.773929662918	24.69262586940165	1.3993815263908702	0.002326158504832007	0.061588313713818156	1.39581	1.28539	1.53053	500000.0	701.0	1.3980292560336647	0.019819463480741782	2.9835519569406994E-5	7.899372872648553E-4	0.0197992	0.0182494	0.0213067	500000.00000000006	700.9999999999999	0.019803741209909805	0.1626026176890156	8.295252849612932E-5	0.0020455510024947133	0.162725	0.158637	0.166248	576403.559801645	608.0809079677022	0.1625897323471095	0.12392602995720416	6.968652993576089E-5	0.0018450487610346012	0.12381	0.120646	0.127523	500000.0	701.0	0.12391230685319471	0.6936518601997144	1.061269668428389E-4	0.0026307039181512272	0.693548	0.689048	0.698931	570421.1018324862	614.4583341570177	0.693646870671588	0.0027514461055634844	4.042997403479045E-6	8.997840600229934E-5	0.00275479	0.00256031	0.00290973	707649.7485534076	495.30152553081444	0.0027499720753221793	0.0027514461055634844	4.042997403479045E-6	8.997840600229934E-5	0.00275479	0.00256031	0.00290973	707649.7485534076	495.30152553081444	0.0027499720753221793	-53778.268901569136	2.8806386565023745	52.71028810527662	-53776.3	-53878.8	-53678.7	1046826.7481929457	334.8214024957238	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-204.0733552068472	0.3621847105675801	7.111078019739052	-204.212	-216.359	-189.825	909237.545457635	385.4878208131928	NaN	
5	sims/sim_005/delphy-digested.log	790.962910128388	0.05737130536351281	1.1561629584371564	791.0	790.0	793.0	863056.8081968051	406.11463425252833	790.9620662283808	-40506.89286733239	1.6994786008615916	41.18346314914724	-40504.3	-40598.3	-40438.8	596861.677800971	587.2382379973764	NaN	5333.582268188302	0.3716481091389525	9.258819422507626	5333.73	5315.53	5349.76	564729.7271009611	620.6508763037692	5333.574229337233	-45840.47860199717	1.4309855638823497	34.33518047170899	-45838.3	-45917.9	-45784.3	608807.3100290768	575.7158204674975	NaN	4.658387617689014	0.012858059373753793	0.31797211557008004	4.63836	4.06027	5.24862	573140.110678512	611.5433093402947	4.647708961209278	2021.3361198288178	0.012845259142040821	0.3178665516788117	2021.36	2020.75	2021.93	572379.5460834602	612.3559138308074	2021.3360948343882	29.596139942938656	0.04895317940641495	1.115878794018865	29.509	27.5658	31.7246	674552.537989749	519.6037080292276	29.57530876409937	1.2730985663338077	0.004015576751940089	0.10109541977039814	1.27045	1.09504	1.47367	552994.6440018646	633.8216903215036	1.2690988131594363	0.08779993380884443	6.201432519868904E-5	0.001641916364319968	0.0878304	0.0846824	0.0908544	500000.0	701.0	0.08778456494899378	0.42399828388017147	1.0070765891926455E-4	0.00266637672283538	0.424056	0.418837	0.428961	500000.0	701.0	0.4239898974355638	0.4116693865905853	1.0180175228942986E-4	0.002695344381564968	0.411674	0.40614	0.416408	500000.0	701.0	0.4116605637357343	0.07653236961483591	5.575932950486214E-5	0.0014763065676229195	0.0764625	0.0736817	0.0795931	500000.0	701.0	0.07651814249101449	8.924045106990011E-4	1.922705845606651E-6	4.505458855540431E-5	8.93153E-4	8.09248E-4	9.79683E-4	638315.8957916123	549.1011618398203	8.912632786841221E-4	8.924045106990011E-4	1.922705845606651E-6	4.505458855540431E-5	8.93153E-4	8.09248E-4	9.79683E-4	638315.8957916123	549.1011618398203	8.912632786841221E-4	-45840.47860199717	1.4309855638823497	34.33518047170899	-45838.3	-45917.9	-45784.3	608807.3100290768	575.7158204674975	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-196.46369614835945	0.3726732747333833	9.28337462716508	-196.323	-214.468	-180.26	564849.525558219	620.5192429853143	NaN	
6	sims/sim_006/delphy-digested.log	62.001426533523535	0.0014255156615957452	0.037742529411471985	62.0	62.0	62.0	500000.0	701.0	62.00141516759323	-34732.794436519296	0.6094894273141633	16.13708865042559	-34732.4	-34761.6	-34700.3	500000.0	701.0	NaN	5335.417232524966	0.5008899242390599	13.261764289064269	5336.39	5308.72	5359.91	500000.0	701.0	5335.4007415108035	-40068.20998573472	0.15762147896890938	4.173250064618362	-40068.2	-40076.6	-40060.8	500000.00000000006	700.9999999999999	NaN	2.4860176890156893	0.018128354581759924	0.43615450413290496	2.43288	1.73223	3.28767	605513.8386997877	578.8472163619319	2.449864634877419	2023.5085164051366	0.018118216313718686	0.4359472459554801	2023.56	2022.71	2024.26	605412.001673401	578.9445848962253	2023.5084694390507	24.700807845934396	0.06473852057440506	1.5668414272979871	24.6424	21.8062	27.6513	598361.2652494233	585.7665266047865	24.651957922026003	3.0922003994293847	0.033322916718220505	0.7695799747292614	2.9931	1.80119	4.77982	657153.039512921	533.3613008315218	3.0003561913830725	0.19835681312410852	8.456291287837224E-5	0.0022389218946570573	0.198398	0.193719	0.20229	500000.0	701.0	0.19834418382129304	0.13732791012838785	7.196561345770264E-5	0.001905390698455313	0.137358	0.133354	0.140641	500000.0	701.0	0.137314677815348	0.24043508273894393	1.0303124557711229E-4	0.0024401531169997125	0.240411	0.235444	0.244862	624873.0079244849	560.9139706069005	0.2404227046273768	0.42388019828815976	1.0652692954702575E-4	0.0027637009494248786	0.42387	0.419163	0.429608	520744.5647099055	673.0747159987263	0.4238711916206251	8.496868074179748E-5	4.4533640607638684E-7	1.1790906865822504E-5	8.41955E-5	6.55122E-5	1.0917E-4	500000.0	701.0	8.415104839729996E-5	8.496868074179748E-5	4.4533640607638684E-7	1.1790906865822504E-5	8.41955E-5	6.55122E-5	1.0917E-4	500000.0	701.0	8.415104839729996E-5	-40068.20998573472	0.15762147896890938	4.173250064618362	-40068.2	-40076.6	-40060.8	500000.00000000006	700.9999999999999	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-194.74099857346647	0.5011845455677667	13.269564802580815	-193.815	-216.411	-165.217	500000.0	701.0	NaN	
7	sims/sim_007/delphy-digested.log	1659.904422253923	0.11820619741107402	2.055088771411094	1660.0	1657.0	1664.0	1159597.693758102	302.26000093539005	1659.9031507649695	-49573.18031383739	2.671722741127979	53.49061761566198	-49572.2	-49683.6	-49473.7	874410.9181833158	400.8412895028828	NaN	5346.588259629102	0.27691639494501025	6.532654752368696	5346.8	5332.89	5358.82	629804.7726457008	556.5216638921457	5346.584268516736	-54919.76647646214	2.4674195743791225	48.722112352425434	-54919.1	-55014.7	-54824.1	898921.5997514803	389.9116453502739	NaN	2.846497275320968	0.005594231272134891	0.12546660923736955	2.8411	2.6137	3.09315	696807.045322499	503.00869136272894	2.8437457752136996	2023.1482025677606	0.005597159647701467	0.1256318013790014	2023.15	2022.9	2023.38	695703.5841833112	503.8065175579814	2023.1481986670285	24.519711554921543	0.028837286414468446	0.5962363417796291	24.4891	23.4547	25.8218	819898.1696699973	427.49211178392255	24.51246794898951	0.11249369129814552	3.185393680013342E-4	0.007468476054982033	0.112475	0.100151	0.127644	637602.8719527776	549.7152152507225	0.11224738266326628	0.3682778159771754	9.969729348832737E-5	0.0026396258789049996	0.368211	0.36326	0.373222	500000.0	701.0	0.3682683650063722	0.04899112838801714	4.34511916175286E-5	0.0011504313291725715	0.0489749	0.0467197	0.0511355	500000.0	701.0	0.04897763673104262	0.4960483209700427	1.0094353067105739E-4	0.002672621758767652	0.496124	0.490845	0.501086	499999.99999999994	701.0000000000001	0.49604111852624805	0.0866827222539229	5.60965137545191E-5	0.0014852339942382747	0.0867646	0.083543	0.0894597	500000.0	701.0	0.08666997616019124	0.0022569169757489316	3.282686221523383E-6	7.785865173626287E-5	0.00225571	0.00211636	0.00242108	623064.5025481171	562.5420780137159	0.0022555742477499033	0.0022569169757489316	3.282686221523383E-6	7.785865173626287E-5	0.00225571	0.00211636	0.00242108	623064.5025481171	562.5420780137159	0.0022555742477499033	-54919.76647646214	2.4674195743791225	48.722112352425434	-54919.1	-55014.7	-54824.1	898921.5997514803	389.9116453502739	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-181.45447360912982	0.2791250754738858	6.57747840833975	-181.212	-195.061	-169.13	631199.8210712546	555.2916656489878	NaN	
8	sims/sim_008/delphy-digested.log	216.14978601997146	0.020261489737243548	0.5196186299094036	216.0	216.0	218.0	532919.1705417968	657.6982390099819	216.14916513541613	-36024.59885877322	0.8954027018589534	23.20869645554318	-36023.9	-36068.5	-35977.6	521702.99034992536	671.8382038885894	NaN	5330.709643366625	0.469083390014953	11.69230647832017	5330.91	5308.69	5353.04	564141.113430733	621.298451141933	5330.696820209754	-41355.310128387995	0.5562801778857579	14.728299058273773	-41354.4	-41381.7	-41325.9	500000.0	701.0	NaN	5.79034001426534	0.026389555119824406	0.6987005382959133	5.68851	4.53699	7.12329	500000.0	701.0	5.74925255667889	2020.2041226818812	0.026393236744762613	0.6987980144169792	2020.31	2018.87	2021.46	500000.0	701.0	2020.2040018071298	31.18402624821682	0.07071188868527503	1.841415551790486	31.1285	27.5722	34.5301	516855.6681471548	678.1390271997725	31.13024742482407	8.611981811697563	0.08130291187107859	1.7331336493230693	8.39197	5.90369	12.167	771322.7021484907	454.41421472970427	8.447078563079028	0.2900461911554921	1.099828421078916E-4	0.002585558999811551	0.290071	0.28491	0.295114	634204.0251443172	552.6612668852764	0.29003467048091963	0.09975449629101273	6.642801701467155E-5	0.00166119546856759	0.0997771	0.0966034	0.103039	560465.8083100012	625.3726718082573	0.0997406560762304	0.4244559614835948	1.225083757467845E-4	0.0028629685346100403	0.424296	0.419128	0.430387	641780.3802138034	546.1369820673453	0.424446307516087	0.18574334522111285	1.0060505925167102E-4	0.0023480896810740204	0.185656	0.181223	0.190421	643425.5532869613	544.7405658812568	0.18572850201623015	2.3342599857346659E-4	8.027430721765852E-7	2.0491725592582882E-5	2.32385E-4	1.93364E-4	2.72021E-4	537878.3842686276	651.6342917862136	2.325249610622883E-4	2.3342599857346659E-4	8.027430721765852E-7	2.0491725592582882E-5	2.32385E-4	1.93364E-4	2.72021E-4	537878.3842686276	651.6342917862136	2.325249610622883E-4	-41355.310128387995	0.5562801778857579	14.728299058273773	-41354.4	-41381.7	-41325.9	500000.0	701.0	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-197.8639443651926	0.4689519860668394	11.682987907599907	-197.723	-220.01	-175.717	564724.8866473014	620.6561961185618	NaN	
9	sims/sim_009/delphy-digested.log	231.3694721825963	0.036168319313107836	0.7952307058153076	231.0	231.0	233.0	725034.0399998829	483.4255781977583	231.36811265542084	-24951.284450784577	1.0830266499340546	25.35642080439884	-24949.9	-25004.7	-24906.1	639426.1716890252	548.1477229406557	NaN	5323.950413694724	0.4784470912752471	12.119143517529976	5324.74	5302.13	5348.68	546275.8513788942	641.6172326037802	5323.936615905356	-30275.234094151227	0.7639071894755448	17.03272903039796	-30273.3	-30310.1	-30245.0	705018.8711771494	497.1498130465365	NaN	5.312650941512119	0.0238333374205708	0.6266328916561172	5.29507	4.11781	6.50411	507027.33214048215	691.2842321937921	5.275831021293757	2020.6818830242487	0.023848090009391063	0.6264854778599287	2020.7	2019.5	2021.88	507894.14910528506	690.1044255332469	2020.6817859018452	30.874451640513573	0.07018130747445392	1.7596420905330277	30.7853	27.9905	35.0451	557547.9823458262	628.6454459494356	30.82463658982574	26.048643509272473	0.14486298646311838	3.818423607899122	25.8642	18.5743	33.5013	504469.22568030335	694.7896564499692	25.772973049695427	0.5338372268188303	1.0865251396430649E-4	0.002838736198597202	0.533865	0.528609	0.539823	513472.87872353673	682.6066468618991	0.5338296771603984	0.4020966291012845	1.0332327651581472E-4	0.0027356288725691224	0.401987	0.396843	0.407785	500000.0	701.0	0.4020873288011159	0.004148420385164057	1.3521720837311133E-5	3.580065516382696E-4	0.00414715	0.00342488	0.00481643	500000.0	701.0	0.00413297796228642	0.05991772895863059	5.588912159123914E-5	0.0013768562013313067	0.0599412	0.0572822	0.0624872	577517.8607614599	606.9076366536337	0.059901910612151804	2.5181746790299564E-4	8.308419042817919E-7	2.1963376528929238E-5	2.51281E-4	2.07777E-4	2.9108E-4	501564.2726237201	698.8137296273284	2.50862421194866E-4	2.5181746790299564E-4	8.308419042817919E-7	2.1963376528929238E-5	2.51281E-4	2.07777E-4	2.9108E-4	501564.2726237201	698.8137296273284	2.50862421194866E-4	-30275.234094151227	0.7639071894755448	17.03272903039796	-30273.3	-30310.1	-30245.0	705018.8711771494	497.1498130465365	NaN	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	-202.2868972895865	0.479044580151238	12.11592876969422	-201.663	-225.009	-178.645	547931.7436638983	639.6782154950251	NaN	
