replicate	mu	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.8573466476462197	0.33238231098430815	0.6947218259629101	0.3566333808844508	0.49072753209700426	0.5278174037089871	0.6576319543509273
sim_001	0.43081312410841655	0.028530670470756064	0.9771754636233951	0.17403708987161198	0.4593437945791726	0.09843081312410841	0.6833095577746077
sim_002	0.025677603423680456	0.021398002853067047	0.6761768901569187	0.3908701854493581	0.3338088445078459	0.5135520684736091	0.5320970042796006
sim_003	0.46504992867332384	0.34807417974322397	0.05135520684736091	0.38373751783166904	0.9914407988587732	0.181169757489301	0.7660485021398002
sim_004	0.9871611982881597	0.9372325249643366	0.3509272467902996	0.68188302425107	0.9557774607703281	0.06847360912981455	0.12981455064194009
sim_005	0.5706134094151213	0.8758915834522111	0.9885877318116976	0.0014265335235378032	0.9243937232524965	0.6947218259629101	0.37089871611982883
sim_006	0.8559201141226819	0.014265335235378032	0.7746077032810271	0.29814550641940085	0.15977175463623394	0.7646219686162625	0.2624821683309558
sim_007	0.24251069900142652	0.3223965763195435	0.5192582025677603	0.463623395149786	0.48074179743223966	0.5121255349500713	0.6947218259629101
sim_008	0.17118402282453637	0.37660485021398005	0.015691868758915834	0.21112696148359486	0.9586305278174037	0.7403708987161198	0.26961483594864477
sim_009	0.0	0.2867332382310984	0.4579172610556348	0.4136947218259629	0.32952924393723254	0.760342368045649	0.9415121255349501
sim_010	0.25962910128388017	0.927246790299572	0.47503566333808844	0.48787446504992865	0.4579172610556348	0.5563480741797432	0.9343794579172611
sim_011	0.6048502139800286	0.7475035663338089	0.06704707560627675	0.6119828815977175	0.7489300998573466	0.7631954350927247	0.1754636233951498
sim_012	0.47788873038516405	0.009985734664764621	0.24108416547788872	0.8430813124108416	0.04850213980028531	0.6205420827389444	0.41512125534950073
sim_013	0.44935805991440797	0.23823109843081314	0.7004279600570613	0.3723252496433666	0.15691868758915833	0.6733238231098431	0.43937232524964337
sim_014	0.5934379457917262	0.8530670470756063	0.20542082738944364	0.5977175463623395	0.5549215406562055	0.8145506419400856	0.6276747503566333
sim_015	0.3238231098430813	0.9900142653352354	0.29814550641940085	0.8616262482168331	0.3466476462196862	0.776034236804565	0.8701854493580599
sim_016	0.3437945791726106	0.8445078459343794	0.7146932952924394	0.9158345221112696	0.35235378031383735	0.09700427960057062	0.5021398002853067
sim_017	0.8059914407988588	0.21112696148359486	0.543509272467903	0.43366619115549215	0.33951497860199714	0.8031383737517832	0.3466476462196862
sim_018	0.49358059914407987	0.9586305278174037	0.3566333808844508	0.41797432239657634	0.992867332382311	0.012838801711840228	0.08273894436519258
