replicate	mu	kappa	pi_A	pi_C	pi_G	pi_T	rootHeight
sim_000	0.0031260164912290476	3.7952308675416204	0.17767414411197835	0.4355962984980807	0.02197378098088676	0.3647557764090541	1.9969832899661022
sim_001	0.0001488170136070403	1.8869101377074335	0.37685297717560656	0.12768864019018514	0.20434408541745025	0.2911142972167581	2.688545805781159
sim_002	1.538044838037557e-05	1.4881684496625147	0.3602744981365058	0.08225086689775957	0.19397788287630754	0.36349675208942694	2.0910157418145205
sim_003	0.002505527881426416	4.65547094825228	0.09686005631720362	0.2593448013722877	0.36264706915219197	0.28114807315831675	2.914419080393004
sim_004	0.0029497040387743644	1.5005211801395044	0.01952324886830015	0.16352687528900953	0.12715964911930613	0.6897902267233842	2.3346399927738726
sim_005	0.0009006332271200958	1.3919787961516863	0.09151035329067285	0.4157597433111094	0.41553688169577674	0.07719302170244118	4.535505077891903
sim_006	9.781290063230202e-05	1.741135952870161	0.20004739258026405	0.13620600238559527	0.23798671058402704	0.42575989445011375	2.1719517838235896
sim_007	0.0022050331969766155	0.10852893649554872	0.36830904322807273	0.048896866356459595	0.4959896608522532	0.08680442956321445	2.9020779506764827
sim_008	0.0002152018547637384	7.882757345698981	0.28478063647116797	0.09836222989076765	0.4296363480474803	0.18722078559058405	5.3514791108409066
sim_009	0.00019025326863634582	23.644577210868906	0.533670320104028	0.4014636602689394	0.003976513071651581	0.060889506555380904	6.344202275416039
sim_010	0.0004648164552239772	25.597492832227594	0.4962493170039136	0.14879156238425187	0.06312981784717833	0.29182930276465613	2.490439502341088
sim_011	0.002917522577018517	0.5297548858093426	0.2698534979049119	0.26220009638772596	0.1807683924364118	0.28717801327095044	2.4627525456628314
sim_012	0.0011353133288726583	7.146072712366309	0.16377869105494125	0.7535261937942784	0.020802022605272863	0.061893092545507615	2.5207872502094197
sim_013	0.0007598322862143454	39.27990855805824	0.4687315354059331	0.003997745813126496	0.2604496968650811	0.26682102191585927	3.188472966239695
sim_014	0.0012135690268186663	8.57301226372628	0.27693023434674713	0.2338615970106132	0.4454427254825474	0.04376544316009233	1.678900037869112
sim_015	0.0005647179465939866	12.463859371656776	0.7174997159328206	0.005862361869683219	0.10877035588456592	0.1678675663129304	2.1099218533837227
sim_016	0.0012428283593288682	1.069655756309857	0.6012464981784468	0.09116681893770755	0.044687206197779966	0.2628994766860656	3.6935166013664515
sim_017	0.00023650124050909755	0.6286874855935609	0.1661452987770587	0.785875100671432	0.025611064739761033	0.02236853581174833	1.7409841106255086
sim_018	0.0006238724434986887	5.493269756329261	0.1667299713139497	0.1571480078323774	0.45171153003688336	0.2244104908167895	3.1711566218112512
sim_019	0.0006392476855401461	5.340478119190743	0.23833846754623714	0.027966081011703853	0.283452823152992	0.450242628289067	1.7395184020963212
sim_020	0.0013640022638800374	7.09669678232388	0.25944641804488044	0.3675275778316361	0.13686306790493544	0.23616293621854806	4.088290867940176
sim_021	0.0006150002986273919	0.5654391486115343	0.024979270745287826	0.1890040174939261	0.47426300228190565	0.3117537094788804	2.8102692384169687
sim_022	0.0005092783025209637	3.1903505643695227	0.3006415499196069	0.07557257680199864	0.06718018253726295	0.5566056907411314	2.114016427016127
sim_023	0.000535611653656558	0.19448811787870612	0.16475693107706163	0.1446446705981997	0.23343647340714127	0.4571619249175975	2.4061852127775287
sim_024	0.002714291459453259	1.6878863134811857	0.34687691036272966	0.10163976612622344	0.03173592703338867	0.5197473964776582	1.8468851820045629
sim_025	0.0022585230510714133	1.2440686049805418	0.5165744059321478	0.041186491068702945	0.05401792427112182	0.38822117872802736	3.1259168940578235
sim_026	0.0017285421206940069	16.774308559428984	0.08743854680293439	0.4977610897352557	0.08943049000382342	0.3253698734579865	2.0045898965182687
sim_027	0.0004248216139270068	4.552818576356158	0.2799458973986973	0.13485787200096594	0.28861921588719786	0.29657701471313874	2.141404734661948
sim_028	0.0005265854706861784	2.962531217213088	0.14751119476616395	0.29437241858615193	0.5209213494698061	0.03719503717787816	3.485526666164735
