bin_lo	bin_hi	total	true_hits	fraction
0	5	1623862	5283	0.003253355272800275
5	10	26480	1923	0.07262084592145016
10	15	12820	1589	0.12394695787831514
15	20	7745	1321	0.17056165267914783
20	25	5005	1152	0.23016983016983017
25	30	3589	986	0.2747283365840067
30	35	2651	887	0.33459072048283667
35	40	1942	717	0.36920700308959836
40	45	1348	565	0.41913946587537093
45	50	1023	479	0.4682306940371456
50	55	813	419	0.5153751537515375
55	60	636	352	0.5534591194968553
60	65	563	325	0.5772646536412078
65	70	410	246	0.6
70	75	370	257	0.6945945945945946
75	80	315	246	0.780952380952381
80	85	261	216	0.8275862068965517
85	90	214	187	0.8738317757009346
90	95	185	175	0.9459459459459459
95	100	18121	18117	0.9997792616301528
