replicate	num_mutations
sim_000	2332
sim_001	956
sim_002	806
sim_003	716
sim_004	1739
sim_005	297
sim_006	48
sim_007	201
sim_008	339
sim_009	305
sim_010	447
sim_011	627
sim_012	1934
sim_013	219
sim_014	1377
sim_015	997
sim_016	128
sim_017	433
sim_018	12
sim_019	420
sim_020	503
sim_021	665
sim_022	48
sim_023	458
sim_024	390
sim_025	190
sim_026	254
sim_027	56
sim_028	486
sim_029	1318
sim_030	336
sim_031	95
sim_032	1181
sim_033	4555
sim_034	544
sim_035	3
sim_036	300
sim_037	165
sim_038	1860
sim_039	433
sim_040	750
sim_041	820
sim_042	86
sim_043	1615
sim_044	1130
sim_045	4087
sim_046	677
sim_047	834
sim_048	2380
sim_049	549
sim_050	1108
sim_051	74
sim_052	208
sim_053	766
sim_054	3818
sim_055	956
sim_056	754
sim_057	1765
sim_058	341
sim_059	599
sim_060	33
sim_061	743
sim_062	1443
sim_063	335
sim_064	222
sim_065	936
sim_066	550
sim_067	1156
sim_068	17
sim_069	391
sim_070	480
sim_071	751
sim_072	993
sim_073	311
sim_074	1780
sim_075	282
sim_076	809
sim_077	608
sim_078	1629
sim_079	197
sim_080	455
sim_081	1465
sim_082	168
sim_083	1125
sim_084	1485
sim_085	85
sim_086	432
sim_087	162
sim_088	1822
sim_089	191
sim_090	1497
sim_091	1258
sim_092	979
sim_093	630
sim_094	1092
sim_095	106
sim_096	300
sim_097	1353
sim_098	334
sim_099	289
sim_100	363
sim_101	241
sim_102	760
sim_103	1487
sim_104	584
sim_105	835
sim_106	737
sim_107	1355
sim_108	830
sim_109	792
sim_110	1538
sim_111	1049
sim_112	857
sim_113	258
sim_114	707
sim_115	777
sim_116	600
sim_117	317
sim_118	1459
sim_119	1039
sim_120	1096
sim_121	551
sim_122	1057
sim_123	603
sim_124	1083
sim_125	751
sim_126	347
sim_127	2076
sim_128	286
sim_129	260
sim_130	292
sim_131	17
sim_132	508
sim_133	1637
sim_134	398
sim_135	534
sim_136	744
sim_137	733
sim_138	160
sim_139	386
sim_140	350
sim_141	499
sim_142	2014
sim_143	541
sim_144	325
sim_145	3989
sim_146	4279
sim_147	88
sim_148	1622
sim_149	336
sim_150	2718
sim_151	305
sim_152	299
sim_153	9
sim_154	497
sim_155	245
sim_156	763
sim_157	1382
sim_158	1217
sim_159	258
sim_160	1603
sim_161	410
sim_162	537
sim_163	100
sim_164	255
sim_165	8
sim_166	314
sim_167	115
sim_168	966
sim_169	1264
sim_170	1572
sim_171	2601
sim_172	806
sim_173	696
sim_174	458
sim_175	152
sim_176	1155
sim_177	486
sim_178	114
sim_179	852
sim_180	2117
sim_181	1189
sim_182	1008
sim_183	481
sim_184	193
sim_185	541
sim_186	838
sim_187	113
sim_188	201
sim_189	1265
sim_190	1675
sim_191	406
sim_192	6
sim_193	29
sim_194	1654
sim_195	858
sim_196	1186
sim_197	1043
sim_198	61
sim_199	6976
