replicate	num_mutations
sim_000	611
sim_001	799
sim_002	950
sim_003	1874
sim_004	952
sim_005	892
sim_006	340
sim_007	2026
sim_008	2062
sim_009	5
sim_010	52
sim_011	312
sim_012	55
sim_013	50
sim_014	1553
sim_015	974
sim_016	221
sim_017	48
sim_018	1372
sim_019	1732
sim_020	524
sim_021	2458
sim_022	126
sim_023	1138
sim_024	100
sim_025	240
sim_026	289
sim_027	1548
sim_028	2494
sim_029	1442
sim_030	364
sim_031	5389
sim_032	395
sim_033	179
sim_034	6289
sim_035	422
sim_036	1167
sim_037	285
sim_038	121
sim_039	2960
sim_040	295
sim_041	77
sim_042	777
sim_043	53
sim_044	251
sim_045	534
sim_046	2043
sim_047	807
sim_048	2
sim_049	706
sim_050	182
sim_051	695
sim_052	206
sim_053	843
sim_054	1627
sim_055	485
sim_056	59
sim_057	1577
sim_058	2443
sim_059	122
sim_060	113
sim_061	71
sim_062	531
sim_063	815
sim_064	275
sim_065	2410
sim_066	1237
sim_067	210
sim_068	500
sim_069	78
sim_070	1114
sim_071	1208
sim_072	1063
sim_073	365
sim_074	169
sim_075	512
sim_076	38
sim_077	1181
sim_078	2893
sim_079	2262
sim_080	1068
sim_081	289
sim_082	1234
sim_083	3122
sim_084	738
sim_085	35
sim_086	207
sim_087	1727
sim_088	2561
sim_089	180
sim_090	18
sim_091	1715
sim_092	447
sim_093	98
sim_094	303
sim_095	850
sim_096	34
sim_097	378
sim_098	1788
sim_099	460
sim_100	1857
sim_101	323
sim_102	164
sim_103	685
sim_104	18
sim_105	736
sim_106	226
sim_107	756
sim_108	330
sim_109	949
sim_110	59
sim_111	2232
sim_112	495
sim_113	1341
sim_114	204
sim_115	40
sim_116	53
sim_117	1221
sim_118	2340
sim_119	2201
sim_120	773
sim_121	1434
sim_122	1604
sim_123	2336
sim_124	1145
sim_125	5941
sim_126	336
sim_127	326
sim_128	1337
sim_129	133
sim_130	872
sim_131	1994
sim_132	1087
sim_133	2025
sim_134	225
sim_135	156
sim_136	150
sim_137	830
sim_138	1215
sim_139	1313
sim_140	347
sim_141	634
sim_142	552
sim_143	1858
sim_144	209
sim_145	175
sim_146	1437
sim_147	202
sim_148	718
sim_149	795
sim_150	72
sim_151	679
sim_152	307
sim_153	19
sim_154	1545
sim_155	1475
sim_156	2709
sim_157	21
sim_158	915
sim_159	675
sim_160	1046
sim_161	158
sim_162	61
sim_163	333
sim_164	2532
sim_165	4011
sim_166	1541
sim_167	178
sim_168	919
sim_169	252
sim_170	27
sim_171	247
sim_172	385
sim_173	679
sim_174	658
sim_175	417
sim_176	755
sim_177	713
sim_178	207
sim_179	1981
sim_180	764
sim_181	595
sim_182	135
sim_183	920
sim_184	2122
sim_185	1505
sim_186	948
sim_187	71
sim_188	59
sim_189	3183
sim_190	713
sim_191	2337
sim_192	132
sim_193	1325
sim_194	295
sim_195	521
sim_196	196
sim_197	788
sim_198	432
sim_199	67
