# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_b/ebola_delphy.log <DASH-DASH>v0-log-every 50000 <DASH-DASH>v0-out-trees-file delphy_outputs_b/ebola_delphy.trees <DASH-DASH>v0-tree-every 500000 <DASH-DASH>v0-out-delphy-file delphy_outputs_b/ebola_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 1000000
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	coalescent	
1400000	55	-22824.5	3872.34	-26696.8	0.297179	2014.16	1.50468	0.128919	6.51452	10.5485	0.314567	0.21624	0.196888	0.272305	0.00219051	0.00219051	-26696.8	0.0	113.439	
1450000	56	-22816.9	3885.66	-26702.5	0.289902	2014.17	1.31268	0.0907691	2.76124	9.01164	0.318899	0.209268	0.203155	0.268678	0.00200157	0.00200157	-26702.5	0.0	126.002	
1500000	55	-22793.1	3893.51	-26686.6	0.287491	2014.17	1.25387	0.0964538	5.1545	5.98722	0.320402	0.213142	0.200714	0.265742	0.00224043	0.00224043	-26686.6	0.0	133.323	
1550000	55	-22801.6	3885.65	-26687.2	0.29069	2014.17	1.27299	0.100338	4.78243	11.4094	0.318098	0.218193	0.195566	0.268143	0.00244642	0.00244642	-26687.2	0.0	126.594	
1600000	55	-22809.6	3879.88	-26689.5	0.281329	2014.18	1.32239	0.117896	7.40365	7.78074	0.320547	0.21093	0.2021	0.266423	0.00227161	0.00227161	-26689.5	0.0	120.376	
1650000	55	-22819.5	3874.01	-26693.5	0.279761	2014.18	1.41754	0.118034	7.31962	6.79292	0.321041	0.209658	0.199194	0.270107	0.00188006	0.00188006	-26693.5	0.0	114.282	
1700000	55	-22794.9	3893.52	-26688.4	0.300726	2014.16	1.27495	0.0964888	5.12593	14.0256	0.313097	0.214498	0.199129	0.273276	0.0023071	0.0023071	-26688.4	0.0	134.84	
1750000	55	-22797.3	3886.34	-26683.7	0.274845	2014.18	1.20718	0.112574	5.39048	9.66793	0.321118	0.210752	0.199207	0.268922	0.0022822	0.0022822	-26683.7	0.0	127.111	
1800000	55	-22846.4	3854.86	-26701.2	0.272441	2014.19	1.52917	0.162097	7.80656	26.2786	0.320264	0.211488	0.194823	0.273425	0.00207769	0.00207769	-26701.2	0.0	98.2048	
1850000	55	-22823.7	3870.31	-26694	0.293056	2014.17	1.44545	0.114883	6.81558	11.1609	0.316259	0.213956	0.196578	0.273207	0.00195052	0.00195052	-26694	0.0	111.413	
1900000	55	-22793.2	3893.39	-26686.5	0.280552	2014.18	1.20275	0.0806777	5.92777	6.68069	0.320372	0.213004	0.202796	0.263828	0.00192317	0.00192317	-26686.5	0.0	133.217	
1950000	55	-22785.5	3897.73	-26683.3	0.257776	2014.2	1.15389	0.103775	14.0202	14.4311	0.318277	0.213834	0.19384	0.274049	0.00277429	0.00277429	-26683.3	0.0	139.475	
2000000	55	-22793.6	3889.99	-26683.6	0.281639	2014.18	1.1863	0.0818363	3.33446	5.1825	0.318352	0.213537	0.198127	0.269983	0.00248227	0.00248227	-26683.6	0.0	129.363	
2050000	55	-22805.8	3888.3	-26694.1	0.311001	2014.15	1.33267	0.0959953	3.1597	3.63497	0.317325	0.21839	0.195516	0.268768	0.00199035	0.00199035	-26694.1	0.0	127.365	
2100000	55	-22770.4	3909.51	-26680	0.270221	2014.19	1.08289	0.0667891	7.30694	5.6939	0.313582	0.213212	0.199805	0.273401	0.00278535	0.00278535	-26680	0.0	148.947	
2150000	56	-22765.1	3927	-26692.1	0.278845	2014.18	0.995228	0.0619139	4.98619	6.24101	0.311854	0.218648	0.192194	0.277303	0.00314327	0.00314327	-26692.1	0.0	166.42	
2200000	55	-22776.7	3906.29	-26682.9	0.273044	2014.19	1.14704	0.0723372	6.8795	14.5811	0.325243	0.211348	0.197265	0.266144	0.0028622	0.0028622	-26682.9	0.0	147.46	
2250000	55	-22803	3884.66	-26687.7	0.288199	2014.17	1.30195	0.0675638	-0.779678	10.1259	0.318366	0.212316	0.197627	0.271691	0.00207003	0.00207003	-26687.7	0.0	124.852	
2300000	55	-22826.2	3867.83	-26694	0.272967	2014.19	1.42756	0.133272	6.52998	12.6996	0.321439	0.213936	0.195723	0.268902	0.00165726	0.00165726	-26694	0.0	109.316	
2350000	55	-22827.5	3867.83	-26695.3	0.296768	2014.16	1.45058	0.16283	7.48573	6.57083	0.317776	0.211823	0.199384	0.271018	0.00246162	0.00246162	-26695.3	0.0	108.384	
2400000	55	-22831.1	3864.79	-26695.9	0.292433	2014.17	1.48869	0.151336	9.39744	8.61457	0.316511	0.218277	0.197538	0.267674	0.00218985	0.00218985	-26695.9	0.0	105.779	
2450000	55	-22806.5	3883.81	-26690.3	0.267823	2014.19	1.28577	0.117394	9.38155	4.53935	0.318007	0.211369	0.202706	0.267918	0.00213371	0.00213371	-26690.3	0.0	123.565	
2500000	55	-22815.6	3874.26	-26689.9	0.289469	2014.17	1.34112	0.128857	8.15534	8.78557	0.317618	0.210929	0.199967	0.271486	0.00197258	0.00197258	-26689.9	0.0	115.085	
2550000	56	-22861.7	3858.55	-26720.2	0.387571	2014.07	1.83675	0.129075	1.59036	17.8449	0.318029	0.216141	0.197805	0.268025	0.00165533	0.00165533	-26720.2	0.0	100.556	
2600000	55	-22810.1	3883.58	-26693.6	0.304047	2014.16	1.4084	0.106251	5.36626	9.00988	0.321829	0.213746	0.198553	0.265872	0.00262945	0.00262945	-26693.6	0.0	124.157	
2650000	55	-22806.8	3884.34	-26691.2	0.291544	2014.17	1.36997	0.0795546	3.09006	9.29186	0.316836	0.215236	0.202026	0.265902	0.00224563	0.00224563	-26691.2	0.0	124.608	
