item                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
joint                -5868.43 0.738266 22.30747 -5867.92 -5912.60 -5825.24 76680.50 913.0091 NaN     
prior                -413.009 0.736071 20.95381 -413.122 -452.574 -370.974 86391.98 810.3761 NaN     
likelihood           -5455.42 0.128343 9.843722 -5454.87 -5475.05 -5437.01 11901.04 5882.676 NaN     
rootHeight           6.33413  0.019523 0.75433  6.232632 5.007771 7.766831 46895.68 1492.887 6.290959
age(root)            1997.646 0.019523 0.75433  1997.748 1996.213 1998.973 46895.68 1492.887 1997.646
treeLength           68.80299 0.252771 7.151739 68.38251 54.91349 82.37679 87456.02 800.5166 68.43524
skygrid.precision    5.09935  NaN      NaN      5.09935  5.09935  5.09935  10000    7001     5.09935 
skygrid.logPopSize1  1.626915 0.008613 0.480436 1.601399 0.741712 2.599154 22499.13 3111.675 NaN     
skygrid.logPopSize2  1.498561 0.009018 0.403949 1.479382 0.713941 2.279679 34894.84 2006.313 1.440429
skygrid.logPopSize3  1.115583 0.009625 0.416312 1.110616 0.287678 1.910592 37424.50 1870.699 NaN     
skygrid.logPopSize4  0.749873 0.009989 0.44296  0.750313 -0.09620 1.639545 35605.63 1966.261 NaN     
skygrid.logPopSize5  0.479147 0.009487 0.463944 0.478334 -0.43063 1.372158 29271.81 2391.720 NaN     
skygrid.logPopSize6  0.400657 0.006849 0.460468 0.396088 -0.46859 1.333289 15486.76 4520.635 NaN     
skygrid.logPopSize7  0.568429 0.005822 0.44609  0.558834 -0.29191 1.436149 11923.81 5871.441 NaN     
skygrid.logPopSize8  0.943769 0.005649 0.423788 0.934312 0.124395 1.787253 12438.30 5628.581 NaN     
skygrid.logPopSize9  1.275967 0.006177 0.429824 1.270189 0.433468 2.120467 14457.72 4842.393 NaN     
skygrid.logPopSize10 1.384398 0.007355 0.4592   1.36862  0.555591 2.328159 17962.64 3897.532 NaN     
skygrid.logPopSize11 1.333724 0.006969 0.48973  1.324129 0.3969   2.304384 14177.55 4938.087 NaN     
skygrid.logPopSize12 1.345785 0.006572 0.498906 1.332892 0.365831 2.29436  12147.17 5763.480 NaN     
skygrid.logPopSize13 1.452395 0.006466 0.524463 1.435563 0.400674 2.4512   10641.42 6579.008 NaN     
skygrid.logPopSize14 1.632851 0.006804 0.554618 1.609032 0.554211 2.723848 10537.15 6644.105 NaN     
