item                                 mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
joint                                -49695.4 2.704642 61.35847 -49693.9 -49814.0 -49574.6 272037.9 514.6709 NaN     
prior                                -1123.31 2.89026  63.19510 -1122.00 -1248.77 -1003.54 292863.9 478.0717 NaN     
likelihood                           -48572.1 0.507232 17.10484 -48571.6 -48605.1 -48538.0 123121.2 1137.171 NaN     
rootHeight                           0.424431 0.000725 0.029238 0.422874 0.369224 0.480849 86136.76 1625.438 0.423446
age(root)                            2019.928 0.000725 0.029239 2019.929 2019.871 2019.983 86133.41 1625.501 2019.928
treeLength                           22.41708 0.047791 1.055714 22.35870 20.34828 24.46185 286914.4 487.9852 22.39234
exponential.popSize                  6.437647 0.040342 1.172868 6.315333 4.288792 8.737677 165641.8 845.2572 6.334909
exponential.growthRate               11.81240 0.042037 1.407517 11.78254 8.960526 14.47118 124885.0 1121.110 11.72800
kappa                                5.366031 0.004074 0.459766 5.343255 4.497755 6.285854 10994.19 12734.89 5.346493
frequencies1                         0.296206 3.05E-5  0.002573 0.296233 0.291152 0.301197 19653.35 7123.973 0.296194
frequencies2                         0.181531 2.52E-5  0.002174 0.18155  0.177247 0.185728 18801.75 7446.645 0.181517
frequencies3                         0.192974 2.54E-5  0.002241 0.192974 0.18865  0.197313 17947.25 7801.191 0.192961
frequencies4                         0.32929  3.16E-5  0.002627 0.329289 0.324245 0.334555 20221.31 6923.883 0.32928 
alpha                                0.054927 0.000437 0.036913 0.048908 0.002791 0.12396  19651.47 7124.656 0.041359
clock.rate                           0.001008 2.22E-6  6.2E-5   0.001007 0.000886 0.001129 179802.4 778.6878 0.001006
meanRate                             0.001008 2.22E-6  6.2E-5   0.001007 0.000886 0.001129 179802.4 778.6878 0.001006
age(NC_045512.2|NC_045512.2|2019-12) 0.389016 0.000514 0.0234   0.386235 0.352462 0.430114 67557.87 2072.445 0.388319
treeLikelihood                       -48572.1 0.507232 17.10484 -48571.6 -48605.1 -48538.0 123121.2 1137.171 NaN     
branchRates                          0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                           -1115.73 2.886784 63.13117 -1114.41 -1241.04 -996.096 292752.0 478.2545 NaN     
