# BEAST v10.5.0
# Generated Thu Oct 16 11:24:28 UTC 2025 [seed=1760613865114]
# -beagle -working beastX_run_a/ebola_dudas.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
0	-254147.79552234442	-59492.67093146143	-194655.124590883	233.7549859837965	1782.0559740162034	1924.4445134282528	12.4882	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.001	9.99999999999997E-4	-194655.124590883	0.0	-59483.148496641836
200000	-89617.5929816586	-11731.526655215477	-77886.06632644312	205.99132611677825	1809.8196338832217	4200.176141555185	12.4882	3.291071164585244	3.267029690647942	3.7103055124092013	4.190902626246241	4.456265079505093	4.78574543404481	4.482905799494483	4.902989923072282	5.629260816677489	6.006655098958272	6.2216039439842685	7.17799291377082	7.545452502718384	8.498607025767853	8.948973255305098	8.764023351259027	8.971121803593253	8.612075726800722	8.98557393716952	9.174694595365331	9.21632365380471	8.725078603427315	8.70346545534577	7.2898085358892635	6.1368206260050995	2.0	10.697858781746923	0.3045655384448192	0.22554916693929433	0.20080532311001154	0.269079971505875	6.282414414565871E-5	6.282414414565874E-5	-77886.06632644312	0.0	-11719.756808502014
400000	-76466.36329393002	-11553.548503168326	-64912.814790761695	176.65211818803846	1839.1588418119616	4286.84370685062	12.4882	2.7876543521716615	3.5366905704081177	3.6792993486218837	3.846971025271844	3.4882453285683304	3.421199712740632	3.623910937228635	4.522612651343451	5.274577579464928	5.304849759693998	5.624290587298338	6.1992418085002114	6.785483257374412	7.5407060850366685	8.44033153202341	9.26850335755129	9.15237145605129	9.128992223203214	9.194156431535433	8.678869266200847	8.493294541125278	8.84780984482751	8.79449747283542	7.6303361856249055	6.236148013508695	2.0	10.768590667385466	0.3002744657572845	0.2267624086570613	0.2029449405315364	0.27001818505411795	4.515341418524732E-5	4.5153414185247277E-5	-64912.814790761695	0.0	-11541.766274228534
600000	-72212.36395886051	-11215.500189000872	-60996.86376985965	125.31815937699565	1890.4928006230043	3798.2906992218745	12.4882	3.2981704615591223	3.1976650672233538	2.9517538300993937	3.382538163600079	3.527561543993887	3.210931717979277	3.5041979086258745	3.8278075628039776	4.493276339285416	5.104345812867132	5.430622133920034	6.344441375754845	6.684977060404123	7.551873455812922	8.08136138176061	8.638945302598714	9.226129369002614	9.093253629577227	9.437627505235266	9.286007352235517	8.84629837426206	8.360633744429478	7.709158761222607	7.378670956894748	6.0446678536530625	2.0	10.577488622163122	0.31143818094666126	0.22345136295747067	0.1982091362031564	0.2669013198927118	4.403182562422754E-5	4.4031825624227506E-5	-60996.86376985965	0.0	-11203.751538709532
800000	-69996.9176618182	-10756.669602595513	-59240.24805922268	68.19963862212609	1947.611321377874	3247.6786653754407	12.4882	2.237781861301185	2.679204243377511	2.5535251949786058	2.5669845738301933	2.8215819717124107	2.3435217293496313	2.8779382274020824	3.4256536171796057	4.250350162289519	4.6514544902856665	5.5195703499980135	6.0642013900404415	6.85354700874792	7.57345857113072	7.753826570148115	8.05223128283801	8.478325825478665	8.406985655268556	9.126110120840695	9.27264186398231	8.836260246390855	8.457424359153709	7.885499942413953	7.062180915889788	5.799857356296791	2.0	10.814208671448739	0.30699645717730917	0.2212266752040837	0.20245860718489128	0.26931826043371593	4.8695666919444495E-5	4.86956669194444E-5	-59240.24805922268	0.0	-10744.879416265461
1000000	-68750.43593720981	-10335.166145372603	-58415.269791837214	34.38019596090739	1981.4307640390925	2586.156053011573	12.4882	2.1279030961897	2.6780362331466216	2.6600756502212293	2.604700693650456	2.621364328698061	2.678966595849604	2.542374463194674	3.36885307784045	3.795515899347888	4.382951940162103	5.060915858025888	5.7294311353608816	6.365669466334689	6.738165051504413	7.4714013074355705	7.946817056475102	8.191416892165101	7.784260579337057	7.93924915393739	7.676809749308141	8.130215311105985	7.932468069999469	7.149007950009905	6.547956053216523	5.449116129216547	2.0	11.328922631321955	0.31261227955740056	0.21932920521140456	0.19919771586005589	0.26886079937113905	5.8146832488538156E-5	5.8146832488538325E-5	-58415.269791837214	0.0	-10323.287676350812
1200000	-67561.46379837554	-9685.62508820035	-57875.83871017519	15.494999794725176	2000.315960205275	1917.4580650854027	12.4882	1.406753217401609	1.911317793491933	2.169946093657683	2.049498219790914	2.3621623739624296	2.4471073989928125	2.5326234729854917	3.3153756223967696	3.5841571746368652	4.344305637659018	4.220276924698489	5.115658999718103	6.17695642622641	6.492983958876161	7.0342854259998875	7.001417965928424	7.063078203325002	7.454323755974114	7.326365065746054	7.245109513194445	7.54007749434957	7.3670816030993365	6.514039171962044	5.882912559253817	4.967451902939416	2.0	10.036890048252861	0.3072184594320116	0.218931828294178	0.20415210975331616	0.26969760252049424	7.733022348641117E-5	7.733022348641127E-5	-57875.83871017519	0.0	-9673.97363704872
1400000	-66715.85491748221	-9244.564266877447	-57471.29065060476	9.50482053252341	2006.3061394674767	1482.2671962114414	12.4882	1.2585296194011897	1.6127387632667742	1.7834307323989151	1.9766733972389592	2.39572169867116	1.7565354821478012	2.1877223216162394	3.134457275275446	3.4129945247294575	3.8205746459783514	4.2569544499011815	4.6993949962149175	5.617447294585376	6.191730109015788	6.791154019945893	6.897248944654347	7.239658426240485	7.020025824756115	7.093144053174423	6.823030274086452	6.527923823228057	6.010814304452899	6.01533100989996	5.501140079229068	4.520524091880047	2.0	9.789726429368772	0.3113573199130312	0.2186640308556971	0.2046522618986566	0.2653263873326151	1.0041520327795635E-4	1.0041520327795607E-4	-57471.29065060476	0.0	-9232.958395512755
1600000	-66149.38300209351	-8779.031804984692	-57370.35119710882	7.951641644634801	2007.8593183553653	1134.8958413443886	12.4882	1.2525935436273963	1.176635271256907	1.4582545932374205	2.2258952937471053	2.373348775044051	1.7530407584924168	2.0145123612738085	2.976299723386243	3.3506379393705195	3.412747849191173	4.282274910733028	4.832270786947075	5.3011103064006395	5.849300743123649	6.318129623963823	6.355959382695394	6.292794243952959	6.292912158876908	6.124215780676048	6.15961298522894	5.662276101634438	5.8417830135702244	5.361192652004779	4.957284639483353	4.071997760052429	2.0	10.32588271409737	0.3106669200987612	0.22346629204417465	0.20474127964454947	0.26112550821251457	1.3128430289643676E-4	1.3128430289643717E-4	-57370.35119710882	0.0	-8767.327978388246
1800000	-65551.64303568465	-8351.166647483466	-57200.47638820118	6.131899827695889	2009.6790601723042	860.7748845556117	12.4882	2.1501379628721304	2.220046308124906	1.3328626886769468	1.9465068906492535	1.8212131260385875	1.780398014328581	1.9810711211716	3.0161086649131463	3.0689703986217833	3.1656061772797517	3.7327403877342022	4.302341805667887	5.008116238050118	5.66959115705404	6.071827298624491	5.603119965148675	5.862057387199525	5.732966884053181	5.418966214735308	5.500865183636455	5.29268790501046	4.840056555639525	5.166169686747838	4.1555169801895095	3.392493734077164	2.0	9.948663009383163	0.30773057009214816	0.22463993777099503	0.20105129282581657	0.2665781993110401	1.689856503172075E-4	1.6898565031720828E-4	-57200.47638820118	0.0	-8339.531381783496
