# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola_dudas.fasta <DASH-DASH>v0-steps 10000000000 <DASH-DASH>v0-out-log-file delphy_outputs_b/ebola_dudas_delphy.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_b/ebola_dudas_delphy.trees <DASH-DASH>v0-tree-every 10000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_b/ebola_dudas_delphy.dphy <DASH-DASH>v0-delphy-snapshot-every 10000000 <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-prior-double-half-time 0.5 <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 25 <DASH-DASH>v0-skygrid-cutoff 2
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
0	3624	-116272	-31868.5	-84403.6	2.9217	2012.89	422.932	0	12.4882	0.600391	0.668933	0.998356	0.787426	0.857257	1.33565	1.17059	1.33835	1.13833	0.963156	0.582944	0.678623	0.553139	0.623328	-0.0706927	0.463982	0.770997	1.39712	1.34267	1.45193	1.59107	1.81377	1.94895	2.23027	2.22876	2	1	0.320067	0.213308	0.197568	0.269057	0.001	0.001	-84403.6	0.0	-26619.6	
2000000	3007	-80886.3	-10646.1	-70240.2	2.82741	2012.98	222.862	0	12.4882	-0.181837	-0.153799	0.435445	0.789427	1.29723	1.29533	1.37534	2.22847	2.12993	2.17099	2.69622	3.09366	3.3661	3.26645	3.01816	2.69204	2.05088	1.67037	1.32282	0.85988	1.20601	1.29356	0.409321	0.010301	0.114321	2	9.34776	0.309917	0.220904	0.204742	0.264436	0.000724836	0.000724836	-70240.2	0.0	-5394.85	
4000000	2927	-78758.3	-10131.8	-68626.5	2.17307	2013.64	186.924	0	12.4882	-0.528114	-0.11823	0.190484	0.566188	0.674722	0.895311	1.05882	1.86721	1.87809	2.06763	2.39936	2.84504	3.30665	3.04361	2.62577	2.30011	1.76777	0.615831	0.714961	0.481251	-0.0215724	0.171243	-0.157304	0.203374	0.117113	2	10.6733	0.308445	0.225052	0.199402	0.267102	0.000828462	0.000828462	-68626.5	0.0	-4880.33	
6000000	2881	-77317.1	-9711.48	-67605.6	2.00942	2013.8	163.249	0	12.4882	-1.15564	-0.58963	-0.438968	-0.0512302	0.259829	0.640979	0.922519	1.8019	1.58256	1.7066	2.56642	2.7724	2.86691	2.99815	2.17689	1.68194	0.970194	0.0926058	-0.0799974	0.284364	-0.0849984	-0.513589	-1.00839	-1.02333	-1.00413	2	10.5577	0.311606	0.21873	0.201753	0.267911	0.000939672	0.000939672	-67605.6	0.0	-4460	
8000000	2864	-76703.5	-9516.68	-67186.8	1.91109	2013.9	152.773	0	12.4882	0.0381683	-0.0769116	-0.130313	0.113562	0.443788	0.671069	0.943897	1.29178	1.50113	1.83169	2.46482	2.56181	2.72039	2.89841	1.85672	1.42204	0.765895	-0.394842	-0.429865	-0.502445	-0.645027	-1.03807	-0.8207	-0.652721	-1.016	2	10.7491	0.311537	0.221898	0.200612	0.265953	0.00102419	0.00102419	-67186.8	0.0	-4265.17	
10000000	2843	-76102.3	-9343.02	-66759.3	1.9154	2013.89	144.713	0	12.4882	-0.213031	-0.212128	0.304423	0.326488	0.306024	0.352834	0.942206	1.44379	1.34099	1.87573	2.61061	2.48541	2.87608	2.65074	1.74813	1.40835	0.340041	-0.334604	-0.601132	-0.719845	-0.894998	-1.34155	-1.45221	-1.43261	-1.51017	2	10.2266	0.302626	0.228925	0.198138	0.270311	0.00107205	0.00107205	-66759.3	0.0	-4091.61	
12000000	2835	-75900.9	-9292.2	-66608.7	1.82161	2013.99	142.609	0	12.4882	-0.386595	-0.133093	-0.238709	-0.356029	0.195104	0.743855	0.82884	1.57583	1.40585	1.65395	2.36573	2.72235	2.77491	2.65338	1.731	1.52712	0.208983	-0.410225	-0.499587	-0.529601	-0.852618	-0.486324	-0.490448	-0.306615	-0.424742	2	9.96267	0.30642	0.218792	0.21076	0.264028	0.00110638	0.00110638	-66608.7	0.0	-4040.83	
14000000	2839	-75888.1	-9253.95	-66634.2	1.7722	2014.04	141.382	0	12.4882	-0.469729	-0.301835	-0.154002	0.13517	0.317681	0.579943	0.640834	1.18175	1.38363	1.82403	2.32427	2.53988	2.78333	2.55405	1.77814	1.41071	-0.0200201	-0.0664943	-0.506876	-0.964554	-1.55335	-1.41186	-1.02082	-0.989779	-1.18704	2	10.395	0.31101	0.220121	0.206778	0.26209	0.00109928	0.00109928	-66634.2	0.0	-4002.51	
16000000	2834	-75766.9	-9219.07	-66547.9	1.84662	2013.96	140.481	0	12.4882	0.0197015	0.041057	0.0136289	0.118177	0.308996	0.483153	1.14503	1.34525	1.50942	1.64428	2.4339	2.55731	2.7383	2.33144	1.52163	1.42826	0.0311559	-0.582604	-0.808077	-0.646076	-0.932817	-1.26541	-1.28898	-0.987653	-1.0722	2	10.241	0.313732	0.222186	0.198881	0.265201	0.00107449	0.00107449	-66547.9	0.0	-3967.65	
18000000	2824	-75451.9	-9134.57	-66317.4	1.76404	2014.05	135.711	0	12.4882	-0.575319	-0.569296	-0.190029	0.176237	0.280439	0.285379	1.17582	1.44004	1.06636	1.81053	2.48995	2.53516	2.72131	2.45878	1.60464	1.28316	0.051354	-0.615273	-0.774672	-0.981902	-1.33106	-0.780183	-0.427728	-0.353844	-0.447084	2	9.88135	0.307045	0.223547	0.204655	0.264753	0.00111304	0.00111304	-66317.4	0.0	-3883.22	
