item                       mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                    2783.826 0.062788 1.874711 2784     2780     2787     7854277. 891.4887 2783.825
posterior_for_Delphy       -74899.4 2.641374 102.2416 -74903.9 -75090.7 -74691.7 4673326. 1498.290 NaN     
prior_for_Delphy           -9123.36 1.695529 56.86541 -9125.19 -9231.81 -9009.99 6224951. 1124.828 NaN     
likelihood_really_logG     -65776.0 1.223255 50.02482 -65777.6 -65877.1 -65681   4186824. 1672.388 NaN     
rootHeight                 1.800566 0.000911 0.049912 1.79502  1.70713  1.89832  2332447. 3001.996 1.799883
age(root)                  2014.009 0.000909 0.049893 2014.01  2013.9   2014.09  2324019. 3012.883 2014.009
treeLength                 135.2791 0.068744 2.394289 135.307  130.492  139.916  5772183. 1213.059 135.2579
skygrid.isloglinear        0        0        0        0        0        0        NaN      NaN      NaN     
skygrid.precision          12.4882  2.74E-6  3.42E-6  12.4882  12.4882  12.4882  44852206 1.561127 12.4882 
skygrid.logPopSize1        -0.61290 0.007854 0.431024 -0.61951 -1.41894 0.226813 2324688. 3012.016 NaN     
skygrid.logPopSize2        -0.47944 0.006156 0.336975 -0.47655 -1.14482 0.166132 2336738. 2996.483 NaN     
skygrid.logPopSize3        -0.21205 0.00475  0.25816  -0.21350 -0.71400 0.291453 2369965. 2954.473 NaN     
skygrid.logPopSize4        0.023082 0.004039 0.201442 0.016544 -0.356   0.431215 2815200. 2487.211 NaN     
skygrid.logPopSize5        0.210778 0.002996 0.15437  0.209906 -0.08713 0.510157 2637713. 2654.572 NaN     
skygrid.logPopSize6        0.388874 0.002946 0.161919 0.38949  0.062425 0.69336  2318413. 3020.169 NaN     
skygrid.logPopSize7        0.822885 0.002948 0.171941 0.820107 0.465753 1.13761  2058395. 3401.678 0.804045
skygrid.logPopSize8        1.305536 0.002693 0.14854  1.30538  1.00528  1.57888  2301369. 3042.535 1.29701 
skygrid.logPopSize9        1.268993 0.002791 0.127831 1.26568  1.01509  1.50307  3337101. 2098.228 1.262525
skygrid.logPopSize10       1.593358 0.002104 0.116475 1.59047  1.37451  1.82764  2285511. 3063.646 1.589099
skygrid.logPopSize11       2.347358 0.002482 0.133266 2.34667  2.1004   2.6201   2428342. 2883.448 2.343562
skygrid.logPopSize12       2.466507 0.002429 0.132773 2.46318  2.19934  2.70574  2344093. 2987.082 2.462937
skygrid.logPopSize13       2.73463  0.002418 0.120923 2.73385  2.49777  2.97514  2799277. 2501.359 2.731957
skygrid.logPopSize14       2.552996 0.002872 0.128454 2.55106  2.29206  2.80061  3500363. 2000.363 2.549763
skygrid.logPopSize15       1.545956 0.003375 0.133391 1.54622  1.28347  1.81151  4482313. 1562.139 1.540151
skygrid.logPopSize16       1.113939 0.003491 0.154054 1.11207  0.798895 1.39841  3594999. 1947.705 1.103135
skygrid.logPopSize17       0.14054  0.004393 0.16649  0.134915 -0.16571 0.468761 4875550. 1436.145 NaN     
skygrid.logPopSize18       -0.73919 0.003997 0.196399 -0.73665 -1.10969 -0.34140 2899642. 2414.780 NaN     
skygrid.logPopSize19       -0.76576 0.004368 0.224651 -0.77067 -1.19176 -0.31581 2646646. 2645.611 NaN     
skygrid.logPopSize20       -0.87088 0.005396 0.263203 -0.87362 -1.38627 -0.35524 2943309. 2378.954 NaN     
skygrid.logPopSize21       -1.13155 0.00729  0.34112  -1.12296 -1.82361 -0.49590 3197475. 2189.852 NaN     
skygrid.logPopSize22       -1.25802 0.008918 0.418812 -1.25154 -2.0502  -0.40701 3175081. 2205.297 NaN     
skygrid.logPopSize23       -1.28715 0.011052 0.502084 -1.2795  -2.33274 -0.37517 3393032. 2063.640 NaN     
skygrid.logPopSize24       -1.29528 0.012751 0.581138 -1.2897  -2.43202 -0.19034 3371150. 2077.036 NaN     
skygrid.logPopSize25       -1.29457 0.014239 0.652615 -1.2988  -2.57235 -0.08094 3333036. 2100.787 NaN     
skygrid.cutOff             2        0        0        2        2        2        NaN      NaN      2       
kappa                      10.21296 0.008802 0.5208   10.2014  9.22373  11.2299  2000000  3501     10.19972
frequencies1               0.310371 5.95E-5  0.003187 0.310364 0.304248 0.31678  2436394. 2873.918 0.310355
frequencies2               0.2215   4.92E-5  0.002851 0.221532 0.215686 0.226928 2082905. 3361.649 0.221482
frequencies3               0.201818 4.58E-5  0.00271  0.201763 0.196519 0.207151 2000000  3501     0.2018  
frequencies4               0.266311 5.26E-5  0.003052 0.266255 0.260055 0.272007 2082319. 3362.596 0.266293
clock.rate                 0.001103 6.42E-7  2.87E-5  0.001103 0.001045 0.001156 3504498. 1998.003 0.001103
meanRate                   0.001103 6.42E-7  2.87E-5  0.001103 0.001045 0.001156 3504498. 1998.003 0.001103
treeLikelihood_really_logG -65776.0 1.223255 50.02482 -65777.6 -65877.1 -65681   4186824. 1672.388 NaN     
branchRates                0        0        0        0        0        0        NaN      NaN      NaN     
skygrid                    -3871.95 1.695665 56.86508 -3873.85 -3980.53 -3758.52 6226027. 1124.633 NaN     
