item                       mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
numMuts                    1210.011 0.277404 3.9393   1210     1202     1217     6943500. 201.6561 1210.004
posterior_for_Delphy       -31765.8 26.61510 2159.605 -31883.5 -35868.5 -27532.8 212665.7 6584.041 NaN     
prior_for_Delphy           -1657.87 26.19313 2112.353 -1774.69 -5851.17 2296.49  215293.8 6503.668 NaN     
likelihood_really_logG     -30107.9 8.195643 138.3644 -30100   -30393.6 -29860.6 4912550. 285.0250 NaN     
rootHeight                 3.259292 0.015422 0.305071 3.22624  2.70674  3.86386  3578205. 391.3134 3.245467
age(root)                  2013.520 0.015425 0.304972 2013.55  2012.92  2014.07  3582083. 390.8898 2013.520
treeLength                 136.6393 0.923099 13.72585 134.918  111.93   165.294  6332974. 221.0967 135.9787
exponential.popSize        176.6714 1.871409 56.09654 167.591  87.7334  291.975  1558314. 898.5347 168.5806
exponential.growthRate     1.566991 0.005608 0.195801 1.56093  1.19408  1.96389  1148493. 1219.161 1.554717
kappa                      17.79888 0.020312 1.69954  17.7182  14.5445  21.0551  200000   7001     17.71876
frequencies1               0.263655 4.97E-5  0.004157 0.263618 0.255466 0.271686 200000   7001     0.263622
frequencies2               0.229267 4.69E-5  0.00392  0.229271 0.2214   0.236709 200577.5 6980.841 0.229233
frequencies3               0.280314 5.06E-5  0.004231 0.280243 0.272305 0.28873  200000   7001     0.280282
frequencies4               0.226765 4.78E-5  0.003921 0.226818 0.21916  0.234429 208278.2 6722.738 0.226731
alpha                      0.28063  0.000342 0.026348 0.278932 0.231698 0.332759 236181.8 5928.483 0.279409
clock.rate                 0.000994 6.35E-6  0.000101 0.000997 0.00079  0.00119  5564552. 251.6284 0.000989
meanRate                   0.000994 6.35E-6  0.000101 0.000997 0.00079  0.00119  5564552. 251.6284 0.000989
age(KU527068.1|2015)       1.073177 0.003336 0.207438 1.03856  0.780903 1.46574  362220.9 3865.596 1.054279
age(KU647676.1|2015-12)    0.823209 0.000294 0.024604 0.823365 0.780847 0.861705 200000   7001     0.822841
age(KU820897.5|2015-12)    0.819752 0.000293 0.024499 0.818592 0.780831 0.860007 200000   7001     0.819387
age(KX101060.1|2015-05)    1.411745 0.000301 0.024664 1.41294  1.37178  1.45203  208764.5 6707.078 1.41153 
age(KX101061.1|2015-05)    1.405996 0.000765 0.024592 1.40398  1.36713  1.44675  1354709. 1033.579 1.405781
age(KX101066.1|2015-05)    1.409481 0.0003   0.024532 1.4092   1.37117  1.45147  209400.4 6686.710 1.409267
age(KX280026.1|2015)       1.202022 0.003778 0.25476  1.1824   0.780936 1.65346  307903.6 4547.525 1.175135
treeLikelihood_really_logG -30107.9 8.195643 138.3644 -30100   -30393.6 -29860.6 4912550. 285.0250 NaN     
branchRates                0        0        0        0        0        0        NaN      NaN      NaN     
coalescent                 -698.133 1.31357  19.91329 -696.83  -739.439 -660.405 6092707. 229.8157 NaN     
