# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/h5n1-andersen-e756a15-ALL_full_dates_only.fasta <DASH-DASH>v0-steps 20000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha_a/h5n1-andersen-e756a15-ALL_full_dates_only_alpha_a.log <DASH-DASH>v0-log-every 2000000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha_a/h5n1-andersen-e756a15-ALL_full_dates_only_alpha_a.trees <DASH-DASH>v0-tree-every 20000000 <DASH-DASH>v0-out-delphy-file delphy_outputs_alpha_a/h5n1-andersen-e756a15-ALL_full_dates_only_alpha_a.dphy <DASH-DASH>v0-delphy-snapshot-every 20000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-target-coal-prior-cells 1000 <DASH-DASH>v0-pop-model skygrid <DASH-DASH>v0-skygrid-prior-double-half-time 0.25 <DASH-DASH>v0-skygrid-type staircase <DASH-DASH>v0-skygrid-disable-low-pop-barrier <DASH-DASH>v0-skygrid-num-parameters 23 <DASH-DASH>v0-skygrid-cutoff 1.833
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	skygrid.isloglinear	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	skygrid	
0	6211	-198824	-82002.9	-116821	3.95318	2021.64	966.005	0	6.24524	0.536988	0.898018	1.11536	0.831244	1.0189	0.941357	0.324179	0.243806	0.931641	1.23292	1.87366	1.49494	1.53388	1.38053	1.87529	1.53541	1.53723	1.77173	1.7412	1.12079	0.742542	0.589846	-0.00337145	1.833	1	0.32666	0.197929	0.248249	0.227162	10	0.001	0.001	-116821	0.0	-65240.4	
2000000	5269	-136155	-44817.7	-91336.8	4.66217	2020.93	514.641	0	6.24524	1.35757	1.69318	1.35626	2.10401	2.33451	2.4374	2.44402	2.0165	3.03728	3.38603	3.68084	3.14324	3.3283	3.29685	4.05552	3.51165	3.79751	3.89846	4.22134	3.34928	3.29503	3.0097	2.50494	1.833	18.746	0.328932	0.204525	0.241349	0.225194	1.94306	0.000748526	0.000748526	-91336.8	0.0	-13103.3	
4000000	5018	-128135	-43055.6	-85079	3.84493	2021.75	370.717	0	6.24524	0.7224	0.540685	0.724464	1.71552	1.79041	1.86705	1.74188	1.7238	2.58628	2.98347	3.12538	2.35012	2.15754	2.72739	3.47319	2.50077	3.08961	3.55041	3.43961	2.62843	2.48621	2.64877	2.16275	1.833	16.9877	0.328982	0.200948	0.247962	0.222108	0.669151	0.000999248	0.000999248	-85079	0.0	-11110.9	
6000000	4896	-115464	-33831.2	-81632.5	3.53074	2022.06	297.52	0	6.24524	0.0785067	0.168637	0.749165	0.910353	1.11319	1.2217	1.75233	1.82309	2.39627	2.93525	2.55187	1.54136	2.03824	2.2697	3.18422	2.18061	2.64358	2.90796	2.54812	2.09839	2.30235	2.22633	1.68781	1.833	17.1231	0.327907	0.198814	0.249964	0.223315	0.345451	0.00125025	0.00125025	-81632.5	0.0	-9823.55	
8000000	4830	-115529	-35420	-80109.4	3.31142	2022.28	242.26	0	6.24524	-0.283828	-0.127699	0.146058	0.696586	0.41783	0.811803	1.28015	1.50836	2.00404	2.49394	2.06729	1.11788	1.60581	2.12464	2.56863	1.69028	2.17529	3.05096	1.72517	2.09033	2.01874	1.83064	1.00443	1.833	18.065	0.334881	0.201084	0.246781	0.217254	0.396272	0.00151006	0.00151006	-80109.4	0.0	-8634.17	
10000000	4785	-113700	-34875.1	-78824.5	3.40432	2022.19	203.036	0	6.24524	-0.710798	-0.192629	-0.0100241	0.609427	0.197458	0.72874	1.14557	1.28769	2.01203	1.94784	1.76656	0.662117	1.19114	1.66136	2.33029	1.44799	1.74117	2.19387	1.71475	1.39263	1.10168	0.665371	0.792344	1.833	18.7465	0.330339	0.201904	0.24245	0.225307	0.401273	0.00175378	0.00175378	-78824.5	0.0	-7679.73	
12000000	4744	-113610	-35885.9	-77723.7	2.54935	2023.04	170.168	0	6.24524	-0.691804	-0.466221	-0.0535049	0.602302	0.229875	0.373737	0.964847	1.44442	1.86759	1.58886	1.2682	0.337681	0.977937	1.48338	1.63702	1.03635	1.34298	1.52945	1.21161	0.586481	0.501082	0.524449	0.142646	1.833	17.4214	0.327047	0.20052	0.247898	0.224535	0.441536	0.00208756	0.00208756	-77723.7	0.0	-6916.87	
14000000	4709	-110475	-33929.2	-76545.8	2.10326	2023.49	146.307	0	6.24524	-0.639835	-0.538736	-0.0949964	0.291748	0.199551	0.149657	0.956188	1.17948	1.58288	1.32067	1.19641	0.0775835	0.668581	1.11506	1.37055	0.782415	1.20943	1.20754	0.594609	0.55521	0.181353	0.597247	0.0489839	1.833	18.4192	0.32868	0.200646	0.24784	0.222833	0.418654	0.00233355	0.00233355	-76545.8	0.0	-6092.24	
16000000	4674	-109733	-33840.4	-75892.1	1.97766	2023.62	134.348	0	6.24524	-0.598494	-0.585742	-0.0106555	0.198505	0.266574	0.229157	0.716887	1.08313	1.37437	1.12787	1.05289	-0.164789	0.58418	0.842814	0.982956	0.721211	0.83208	1.46962	-0.00968707	-0.152683	-0.261112	-0.290265	-0.613757	1.833	18.3761	0.332366	0.199566	0.251694	0.216375	0.434184	0.00264555	0.00264555	-75892.1	0.0	-5605.15	
18000000	4644	-109597	-34271.7	-75325.4	1.8352	2023.76	127.011	0	6.24524	-0.900036	-0.784579	-0.201348	0.191399	-0.0799999	0.114807	0.860966	0.980611	1.33762	1.08756	0.75543	-0.175663	0.331026	0.807343	0.880313	0.713505	0.752478	0.921618	0.0675915	-0.222365	-0.664893	-1.13405	-1.25998	1.833	17.9797	0.32493	0.208483	0.241864	0.224724	0.448585	0.00274753	0.00274753	-75325.4	0.0	-5282.24	
20000000	4594	-108428	-33717.5	-74710.9	1.83291	2023.76	124.859	0	6.24524	-0.894246	-1.00659	-0.264697	0.0957819	-0.106094	-0.0634675	0.832561	1.02282	1.31782	1.0717	0.807072	-0.348304	0.381388	0.752938	0.603996	0.447618	0.65338	1.1319	0.242198	-0.479932	-1.31049	-1.91434	-2.24282	1.833	17.7016	0.32578	0.20377	0.249023	0.221428	0.435306	0.00277551	0.00277551	-74710.9	0.0	-5130.76	
22000000	4581	-108455	-33917.6	-74537.8	1.79534	2023.8	123.092	0	6.24524	-1.08105	-0.746268	-0.662726	-0.0486682	-0.0405036	-0.225051	0.987878	0.830698	1.30338	1.03607	0.847971	-0.371602	0.413794	0.864481	0.745408	0.421371	0.723977	0.754131	-0.466526	-1.51085	-1.79168	-2.35232	-2.63607	1.833	17.9051	0.33265	0.201867	0.24558	0.219903	0.440487	0.0028383	0.0028383	-74537.8	0.0	-5091.99	
24000000	4567	-107344	-33207.8	-74135.9	1.6648	2023.93	119.117	0	6.24524	-0.986851	-0.765395	-0.424147	0.0844734	-0.430911	0.120702	0.736087	1.15291	1.23501	1.00648	0.722094	-0.31785	0.174939	0.902376	0.711204	0.505298	0.764957	0.328193	-0.477616	-1.6056	-2.02172	-1.15251	-0.471376	1.833	16.5483	0.332233	0.201817	0.245005	0.220945	0.422669	0.00295675	0.00295675	-74135.9	0.0	-4956.16	
