# Produced by delphy version 1.1.4 (build 2044, commit a50e378)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha_b/ebola_delphy_alpha.log <DASH-DASH>v0-log-every 50000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha_b/ebola_delphy_alpha.trees <DASH-DASH>v0-tree-every 500000 <DASH-DASH>v0-out-delphy-file delphy_outputs_alpha_b/ebola_delphy_alpha.dphy <DASH-DASH>v0-delphy-snapshot-every 1000000 <DASH-DASH>v0-site-rate-heterogeneity
state	numMuts	posterior_for_Delphy	prior_for_Delphy	likelihood_really_logG	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood_really_logG	branchRates	coalescent	
0	75	-24356.6	3413.41	-27770	1.13977	2013.32	41.5766	3	0	1	0.319373	0.213777	0.197901	0.268949	10	0.001	0.001	-27770	0.0	-345.176	
50000	62	-38180.6	-11229.4	-26951.2	1.60827	2012.85	26.6216	10.728	2.29778	8.22011	0.318815	0.216583	0.196982	0.267621	4.8664	0.000114622	0.000114622	-26951.2	0.0	-203.503	
100000	62	-37771.3	-10844.3	-26927	1.43127	2013.03	17.4385	6.13049	2.8181	12.7032	0.320381	0.210471	0.202277	0.266871	5.10933	0.000158805	0.000158805	-26927	0.0	-166.694	
150000	62	-42874.1	-15953.8	-26920.3	1.95004	2012.51	16.428	2.44171	0.460568	9.14566	0.31965	0.215926	0.200633	0.263791	2.50627	0.000196103	0.000196103	-26920.3	0.0	-140.929	
200000	59	-46128.8	-19256.6	-26872.2	2.1803	2012.28	17.239	4.04325	1.17194	5.74903	0.319889	0.218675	0.196415	0.265021	1.0608	0.000248549	0.000248549	-26872.2	0.0	-152.546	
250000	59	-46687.2	-19819.2	-26868	2.07876	2012.38	16.5925	2.08698	0.79348	10.3313	0.31514	0.214202	0.200537	0.27012	1.04994	0.000168782	0.000168782	-26868	0.0	-138.765	
300000	58	-46337.6	-19491.8	-26845.8	2.01704	2012.44	14.7278	1.93432	0.692316	20.5207	0.322099	0.211624	0.197716	0.268561	1.17067	0.000212865	0.000212865	-26845.8	0.0	-133.223	
350000	55	-46343.1	-19554.7	-26788.4	1.87735	2012.58	14.3211	1.90806	1.33035	11.6981	0.317704	0.215015	0.193921	0.27336	1.09548	0.000219867	0.000219867	-26788.4	0.0	-130.643	
400000	55	-46068.9	-19298.9	-26770	0.9722	2013.49	9.67434	1.39559	1.06625	8.69401	0.320631	0.216271	0.197298	0.265799	0.790442	0.000361541	0.000361541	-26770	0.0	-99.5331	
450000	55	-44969.9	-18165.3	-26804.5	1.90175	2012.56	14.1206	1.91602	0.667805	12.2035	0.321908	0.207817	0.198884	0.271392	1.64042	0.000268907	0.000268907	-26804.5	0.0	-121.739	
